"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"103760","R","N01","N01","2022-04-14 00:00:00","B&K","false","false","250","9.59","ITM","0","GST","KG","99999","6.99","0.15","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103761","R","N01","N02","2022-04-14 00:00:00","B&K","false","false","250","9.59","ITM","0","GST","KG","99999","8.03","0.2","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103762","R","N01","WLG","2022-04-14 00:00:00","B&K","false","false","250","9.59","ITM","0","GST","KG","99999","8.03","0.23","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103763","R","N01","PKM","2022-04-14 00:00:00","B&K","false","false","250","9.59","ITM","0","GST","KG","99999","8.03","0.23","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103764","R","N01","UNA","2022-04-14 00:00:00","B&K","false","false","250","9.59","ITM","0","GST","KG","99999","8.03","0.23","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103765","R","N01","APK","2022-04-14 00:00:00","B&K","false","false","250","9.59","ITM","0","GST","KG","99999","8.03","0.25","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103766","R","N01","GOS","2022-04-14 00:00:00","B&K","false","false","250","9.59","ITM","0","GST","KG","99999","8.03","0.23","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103767","R","N01","WYG","2022-04-14 00:00:00","B&K","false","false","250","9.59","ITM","0","GST","KG","99999","8.03","0.23","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103768","R","N01","TGH","2022-04-14 00:00:00","B&K","false","false","250","9.59","ITM","0","GST","KG","99999","8.03","0.23","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103769","R","N01","SBY","2022-04-14 00:00:00","B&K","false","false","250","9.59","ITM","0","GST","KG","99999","8.82","0.28","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103770","R","N01","NTL","2022-04-14 00:00:00","B&K","false","false","250","9.59","ITM","0","GST","KG","99999","8.03","0.3","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103771","R","N01","MTD","2022-04-14 00:00:00","B&K","false","false","250","9.59","ITM","0","GST","KG","99999","8.03","0.31","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103772","R","N01","SNG","2022-04-14 00:00:00","B&K","false","false","250","12.39","ITM","0","GST","KG","99999","10.89","0.5","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103773","R","N01","MIT","2022-04-14 00:00:00","B&K","false","false","250","9.84","ITM","0","GST","KG","99999","8.03","0.27","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103774","R","N01","BOW","2022-04-14 00:00:00","B&K","false","false","250","9.84","ITM","0","GST","KG","99999","8.82","0.32","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103775","R","N01","MVA","2022-04-14 00:00:00","B&K","false","false","250","9.84","ITM","0","GST","KG","99999","8.03","0.27","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103776","R","N01","GLB","2022-04-14 00:00:00","B&K","false","false","250","11.92","ITM","0","GST","KG","99999","8.75","0.31","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103777","R","N01","N08","2022-04-14 00:00:00","B&K","false","false","250","9.84","ITM","0","GST","KG","99999","8.03","0.34","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103778","R","N01","QBN","2022-04-14 00:00:00","B&K","false","false","250","9.84","ITM","0","GST","KG","99999","8.03","0.34","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103779","R","N01","BEL","2022-04-14 00:00:00","B&K","false","false","250","9.84","ITM","0","GST","KG","99999","8.03","0.34","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103780","R","N01","FYK","2022-04-14 00:00:00","B&K","false","false","250","9.84","ITM","0","GST","KG","99999","8.03","0.34","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103781","R","N01","COO","2022-04-14 00:00:00","B&K","false","false","250","15.54","ITM","0","GST","KG","99999","11.87","0.83","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103782","R","N01","TRO","2022-04-14 00:00:00","B&K","false","false","250","10.88","ITM","0","GST","KG","99999","8.82","0.41","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103783","R","N01","PMQ","2022-04-14 00:00:00","B&K","false","false","250","10.88","ITM","0","GST","KG","99999","8.82","0.41","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103784","R","N01","KMP","2022-04-14 00:00:00","B&K","false","false","250","15.67","ITM","0","GST","KG","99999","12.9","0.93","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103785","R","N01","COF","2022-04-14 00:00:00","B&K","false","false","250","11.4","ITM","0","GST","KG","99999","8.82","0.43","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103786","R","N01","GFT","2022-04-14 00:00:00","B&K","false","false","250","11.92","ITM","0","GST","KG","99999","9.79","0.51","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103787","R","N01","BLN","2022-04-14 00:00:00","B&K","false","false","250","11.92","ITM","0","GST","KG","99999","8.82","0.47","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103788","R","N01","LYS","2022-04-14 00:00:00","B&K","false","false","250","11.92","ITM","0","GST","KG","99999","8.82","0.45","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103789","R","N01","TMW","2022-04-14 00:00:00","B&K","false","false","250","11.92","ITM","0","GST","KG","99999","8.82","0.44","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103790","R","N01","ARM","2022-04-14 00:00:00","B&K","false","false","250","12.96","ITM","0","GST","KG","99999","10.31","0.68","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103791","R","N01","IVL","2022-04-14 00:00:00","B&K","false","false","250","18.92","ITM","0","GST","KG","99999","15.78","1.05","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103792","R","N01","KMA","2022-04-14 00:00:00","B&K","false","false","250","11.92","ITM","0","GST","KG","99999","8.82","0.32","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103793","R","N01","NOW","2022-04-14 00:00:00","B&K","false","false","250","11.92","ITM","0","GST","KG","99999","8.03","0.27","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103794","R","N01","ULL","2022-04-14 00:00:00","B&K","false","false","250","12.96","ITM","0","GST","KG","99999","9.79","0.53","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103795","R","N01","KAT","2022-04-14 00:00:00","B&K","false","false","250","12.96","ITM","0","GST","KG","99999","8.82","0.32","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"103796","R","N01","MUD","2022-04-14 00:00:00","B&K","false","false","250","12.96","ITM","0","GST","KG","99999","9.79","0.63","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
