"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"162300","GEN","AD","SYD","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","1","0","155","HALF PALLET","4","0","150","HALF PALLET","9","0","145","HALF PALLET","15","0","140","HALF PALLET","99999","0","135","FULL PALLET","1","0","175","FULL PALLET","4","0","170","FULL PALLET","9","0","165","FULL PALLET","15","0","160","FULL PALLET","99999","0","155","FSHI","",""
"162301","GEN","AD","MELB","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","1","0","75","HALF PALLET","4","0","65","HALF PALLET","9","0","60","HALF PALLET","15","0","58","HALF PALLET","99999","0","56","FULL PALLET","1","0","90","FULL PALLET","4","0","85","FULL PALLET","9","0","80","FULL PALLET","15","0","78","FULL PALLET","99999","0","75","FSHI","",""
"162302","GEN","AD","BRIS","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","1","0","195","HALF PALLET","4","0","190","HALF PALLET","9","0","185","HALF PALLET","15","0","180","HALF PALLET","99999","0","178","FULL PALLET","1","0","275","FULL PALLET","4","0","272","FULL PALLET","9","0","270","FULL PALLET","15","0","268","FULL PALLET","99999","0","265","FSHI","",""
"162303","GEN","AD","NT4","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","1","0","275","HALF PALLET","4","0","270","HALF PALLET","9","0","268","HALF PALLET","15","0","265","HALF PALLET","99999","0","260","FULL PALLET","1","0","410","FULL PALLET","4","0","405","FULL PALLET","9","0","400","FULL PALLET","15","0","390","FULL PALLET","99999","0","385","FSHI","",""
"162304","GEN","AD","NT1","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","1","0","158","HALF PALLET","4","0","153","HALF PALLET","9","0","148","HALF PALLET","15","0","145","HALF PALLET","99999","0","140","FULL PALLET","1","0","278","FULL PALLET","4","0","273","FULL PALLET","9","0","270","FULL PALLET","15","0","265","FULL PALLET","99999","0","260","FSHI","",""
"162305","EXP","AD","SYD","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","1","0","178.25","HALF PALLET","4","0","172.5","HALF PALLET","9","0","166.75","HALF PALLET","15","0","161","HALF PALLET","99999","0","155.25","FULL PALLET","1","0","201.25","FULL PALLET","4","0","195.5","FULL PALLET","9","0","189.75","FULL PALLET","15","0","184","FULL PALLET","99999","0","178.25","FSHI","",""
"162306","EXP","AD","MELB","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","1","0","86.25","HALF PALLET","4","0","74.75","HALF PALLET","9","0","69","HALF PALLET","15","0","66.7","HALF PALLET","99999","0","64.4","FULL PALLET","1","0","103.5","FULL PALLET","4","0","97.75","FULL PALLET","9","0","92","FULL PALLET","15","0","89.7","FULL PALLET","99999","0","86.25","FSHI","",""
"162307","EXP","AD","BRIS","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","1","0","224.25","HALF PALLET","4","0","218.5","HALF PALLET","9","0","212.75","HALF PALLET","15","0","207","HALF PALLET","99999","0","204.7","FULL PALLET","1","0","316.25","FULL PALLET","4","0","312.8","FULL PALLET","9","0","310.5","FULL PALLET","15","0","308.2","FULL PALLET","99999","0","304.75","FSHI","",""
"162308","EXP","AD","NT4","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","1","0","316.25","HALF PALLET","4","0","310.5","HALF PALLET","9","0","308.2","HALF PALLET","15","0","304.75","HALF PALLET","99999","0","299","FULL PALLET","1","0","471.5","FULL PALLET","4","0","465.75","FULL PALLET","9","0","460","FULL PALLET","15","0","448.5","FULL PALLET","99999","0","442.75","FSHI","",""
"162309","EXP","AD","NT1","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","1","0","181.7","HALF PALLET","4","0","175.95","HALF PALLET","9","0","170.2","HALF PALLET","15","0","166.75","HALF PALLET","99999","0","161","FULL PALLET","1","0","319.7","FULL PALLET","4","0","313.95","FULL PALLET","9","0","310.5","FULL PALLET","15","0","304.75","FULL PALLET","99999","0","299","FSHI","",""
"162310","GEN","MELB","AD","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","1","0","85","HALF PALLET","4","0","80","HALF PALLET","9","0","78","HALF PALLET","15","0","75","HALF PALLET","99999","0","72","FULL PALLET","1","0","120","FULL PALLET","4","0","115","FULL PALLET","9","0","110","FULL PALLET","15","0","105","FULL PALLET","99999","0","100","FSHI","",""
"162311","GEN","MELB","SYD","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","1","0","91","HALF PALLET","4","0","89","HALF PALLET","9","0","87","HALF PALLET","15","0","86","HALF PALLET","99999","0","85","FULL PALLET","1","0","135","FULL PALLET","4","0","125","FULL PALLET","9","0","120","FULL PALLET","15","0","115","FULL PALLET","99999","0","110","FSHI","",""
"162312","GEN","MELB","BRIS","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","1","0","165","HALF PALLET","4","0","162","HALF PALLET","9","0","160","HALF PALLET","15","0","155","HALF PALLET","99999","0","150","FULL PALLET","1","0","220","FULL PALLET","4","0","215","FULL PALLET","9","0","210","FULL PALLET","15","0","205","FULL PALLET","99999","0","198","FSHI","",""
"162313","GEN","MELB","NT4","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","1","0","270","HALF PALLET","4","0","265","HALF PALLET","9","0","260","HALF PALLET","15","0","255","HALF PALLET","99999","0","250","FULL PALLET","1","0","465","FULL PALLET","4","0","460","FULL PALLET","9","0","455","FULL PALLET","15","0","450","FULL PALLET","99999","0","445","FSHI","",""
"162314","GEN","MELB","NT1","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","1","0","200","HALF PALLET","4","0","198","HALF PALLET","9","0","195","HALF PALLET","15","0","190","HALF PALLET","99999","0","185","FULL PALLET","1","0","350","FULL PALLET","4","0","347","FULL PALLET","9","0","345","FULL PALLET","15","0","340","FULL PALLET","99999","0","335","FSHI","",""
"162315","GEN","MELB","CO1","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","99999","0","120","FULL PALLET","99999","0","155","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FSHI","",""
"162316","GEN","MELB","CO2","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","99999","0","135","FULL PALLET","99999","0","170","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FSHI","",""
"162317","GEN","MELB","CO3","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","99999","0","160","FULL PALLET","99999","0","190","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FSHI","",""
"162318","GEN","MELB","CO4","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","99999","0","185","FULL PALLET","99999","0","220","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FSHI","",""
"162319","GEN","MELB","CO5","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","99999","0","195","FULL PALLET","99999","0","230","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FSHI","",""
"162320","GEN","MELB","CO6","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","99999","0","215","FULL PALLET","99999","0","250","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FSHI","",""
"162321","GEN","MELB","CO7","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","99999","0","230","FULL PALLET","99999","0","265","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FSHI","",""
"162322","GEN","MELB","NSW2","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","99999","0","175","FULL PALLET","99999","0","205","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FSHI","",""
"162323","GEN","MELB","NSW3","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","99999","0","190","FULL PALLET","99999","0","220","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FSHI","",""
"162324","GEN","MELB","NSW4","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","99999","0","200","FULL PALLET","99999","0","240","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FSHI","",""
"162325","GEN","MELB","NSW5","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","99999","0","230","FULL PALLET","99999","0","250","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FSHI","",""
"162326","GEN","MELB","NSW6","1970-01-01 10:00:00","ITEM TYPE","","","","-1","ITM","0","GST","HALF PALLET","99999","0","245","FULL PALLET","99999","0","265","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FSHI","",""
