"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"46942","EXP","METRO","ALBANY","2020-06-26 00:00:00","B&K","false","false","333","15","ITM","0","GST","KG","9999","12","0.2","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"46943","EXP","METRO","SOUTH-WEST 1","2020-06-26 00:00:00","B&K","false","false","333","15","ITM","0","GST","KG","9999","12","0.2","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"46944","EXP","METRO","DENMARK","2020-06-26 00:00:00","B&K","false","false","333","15","ITM","0","GST","KG","9999","12","0.2","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"46945","EXP","METRO","WHEATBELT MID2","2020-06-26 00:00:00","B&K","false","false","333","15","ITM","0","GST","KG","9999","12","0.2","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"46946","EXP","METRO","MOUNT BARKER","2020-06-26 00:00:00","B&K","false","false","333","15","ITM","0","GST","KG","9999","12","0.2","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"46947","EXP","METRO","BUSSELTON","2020-06-26 00:00:00","B&K","false","false","333","15","ITM","0","GST","KG","9999","12","0.13","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"46948","EXP","METRO","BUNBURY","2020-06-26 00:00:00","B&K","false","false","333","15","ITM","0","GST","KG","9999","12","0.13","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"46949","EXP","METRO","MARGARET RIVER","2020-06-26 00:00:00","B&K","false","false","333","15","ITM","0","GST","KG","9999","12","0.15","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"46950","EXP","METRO","SOUTH-WEST 2","2020-06-26 00:00:00","B&K","false","false","333","15","ITM","0","GST","KG","9999","12","0.15","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"46951","EXP","METRO","BUNBURY OUTER","2020-06-26 00:00:00","B&K","false","false","333","15","ITM","0","GST","KG","9999","12","0.15","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"46952","EXP","METRO","GERALDTON","2020-06-26 00:00:00","B&K","false","false","333","15","ITM","0","GST","KG","9999","12","0.2","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"46953","EXP","METRO","DONGARRA","2020-06-26 00:00:00","B&K","false","false","333","15","ITM","0","GST","KG","9999","12","0.2","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"46954","EXP","METRO","NORTHAMPTON","2020-06-26 00:00:00","B&K","false","false","333","15","ITM","0","GST","KG","9999","12","0.2","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"46955","EXP","METRO","MANJIMUP","2020-06-26 00:00:00","B&K","false","false","333","15","ITM","0","GST","KG","9999","12","0.15","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"46956","EXP","METRO","BRIDGETOWN","2020-06-26 00:00:00","B&K","false","false","333","15","ITM","0","GST","KG","9999","12","0.15","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"46957","EXP","METRO","KALGOORLIE","2020-06-26 00:00:00","B&K","false","false","333","15","ITM","0","GST","KG","9999","12","0.22","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"46958","EXP","METRO","KAMBALDA","2020-06-26 00:00:00","B&K","false","false","333","15","ITM","0","GST","KG","9999","12","0.22","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"46959","EXP","METRO","WHEATBELT EAST1","2020-06-26 00:00:00","B&K","false","false","333","15","ITM","0","GST","KG","9999","12","0.22","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"46960","EXP","METRO","ESPERANCE","2020-06-26 00:00:00","B&K","false","false","333","15","ITM","0","GST","KG","9999","12","0.26","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"46961","EXP","METRO","WHEATBELT SOUTH1","2020-06-26 00:00:00","B&K","false","false","333","15","ITM","0","GST","KG","9999","12","0.26","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"46962","EXP","METRO","NORTHAM","2020-06-26 00:00:00","B&K","false","false","333","15","ITM","0","GST","KG","9999","12","0.09","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"46963","EXP","METRO","MANDURAH","2020-06-26 00:00:00","B&K","false","false","333","15","ITM","0","GST","KG","9999","12","0.09","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
