"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"98376","DG1","ADL","ADL","2021-03-17 10:00:00","B&K","false","false","250","9.32","KG","0","GST","KG","25","9.32","0","KG","50","18.64","0","KG","75","27.96","0","KG","100","37.28","0","KG","125","46.6","0","KG","150","55.92","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","2"
"98377","DG1","ADL","GEX","2021-03-17 10:00:00","B&K","false","false","250","34.59","KG","0","GST","KG","150","31.88","0.52","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","3"
"98378","DG1","ADL","GOS","2021-03-17 10:00:00","B&K","false","false","250","36.26","KG","0","GST","KG","150","33.24","0.6","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","5"
"98379","DG1","ADL","GOSF","2021-03-17 10:00:00","B&K","false","false","250","36.26","KG","0","GST","KG","150","33.24","0.6","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","5"
"98380","DG1","ADL","GYP","2021-03-17 10:00:00","B&K","false","false","250","41.01","KG","0","GST","KG","150","36.25","0.94","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","7"
"98381","DG1","ADL","LSY","2021-03-17 10:00:00","B&K","false","false","250","36.59","KG","0","GST","KG","150","33.24","0.69","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","7"
"98382","DG1","ADL","MEL","2021-03-17 10:00:00","B&K","false","false","250","32.28","KG","0","GST","KG","150","30.52","0.35","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","3"
"98383","DG1","ADL","MELF","2021-03-17 10:00:00","B&K","false","false","250","32.28","KG","0","GST","KG","150","30.52","0.35","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","3"
"98384","DG1","ADL","MTP","2021-03-17 10:00:00","B&K","false","false","250","34.59","KG","0","GST","KG","150","31.88","0.52","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","4"
"98385","DG1","ADL","NTL","2021-03-17 10:00:00","B&K","false","false","250","36.26","KG","0","GST","KG","150","33.24","0.6","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","9"
"98386","DG1","ADL","NTLF","2021-03-17 10:00:00","B&K","false","false","250","36.26","KG","0","GST","KG","150","33.24","0.6","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","9"
"98387","DG1","ADL","OOL","2021-03-17 10:00:00","B&K","false","false","250","39.73","KG","0","GST","KG","150","35.28","0.88","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","6"
"98388","DG1","ADL","PER","2021-03-17 10:00:00","B&K","false","false","250","36.59","KG","0","GST","KG","150","33.24","0.69","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","6"
"98389","DG1","ADL","SC1","2021-03-17 10:00:00","B&K","false","false","250","35.17","KG","0","GST","KG","150","32.61","0.5","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","4"
"98390","DG1","ADL","SC2","2021-03-17 10:00:00","B&K","false","false","250","35.87","KG","0","GST","KG","150","32.61","0.65","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","4"
"98391","DG1","ADL","SC3","2021-03-17 10:00:00","B&K","false","false","250","37.03","KG","0","GST","KG","150","32.61","0.88","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","4"
"98392","DG1","ADL","SC4","2021-03-17 10:00:00","B&K","false","false","250","40.96","KG","0","GST","KG","150","32.61","1.67","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","6"
"98393","DG1","ADL","SCO","2021-03-17 10:00:00","B&K","false","false","250","12.59","KG","0","GST","KG","25","12.59","0","KG","50","25.18","0","KG","75","37.77","0","KG","100","50.36","0","KG","125","62.95","0","KG","150","75.54","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","2"
"98394","DG1","ADL","SYD","2021-03-17 10:00:00","B&K","false","false","250","35.3","KG","0","GST","KG","150","33.24","0.42","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","4"
"98395","DG1","ADL","SYDF","2021-03-17 10:00:00","B&K","false","false","250","35.3","KG","0","GST","KG","150","33.24","0.42","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","5"
