"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"238719","RDEXP","AYR","TBRI","2023-07-03 00:00:00","B&K","false","false","280","35.48","ITM","0","GST","KG","99","19.39","0.5861","KG","499","19.39","0.4688","KG","749","19.39","0.3742","KG","999","19.39","0.2768","KG","99999","19.39","0.2062","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"238720","RDEXP","AYR","TGOL","2023-07-03 00:00:00","B&K","false","false","280","33.18","ITM","0","GST","KG","99","17.09","1.4235","KG","499","17.09","1.1377","KG","749","17.09","0.9118","KG","999","17.09","0.6767","KG","99999","17.09","0.5","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"238721","RDEXP","AYR","TNTL","2023-07-03 00:00:00","B&K","false","false","280","33.18","ITM","0","GST","KG","99","17.09","1.017","KG","499","17.09","0.7923","KG","749","17.09","0.6156","KG","999","17.09","0.4793","KG","99999","17.09","0.3831","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"238722","RDEXP","AYR","TSUN","2023-07-03 00:00:00","B&K","false","false","280","33","ITM","0","GST","KG","99","17","1.3893","KG","499","17","1.1157","KG","749","17","0.8946","KG","999","17","0.6631","KG","99999","17","0.4842","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","4"
"238723","RDEXP","BBG","TBRI","2023-07-03 00:00:00","B&K","false","false","280","35.48","ITM","0","GST","KG","99","19.39","0.3813","KG","499","19.39","0.3036","KG","749","19.39","0.2429","KG","999","19.39","0.1808","KG","99999","19.39","0.1342","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"238724","RDEXP","BBG","TGOL","2023-07-03 00:00:00","B&K","false","false","280","33.18","ITM","0","GST","KG","99","17.09","0.5923","KG","499","17.09","0.4754","KG","749","17.09","0.378","KG","999","17.09","0.2818","KG","99999","17.09","0.2091","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"238725","RDEXP","BBG","TNTL","2023-07-03 00:00:00","B&K","false","false","280","33.18","ITM","0","GST","KG","99","17.09","0.7312","KG","499","17.09","0.565","KG","749","17.09","0.4351","KG","999","17.09","0.3442","KG","99999","17.09","0.2805","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"238726","RDEXP","BBG","TSUN","2023-07-03 00:00:00","B&K","false","false","280","33","ITM","0","GST","KG","99","17","0.5052","KG","499","17","0.4","KG","749","17","0.3158","KG","999","17","0.2421","KG","99999","17","0.1789","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","1"
"238727","RDEXP","BIL","TBRI","2023-07-03 00:00:00","B&K","false","false","280","35.48","ITM","0","GST","KG","99","19.39","0.3892","KG","499","19.39","0.3099","KG","749","19.39","0.2479","KG","999","19.39","0.1845","KG","99999","19.39","0.1369","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","3"
"238728","RDEXP","BIL","TGOL","2023-07-03 00:00:00","B&K","false","false","280","33.18","ITM","0","GST","KG","99","17.09","1.2027","KG","499","17.09","0.965","KG","749","17.09","0.7702","KG","999","17.09","0.5702","KG","99999","17.09","0.4234","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
