"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"284934","EXPRESS","TBRI","ALI","1970-01-01 10:00:00","B&K","","","333","53.68","ITM","0","GST","KG","99","97.76","1.684","KG","499","97.76","1.347","KG","749","97.76","1.2","KG","999","97.76","0.884","KG","1999","97.76","0.8","KG","99999","97.76","0.8","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","","5"
"284935","EXPRESS","TMCK","ALI","1970-01-01 10:00:00","B&K","","","333","94.09","ITM","0","GST","KG","99","53.86","2.642","KG","499","53.86","2.105","KG","749","53.86","1.873","KG","999","53.86","1.389","KG","1999","53.86","1.231","KG","99999","53.86","1.231","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"284936","EXPRESS","TSYD","ALI","1970-01-01 10:00:00","B&K","","","333","99.83","ITM","0","GST","KG","99","59.61","2.063","KG","499","59.61","1.579","KG","749","59.61","1.221","KG","999","59.61","1.063","KG","1999","59.61","0.958","KG","99999","59.61","0.905","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","","5"
"284937","EXPRESS","TBRI","AYR","1970-01-01 10:00:00","B&K","","","333","13.38","ITM","0","GST","KG","99","18.41","0.789","KG","499","18.41","0.632","KG","749","18.41","0.505","KG","999","18.41","0.379","KG","1999","18.41","0.316","KG","99999","18.41","0.316","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","","2"
"284938","EXPRESS","TMCK","AYR","1970-01-01 10:00:00","B&K","","","333","34.33","ITM","0","GST","KG","99","18.24","0.358","KG","499","18.24","0.284","KG","749","18.24","0.232","KG","999","18.24","0.168","KG","1999","18.24","0.126","KG","99999","18.24","0.126","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"284939","EXPRESS","TSYD","AYR","1970-01-01 10:00:00","B&K","","","333","33.18","ITM","0","GST","KG","99","17.09","1.084","KG","499","17.09","0.831","KG","749","17.09","0.642","KG","999","17.09","0.558","KG","1999","17.09","0.505","KG","99999","17.09","0.474","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","","3"
"284940","EXPRESS","TBRI","BBG","1970-01-01 10:00:00","B&K","","","333","13.38","ITM","0","GST","KG","99","18.41","0.41","KG","499","18.41","0.326","KG","749","18.41","0.263","KG","999","18.41","0.2","KG","1999","18.41","0.147","KG","99999","18.41","0.147","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","","2"
"284941","EXPRESS","TMCK","BBG","1970-01-01 10:00:00","B&K","","","333","34.33","ITM","0","GST","KG","99","18.24","0.495","KG","499","18.24","0.4","KG","749","18.24","0.316","KG","999","18.24","0.232","KG","1999","18.24","0.179","KG","99999","18.24","0.179","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"284942","EXPRESS","TSYD","BBG","1970-01-01 10:00:00","B&K","","","333","33.18","ITM","0","GST","KG","99","17.09","0.747","KG","499","17.09","0.579","KG","749","17.09","0.442","KG","999","17.09","0.389","KG","1999","17.09","0.347","KG","99999","17.09","0.326","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","","2"
"284943","EXPRESS","TBRI","BIL","1970-01-01 10:00:00","B&K","","","333","13.38","ITM","0","GST","KG","99","18.41","0.568","KG","499","18.41","0.453","KG","749","18.41","0.368","KG","999","18.41","0.274","KG","1999","18.41","0.211","KG","99999","18.41","0.211","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","","1"
"284944","EXPRESS","TMCK","BIL","1970-01-01 10:00:00","B&K","","","333","34.33","ITM","0","GST","KG","99","18.24","0.358","KG","499","18.24","0.284","KG","749","18.24","0.232","KG","999","18.24","0.168","KG","1999","18.24","0.126","KG","99999","18.24","0.126","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"284945","EXPRESS","TSYD","BIL","1970-01-01 10:00:00","B&K","","","333","33.18","ITM","0","GST","KG","99","17.09","0.895","KG","499","17.09","0.684","KG","749","17.09","0.526","KG","999","17.09","0.463","KG","1999","17.09","0.421","KG","99999","17.09","0.389","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","","3"
"284946","EXPRESS","TBRI","BWN","1970-01-01 10:00:00","B&K","","","333","13.38","ITM","0","GST","KG","99","18.41","0.695","KG","499","18.41","0.568","KG","749","18.41","0.463","KG","999","18.41","0.358","KG","1999","18.41","0.316","KG","99999","18.41","0.316","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","","2"
"284947","EXPRESS","TMCK","BWN","1970-01-01 10:00:00","B&K","","","333","34.33","ITM","0","GST","KG","99","18.24","0.358","KG","499","18.24","0.284","KG","749","18.24","0.232","KG","999","18.24","0.168","KG","1999","18.24","0.126","KG","99999","18.24","0.126","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"284948","EXPRESS","TSYD","BWN","1970-01-01 10:00:00","B&K","","","333","33.18","ITM","0","GST","KG","99","17.09","1.084","KG","499","17.09","0.831","KG","749","17.09","0.642","KG","999","17.09","0.558","KG","1999","17.09","0.505","KG","99999","17.09","0.474","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","","3"
"284949","EXPRESS","TBRI","C1","1970-01-01 10:00:00","B&K","","","333","20.93","ITM","0","GST","KG","99","25.97","0.621","KG","499","25.97","0.495","KG","749","25.97","0.4","KG","999","25.97","0.295","KG","1999","25.97","0.221","KG","99999","25.97","0.221","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","","3"
"284950","EXPRESS","TMCK","C1","1970-01-01 10:00:00","B&K","","","333","40.07","ITM","0","GST","KG","99","22.83","1.484","KG","499","22.83","1.189","KG","749","22.83","0.947","KG","999","22.83","0.705","KG","1999","22.83","0.526","KG","99999","22.83","0.526","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"284951","EXPRESS","TSYD","C1","1970-01-01 10:00:00","B&K","","","333","38.92","ITM","0","GST","KG","99","21.69","0.947","KG","499","21.69","0.726","KG","749","21.69","0.558","KG","999","21.69","0.484","KG","1999","21.69","0.442","KG","99999","21.69","0.421","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","","3"
"284952","EXPRESS","TBRI","C10","1970-01-01 10:00:00","B&K","","","333","20.93","ITM","0","GST","KG","99","25.97","1.21","KG","499","25.97","0.968","KG","749","25.97","0.779","KG","999","25.97","0.579","KG","1999","25.97","0.453","KG","99999","25.97","0.453","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","","1"
"284953","EXPRESS","TMCK","C10","1970-01-01 10:00:00","B&K","","","333","40.07","ITM","0","GST","KG","99","22.83","0.642","KG","499","22.83","0.516","KG","749","22.83","0.41","KG","999","22.83","0.305","KG","1999","22.83","0.232","KG","99999","22.83","0.232","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
