"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"284720","GEN","MEL","ADEL","2023-03-29 00:00:00","B&K","false","false","333","55.69","ITM","0","GST","KG","99","16.94","0.3094","KG","499","16.94","0.2515","KG","999","16.94","0.2244","KG","4999","16.94","0.1959","KG","99999","16.94","0.17","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","3"
"284721","GEN","MEL","BRIS","2023-03-29 00:00:00","B&K","false","false","333","55.69","ITM","0","GST","KG","99","16.94","0.4333","KG","499","16.94","0.3778","KG","999","16.94","0.3507","KG","4999","16.94","0.3223","KG","99999","16.94","0.2927","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","5"
"284722","GEN","MEL","NEW10","2023-03-29 00:00:00","B&K","false","false","333","76.05","ITM","0","GST","KG","99","16.94","0.8005","KG","499","16.94","0.5987","KG","999","16.94","0.5101","KG","4999","16.94","0.4735","KG","99999","16.94","0.4345","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","5"
"284723","GEN","MEL","NEW11","2023-03-29 00:00:00","B&K","false","false","333","76.05","ITM","0","GST","KG","99","16.94","0.83","KG","499","16.94","0.6174","KG","999","16.94","0.5288","KG","4999","16.94","0.4912","KG","99999","16.94","0.4535","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","5"
"284724","GEN","MEL","NEW12","2023-03-29 00:00:00","B&K","false","false","333","76.05","ITM","0","GST","KG","99","16.94","0.8691","KG","499","16.94","0.6424","KG","999","16.94","0.5668","KG","4999","16.94","0.5288","KG","99999","16.94","0.4912","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","5"
"284725","GEN","MEL","NEW13","2023-03-29 00:00:00","B&K","false","false","333","76.05","ITM","0","GST","KG","99","16.94","0.6931","KG","499","16.94","0.4912","KG","999","16.94","0.4038","KG","4999","16.94","0.3649","KG","99999","16.94","0.3272","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","5"
"284726","GEN","MEL","NEW14","2023-03-29 00:00:00","B&K","false","false","333","76.05","ITM","0","GST","KG","99","16.94","0.7049","KG","499","16.94","0.5042","KG","999","16.94","0.4156","KG","4999","16.94","0.3767","KG","99999","16.94","0.3389","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","5"
"284727","GEN","MEL","NEW15","2023-03-29 00:00:00","B&K","false","false","333","76.05","ITM","0","GST","KG","99","16.94","0.7616","KG","499","16.94","0.5288","KG","999","16.94","0.4652","KG","4999","16.94","0.4275","KG","99999","16.94","0.3897","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","5"
"284728","GEN","MEL","NEW16","2023-03-29 00:00:00","B&K","false","false","333","76.05","ITM","0","GST","KG","99","16.94","0.83","KG","499","16.94","0.6174","KG","999","16.94","0.5288","KG","4999","16.94","0.4535","KG","99999","16.94","0.4156","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","5"
"284729","GEN","MEL","NEW17","2023-03-29 00:00:00","B&K","false","false","333","76.05","ITM","0","GST","KG","99","16.94","0.882","KG","499","16.94","0.6671","KG","999","16.94","0.5656","KG","4999","16.94","0.4912","KG","99999","16.94","0.4535","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","3"
