"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"285218","GEN","ADEL","BRIS","2023-01-01 00:00:00","B&K","false","false","333","55.53","ITM","0","GST","KG","100","16.89","0.5028","KG","500","16.89","0.4734","KG","1000","16.89","0.4474","KG","5000","16.89","0.418","KG","99999","16.89","0.3909","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"285219","GEN","ADEL","MEL","2023-01-01 00:00:00","B&K","false","false","333","55.53","ITM","0","GST","KG","100","16.89","0.2395","KG","500","16.89","0.1825","KG","1000","16.89","0.1597","KG","5000","16.89","0.1255","KG","99999","16.89","0.1027","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"285220","GEN","ADEL","NEW10","2023-01-01 00:00:00","B&K","false","false","333","75.83","ITM","0","GST","KG","100","16.89","0.9242","KG","500","16.89","0.7229","KG","1000","16.89","0.6346","KG","5000","16.89","0.597","KG","99999","16.89","0.5604","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"285221","GEN","ADEL","NEW11","2023-01-01 00:00:00","B&K","false","false","333","75.83","ITM","0","GST","KG","100","16.89","0.955","KG","500","16.89","0.7406","KG","1000","16.89","0.6535","KG","5000","16.89","0.6157","KG","99999","16.89","0.5769","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"285222","GEN","ADEL","NEW12","2023-01-01 00:00:00","B&K","false","false","333","75.83","ITM","0","GST","KG","100","16.89","0.9914","KG","500","16.89","0.7653","KG","1000","16.89","0.6901","KG","5000","16.89","0.6535","KG","99999","16.89","0.6157","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"285223","GEN","ADEL","NEW13","2023-01-01 00:00:00","B&K","false","false","333","75.83","ITM","0","GST","KG","100","16.89","0.816","KG","500","16.89","0.6157","KG","1000","16.89","0.5274","KG","5000","16.89","0.4898","KG","99999","16.89","0.4522","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"285224","GEN","ADEL","NEW14","2023-01-01 00:00:00","B&K","false","false","333","75.83","ITM","0","GST","KG","100","16.89","0.8277","KG","500","16.89","0.6288","KG","1000","16.89","0.5404","KG","5000","16.89","0.5028","KG","99999","16.89","0.4639","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"285225","GEN","ADEL","NEW15","2023-01-01 00:00:00","B&K","false","false","333","75.83","ITM","0","GST","KG","100","16.89","0.8865","KG","500","16.89","0.6535","KG","1000","16.89","0.5899","KG","5000","16.89","0.5522","KG","99999","16.89","0.5157","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"285226","GEN","ADEL","NEW16","2023-01-01 00:00:00","B&K","false","false","333","75.83","ITM","0","GST","KG","100","16.89","0.9536","KG","500","16.89","0.7418","KG","1000","16.89","0.6535","KG","5000","16.89","0.5769","KG","99999","16.89","0.5404","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"285227","GEN","ADEL","NEW17","2023-01-01 00:00:00","B&K","false","false","333","75.83","ITM","0","GST","KG","100","16.89","1.0044","KG","500","16.89","0.7912","KG","1000","16.89","0.6901","KG","5000","16.89","0.6157","KG","99999","16.89","0.5769","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
