"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"228274","X","ADL","ADH","2023-05-01 00:00:00","B&K","false","false","333","54.86","ITM","0","GST","KG","250","8.78","0.4938","KG","500","8.78","0.384","KG","1000","8.78","0.3292","KG","99999","8.78","0.2195","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"228275","X","ADL","ADW1","2023-05-01 00:00:00","B&K","false","false","333","54.86","ITM","0","GST","KG","250","8.78","0.4938","KG","500","8.78","0.384","KG","1000","8.78","0.3292","KG","99999","8.78","0.2195","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"228276","X","ADL","ADW2","2023-05-01 00:00:00","B&K","false","false","333","54.86","ITM","0","GST","KG","250","8.78","0.4938","KG","500","8.78","0.384","KG","1000","8.78","0.3292","KG","99999","8.78","0.2195","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"228277","X","ADL","ADW3","2023-05-01 00:00:00","B&K","false","false","333","60.35","ITM","0","GST","KG","250","8.78","0.5486","KG","500","8.78","0.4389","KG","1000","8.78","0.384","KG","99999","8.78","0.2743","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"228278","X","ADL","ASP","2023-05-01 00:00:00","B&K","false","false","333","49.38","ITM","0","GST","KG","250","8.78","0.3511","KG","500","8.78","0.3292","KG","1000","8.78","0.3128","KG","99999","8.78","0.2853","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"228279","X","ADL","BHL","2023-05-01 00:00:00","B&K","false","false","333","49.38","ITM","0","GST","KG","250","10.43","0.4279","KG","500","10.43","0.2743","KG","1000","10.43","0.2195","KG","99999","10.43","0.1756","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"228280","X","ADL","BNE","2023-05-01 00:00:00","B&K","false","false","333","49.38","ITM","0","GST","KG","250","8.78","0.2721","KG","500","8.78","0.2568","KG","1000","8.78","0.2469","KG","99999","8.78","0.2382","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","4"
"228281","X","ADL","CED","2023-05-01 00:00:00","B&K","false","false","333","181.05","ITM","0","GST","KG","250","14.82","0.8449","KG","500","14.82","0.7132","KG","1000","14.82","0.5377","KG","99999","14.82","0.3072","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"228282","X","ADL","COO","2023-05-01 00:00:00","B&K","false","false","333","159.1","ITM","0","GST","KG","250","13.17","0.9656","KG","500","13.17","0.7461","KG","1000","13.17","0.5486","KG","99999","13.17","0.4389","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"228283","X","ADL","DRW","2023-05-01 00:00:00","B&K","false","false","333","49.38","ITM","0","GST","KG","250","8.78","0.395","KG","500","8.78","0.384","KG","1000","8.78","0.3401","KG","99999","8.78","0.3128","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"228284","X","ADL","KIS","2023-05-01 00:00:00","B&K","false","false","333","181.05","ITM","0","GST","KG","250","16.46","1.0918","KG","500","16.46","0.8778","KG","1000","16.46","0.6584","KG","99999","16.46","0.5486","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"228285","X","ADL","KNE","2023-05-01 00:00:00","B&K","false","false","333","49.38","ITM","0","GST","KG","250","8.78","0.4608","KG","500","8.78","0.417","KG","1000","8.78","0.395","KG","99999","8.78","0.3731","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"228286","X","ADL","MBR","2023-05-01 00:00:00","B&K","false","false","333","54.86","ITM","0","GST","KG","250","8.78","0.4938","KG","500","8.78","0.384","KG","1000","8.78","0.3292","KG","99999","8.78","0.2195","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"228287","X","ADL","MEL","2023-05-01 00:00:00","B&K","false","false","333","49.38","ITM","0","GST","KG","250","8.78","0.1207","KG","500","8.78","0.1141","KG","1000","8.78","0.1097","KG","99999","8.78","0.1065","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","1"
"228288","X","ADL","MTG","2023-05-01 00:00:00","B&K","false","false","333","68.03","ITM","0","GST","KG","250","8.78","0.3731","KG","500","8.78","0.2853","KG","1000","8.78","0.2195","KG","99999","8.78","0.1865","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"228289","X","ADL","MTG1","2023-05-01 00:00:00","B&K","false","false","333","68.03","ITM","0","GST","KG","250","8.78","0.3731","KG","500","8.78","0.2853","KG","1000","8.78","0.2195","KG","99999","8.78","0.1865","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"228290","X","ADL","PER","2023-05-01 00:00:00","B&K","false","false","333","63.8","ITM","0","GST","KG","250","9.28","0.4094","KG","500","9.28","0.3874","KG","1000","9.28","0.3712","KG","99999","9.28","0.3584","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"228291","X","ADL","PTA","2023-05-01 00:00:00","B&K","false","false","333","65.84","ITM","0","GST","KG","250","8.78","0.417","KG","500","8.78","0.3072","KG","1000","8.78","0.2085","KG","99999","8.78","0.1756","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"228292","X","ADL","PTL","2023-05-01 00:00:00","B&K","false","false","333","104.24","ITM","0","GST","KG","250","10.97","0.6474","KG","500","10.97","0.5267","KG","1000","10.97","0.4389","KG","99999","10.97","0.3511","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"228293","X","ADL","PTP","2023-05-01 00:00:00","B&K","false","false","333","65.84","ITM","0","GST","KG","250","8.78","0.417","KG","500","8.78","0.3072","KG","1000","8.78","0.2085","KG","99999","8.78","0.1756","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"228294","X","ADL","REN","2023-05-01 00:00:00","B&K","false","false","333","60.35","ITM","0","GST","KG","250","9.88","0.4279","KG","500","9.88","0.395","KG","1000","9.88","0.3182","KG","99999","9.88","0.2414","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"228295","X","ADL","SA1","2023-05-01 00:00:00","B&K","false","false","333","54.86","ITM","0","GST","KG","250","8.78","0.4938","KG","500","8.78","0.384","KG","1000","8.78","0.3292","KG","99999","8.78","0.2195","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
