"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"247203","X","ADL","ADH","2023-05-02 00:00:00","ITEM TYPE","false","false","","-1","ITM","0","GST","HTHP","99999","0","54.86","HTFP","1","0","54.86","HTFP","8","0","54.86","HTFP","14","0","54.86","HTFP","99999","0","54.86","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"247204","X","ADL","ADW1","2023-05-02 00:00:00","ITEM TYPE","false","false","","-1","ITM","0","GST","HTHP","99999","0","54.86","HTFP","1","0","54.86","HTFP","8","0","54.86","HTFP","14","0","54.86","HTFP","99999","0","54.86","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"247205","X","ADL","ADW2","2023-05-02 00:00:00","ITEM TYPE","false","false","","-1","ITM","0","GST","HTHP","99999","0","54.86","HTFP","1","0","54.86","HTFP","8","0","54.86","HTFP","14","0","54.86","HTFP","99999","0","54.86","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"247206","X","ADL","ADW3","2023-05-02 00:00:00","ITEM TYPE","false","false","","-1","ITM","0","GST","HTHP","99999","0","54.86","HTFP","1","0","54.86","HTFP","8","0","54.86","HTFP","14","0","54.86","HTFP","99999","0","54.86","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"247207","X","ADL","BNE","2023-05-02 00:00:00","ITEM TYPE","false","false","","-1","ITM","0","GST","HTHP","99999","0","126.18","HTFP","1","0","186.53","HTFP","8","0","182.14","HTFP","14","0","177.75","HTFP","99999","0","174.46","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","4"
"247208","X","ADL","MBR","2023-05-02 00:00:00","ITEM TYPE","false","false","","-1","ITM","0","GST","HTHP","99999","0","54.86","HTFP","1","0","54.86","HTFP","8","0","54.86","HTFP","14","0","54.86","HTFP","99999","0","54.86","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"247209","X","ADL","MEL","2023-05-02 00:00:00","ITEM TYPE","false","false","","-1","ITM","0","GST","HTHP","99999","0","63.64","HTFP","1","0","79","HTFP","8","0","74.61","HTFP","14","0","70.22","HTFP","99999","0","68.03","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","1"
"247210","X","ADL","SA1","2023-05-02 00:00:00","ITEM TYPE","false","false","","-1","ITM","0","GST","HTHP","99999","0","54.86","HTFP","1","0","54.86","HTFP","8","0","54.86","HTFP","14","0","54.86","HTFP","99999","0","54.86","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"247211","X","ADL","SA2","2023-05-02 00:00:00","ITEM TYPE","false","false","","-1","ITM","0","GST","HTHP","99999","0","54.86","HTFP","1","0","54.86","HTFP","8","0","54.86","HTFP","14","0","54.86","HTFP","99999","0","54.86","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"247212","X","ADL","SYD","2023-05-02 00:00:00","ITEM TYPE","false","false","","-1","ITM","0","GST","HTHP","99999","0","85.59","HTFP","1","0","125.09","HTFP","8","0","120.7","HTFP","14","0","118.5","HTFP","99999","0","115.21","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","2"
