"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"237418","EXP","PER","ADE","2023-05-17 00:00:00","B&K","false","false","250","85","ITM","0","GST","KG","500","15","0.3866","KG","1000","15","0.3535","KG","3000","15","0.232","KG","99999","15","0.2099","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","","4"
"237419","EXP","PER","MEL","2023-05-17 00:00:00","B&K","false","false","250","85","ITM","0","GST","KG","500","15","0.4088","KG","1000","15","0.3646","KG","3000","15","0.2541","KG","99999","15","0.221","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"237420","EXP","PER","SYD","2023-05-17 00:00:00","B&K","false","false","250","85","ITM","0","GST","KG","500","15","0.464","KG","1000","15","0.4198","KG","3000","15","0.2652","KG","99999","15","0.232","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"237421","EXP","PER","BNE","2023-05-17 00:00:00","B&K","false","false","250","85","ITM","0","GST","KG","500","15","0.6186","KG","1000","15","0.4529","KG","3000","15","0.3646","KG","99999","15","0.3204","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"237422","EXP","ADE","PER","2023-05-17 00:00:00","B&K","false","false","250","100","ITM","0","GST","KG","500","15","0.4971","KG","1000","15","0.4088","KG","3000","15","0.3977","KG","99999","15","0.3757","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"237423","EXP","MEL","PER","2023-05-17 00:00:00","B&K","false","false","250","100","ITM","0","GST","KG","500","15","0.6629","KG","1000","15","0.5524","KG","3000","15","0.5082","KG","99999","15","0.4862","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"237424","EXP","SYD","PER","2023-05-17 00:00:00","B&K","false","false","250","100","ITM","0","GST","KG","500","15","0.707","KG","1000","15","0.6186","KG","3000","15","0.5302","KG","99999","15","0.4971","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"237425","EXP","BNE","PER","2023-05-17 00:00:00","B&K","false","false","250","100","ITM","0","GST","KG","500","15","0.8396","KG","1000","15","0.7734","KG","3000","15","0.5855","KG","99999","15","0.5414","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"284925","EXP","PER","ADE","2023-10-05 00:00:00","B&K","false","false","250","89.998","ITM","0","GST","KG","500","15.882","0.4093","KG","1000","15.882","0.3743","KG","3000","15.882","0.2456","KG","99999","15.882","0.2222","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","","4"
"284926","EXP","PER","MEL","2023-10-05 00:00:00","B&K","false","false","250","89.998","ITM","0","GST","KG","500","15.882","0.4328","KG","1000","15.882","0.386","KG","3000","15.882","0.269","KG","99999","15.882","0.234","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"284927","EXP","PER","SYD","2023-10-05 00:00:00","B&K","false","false","250","89.998","ITM","0","GST","KG","500","15.882","0.4913","KG","1000","15.882","0.4445","KG","3000","15.882","0.2808","KG","99999","15.882","0.2456","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"284928","EXP","PER","BNE","2023-10-05 00:00:00","B&K","false","false","250","89.998","ITM","0","GST","KG","500","15.882","0.655","KG","1000","15.882","0.4795","KG","3000","15.882","0.386","KG","99999","15.882","0.3392","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"284929","EXP","ADE","PER","2023-10-05 00:00:00","B&K","false","false","250","105.88","ITM","0","GST","KG","500","15.882","0.5263","KG","1000","15.882","0.4328","KG","3000","15.882","0.4211","KG","99999","15.882","0.3978","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"284930","EXP","MEL","PER","2023-10-05 00:00:00","B&K","false","false","250","105.88","ITM","0","GST","KG","500","15.882","0.7019","KG","1000","15.882","0.5849","KG","3000","15.882","0.5381","KG","99999","15.882","0.5148","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"284931","EXP","SYD","PER","2023-10-05 00:00:00","B&K","false","false","250","105.88","ITM","0","GST","KG","500","15.882","0.7486","KG","1000","15.882","0.655","KG","3000","15.882","0.5614","KG","99999","15.882","0.5263","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"284932","EXP","BNE","PER","2023-10-05 00:00:00","B&K","false","false","250","105.88","ITM","0","GST","KG","500","15.882","0.889","KG","1000","15.882","0.8189","KG","3000","15.882","0.6199","KG","99999","15.882","0.5732","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
