"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"239350","G","ADL","MGA","2023-07-03 00:00:00","B&K","false","false","333","33.8685","ITM","0","GST","KG","100","21.7734","0.4756","KG","500","21.7734","0.4302","KG","1500","21.7734","0.317","KG","3000","21.7734","0.2152","KG","5000","21.7734","0.2152","KG","10000","21.7734","0.1812","KG","99999","21.7734","0.1472","","0","0","0","","0","0","0","","0","0","0","","",""
"239351","G","ADL","YUL","2023-07-03 00:00:00","B&K","false","false","333","45.9744","ITM","0","GST","KG","100","17.9021","0.8491","KG","500","17.9021","0.6793","KG","1500","17.9021","0.5887","KG","3000","17.9021","0.5435","KG","5000","17.9021","0.5435","KG","10000","17.9021","0.5208","KG","99999","17.9021","0.4416","","0","0","0","","0","0","0","","0","0","0","","",""
"239352","G","BRM","WAZ4","2023-07-03 00:00:00","B&K","false","false","333","50.8188","ITM","0","GST","KG","100","50.8188","0.5887","KG","500","50.8188","0.5321","KG","1500","50.8188","0.4868","KG","3000","50.8188","0.3396","KG","5000","50.8188","0.3283","KG","10000","50.8188","0.2944","KG","99999","50.8188","0.2491","","0","0","0","","0","0","0","","0","0","0","","",""
"239353","G","CNS","ISA","2023-07-03 00:00:00","B&K","false","false","333","50.8188","ITM","0","GST","KG","100","25.4094","0.6114","KG","500","25.4094","0.5435","KG","1500","25.4094","0.4642","KG","3000","25.4094","0.4189","KG","5000","25.4094","0.3963","KG","10000","25.4094","0.3963","KG","99999","25.4094","0.3623","","0","0","0","","0","0","0","","0","0","0","","",""
"239354","G","CNS","RKN","2023-07-03 00:00:00","B&K","false","false","333","32.6601","ITM","0","GST","KG","100","14.0415","0.385","KG","500","14.0415","0.3057","KG","1500","14.0415","0.2604","KG","3000","14.0415","0.2152","KG","5000","14.0415","0.1812","KG","10000","14.0415","0.1585","KG","99999","14.0415","0.1358","","0","0","0","","0","0","0","","0","0","0","","",""
"239355","G","DWN","ISA","2023-07-03 00:00:00","B&K","false","false","333","50.8188","ITM","0","GST","KG","100","25.4094","0.6114","KG","500","25.4094","0.5435","KG","1500","25.4094","0.4642","KG","3000","25.4094","0.4189","KG","5000","25.4094","0.3963","KG","10000","25.4094","0.3963","KG","99999","25.4094","0.3623","","0","0","0","","0","0","0","","0","0","0","","",""
"239356","G","DWN","KUN","2023-07-03 00:00:00","B&K","false","false","333","52.0273","ITM","0","GST","KG","100","25.4094","0.3283","KG","500","25.4094","0.2944","KG","1500","25.4094","0.2717","KG","3000","25.4094","0.2491","KG","5000","25.4094","0.2491","KG","10000","25.4094","0.2152","KG","99999","25.4094","0.2038","","0","0","0","","0","0","0","","0","0","0","","",""
"239357","G","MEL","MGA","2023-07-03 00:00:00","B&K","false","false","333","39.9214","ITM","0","GST","KG","100","19.2389","0.6454","KG","500","19.2389","0.6001","KG","1500","19.2389","0.5662","KG","3000","19.2389","0.4076","KG","5000","19.2389","0.4076","KG","10000","19.2389","0.3623","KG","99999","19.2389","0.3396","","0","0","0","","0","0","0","","0","0","0","","",""
"239358","G","MKY","GLD","2023-07-03 00:00:00","B&K","false","false","333","32.6601","ITM","0","GST","KG","100","14.0415","0.317","KG","500","14.0415","0.2604","KG","1500","14.0415","0.2152","KG","3000","14.0415","0.1585","KG","5000","14.0415","0.1472","KG","10000","14.0415","0.1246","KG","99999","14.0415","0.1133","","0","0","0","","0","0","0","","0","0","0","","",""
"239359","G","MKY","ISA","2023-07-03 00:00:00","B&K","false","false","333","50.8188","ITM","0","GST","KG","100","25.4094","0.6114","KG","500","25.4094","0.5435","KG","1500","25.4094","0.4642","KG","3000","25.4094","0.4189","KG","5000","25.4094","0.3963","KG","10000","25.4094","0.3963","KG","99999","25.4094","0.3623","","0","0","0","","0","0","0","","0","0","0","","",""
