"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"99828","SEAROAD","VM","TD","2020-10-01 00:00:00","B&K","false","false","1000","82.4","ITM","0","GST","KG","3000","21.4","0.0985","KG","7000","21.4","0.0985","KG","15000","21.4","0.0895","KG","99999","21.4","0.0851","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"99829","SEAROAD","VM","TL","2020-10-01 00:00:00","B&K","false","false","1000","82.4","ITM","0","GST","KG","3000","21.4","0.1094","KG","7000","21.4","0.1045","KG","15000","21.4","0.0997","KG","99999","21.4","0.0948","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"99830","SEAROAD","VM","TH","2020-10-01 00:00:00","B&K","false","false","1000","82.4","ITM","0","GST","KG","3000","21.4","0.119","KG","7000","21.4","0.1142","KG","15000","21.4","0.1094","KG","99999","21.4","0.1045","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"99831","SEAROAD","VM","TD1","2020-10-01 00:00:00","B&K","false","false","1000","109.8","ITM","0","GST","KG","99999","21.4","0.1187","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"99832","SEAROAD","VM","TD2","2020-10-01 00:00:00","B&K","false","false","1000","131.8","ITM","0","GST","KG","99999","21.4","0.1451","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"99833","SEAROAD","VM","TL1","2020-10-01 00:00:00","B&K","false","false","1000","109.8","ITM","0","GST","KG","99999","21.4","0.1254","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"99834","SEAROAD","VM","TL2","2020-10-01 00:00:00","B&K","false","false","1000","131.8","ITM","0","GST","KG","99999","21.4","0.1451","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"99835","SEAROAD","VM","TH1","2020-10-01 00:00:00","B&K","false","false","1000","109.8","ITM","0","GST","KG","99999","21.4","0.1385","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"99836","SEAROAD","VM","TH2","2020-10-01 00:00:00","B&K","false","false","1000","131.8","ITM","0","GST","KG","99999","21.4","0.1584","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"99837","SEAROAD","VM1","TD","2020-10-01 00:00:00","B&K","false","false","1000","109.8","ITM","0","GST","KG","99999","21.4","0.1161","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
