"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"44350","EXPQ","MEL","ADL","1970-01-01 10:00:00","B&K","","","250","13.69","ITM","0","GST","KG","99999","8.65","0.336","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"44351","EXPQ","MEL","BRS","1970-01-01 10:00:00","B&K","","","250","16.57","ITM","0","GST","KG","99999","8.65","0.528","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"44352","EXPQ","MEL","PER","1970-01-01 10:00:00","B&K","","","250","22.88","ITM","0","GST","KG","99999","8.65","0.949","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"44353","EXPQ","MEL","SYD","1970-01-01 10:00:00","B&K","","","250","13.32","ITM","0","GST","KG","99999","8.65","0.312","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"44354","EXPQ","MEL","LA1","1970-01-01 10:00:00","B&K","","","250","12.25","ITM","0","GST","KG","99999","8.65","0.24","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"44355","EXPQ","MEL","CBR","1970-01-01 10:00:00","B&K","","","250","13.32","ITM","0","GST","KG","99999","8.65","0.312","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"44356","EXPQ","MEL","CRN","1970-01-01 10:00:00","B&K","","","250","28.45","ITM","0","GST","KG","99999","10.44","1.201","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"44357","EXPQ","MEL","DAR","1970-01-01 10:00:00","B&K","","","250","33.56","ITM","0","GST","KG","99999","11.05","1.501","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"44358","EXPQ","MEL","GLD","1970-01-01 10:00:00","B&K","","","250","17.46","ITM","0","GST","KG","99999","8.65","0.588","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"44359","EXPQ","MEL","GOS","1970-01-01 10:00:00","B&K","","","250","16.2","ITM","0","GST","KG","99999","8.65","0.504","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"44360","EXPQ","MEL","HOB","1970-01-01 10:00:00","B&K","","","250","22.63","ITM","0","GST","KG","99999","9.84","0.852","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"44361","EXPQ","MEL","ISA","1970-01-01 10:00:00","B&K","","","250","37.34","ITM","0","GST","KG","99999","11.05","1.753","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"44362","EXPQ","MEL","LCN","1970-01-01 10:00:00","B&K","","","250","21.75","ITM","0","GST","KG","99999","9.84","0.793","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"44363","EXPQ","MEL","MAC","1970-01-01 10:00:00","B&K","","","250","27.18","ITM","0","GST","KG","99999","10.44","1.116","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"44364","EXPQ","MEL","NCL","1970-01-01 10:00:00","B&K","","","250","16.57","ITM","0","GST","KG","99999","8.65","0.528","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"44365","EXPQ","MEL","ROC","1970-01-01 10:00:00","B&K","","","250","26.28","ITM","0","GST","KG","99999","10.44","1.056","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"44366","EXPQ","MEL","SSC","1970-01-01 10:00:00","B&K","","","250","21.01","ITM","0","GST","KG","99999","9.84","0.744","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"44367","EXPQ","MEL","TVL","1970-01-01 10:00:00","B&K","","","250","28.09","ITM","0","GST","KG","99999","10.44","1.176","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"44368","EXPQ","MEL","TWB","1970-01-01 10:00:00","B&K","","","250","21.01","ITM","0","GST","KG","99999","9.84","0.744","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"44369","EXPQ","MEL","WOL","1970-01-01 10:00:00","B&K","","","250","16.39","ITM","0","GST","KG","99999","8.65","0.516","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"44370","EXPQ","MEL","AC1","1970-01-01 10:00:00","B&K","","","250","18.85","ITM","0","GST","KG","99999","9.84","0.6","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"44371","EXPQ","MEL","AC2","1970-01-01 10:00:00","B&K","","","250","20.3","ITM","0","GST","KG","99999","9.84","0.697","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"44372","EXPQ","MEL","AC3","1970-01-01 10:00:00","B&K","","","250","22.04","ITM","0","GST","KG","99999","11.05","0.733","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"44373","EXPQ","MEL","AC4","1970-01-01 10:00:00","B&K","","","250","30.7","ITM","0","GST","KG","99999","11.05","1.31","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"44374","EXPQ","MEL","AC5","1970-01-01 10:00:00","B&K","","","250","33.33","ITM","0","GST","KG","99999","12.25","1.405","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
