"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"152557","PRM","ADL","ADL","2022-09-01 10:00:00","B&K","false","false","250","11.78","ITM","0","GST","KG","999999","9.08","0.402","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"152558","PRM","ADL","BRS","2022-09-01 10:00:00","B&K","false","false","250","11.78","ITM","0","GST","KG","999999","9.08","4.473","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"152559","PRM","ADL","MEL","2022-09-01 10:00:00","B&K","false","false","250","11.78","ITM","0","GST","KG","999999","9.08","0.743","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"152560","PRM","ADL","PER","2022-09-01 10:00:00","B&K","false","false","250","11.78","ITM","0","GST","KG","999999","9.08","6.3001","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"152561","PRM","ADL","SYD","2022-09-01 10:00:00","B&K","false","false","250","11.78","ITM","0","GST","KG","999999","9.08","2.9984","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"152562","PRM","ADL","ASP","2022-09-01 10:00:00","B&K","false","false","250","14.29","ITM","0","GST","KG","999999","11.6","8.8567","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"152563","PRM","ADL","BOR","2022-09-01 10:00:00","B&K","false","false","250","11.78","ITM","0","GST","KG","999999","9.08","0.7179","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"152564","PRM","ADL","BRK","2022-09-01 10:00:00","B&K","false","false","250","14.29","ITM","0","GST","KG","999999","11.6","4.347","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"152565","PRM","ADL","CBR","2022-09-01 10:00:00","B&K","false","false","250","11.78","ITM","0","GST","KG","999999","9.08","4.0437","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"152566","PRM","ADL","CRN","2022-09-01 10:00:00","B&K","false","false","250","14.29","ITM","0","GST","KG","999999","11.6","13.231","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"152567","PRM","ADL","DAR","2022-09-01 10:00:00","B&K","false","false","250","14.29","ITM","0","GST","KG","999999","11.6","13.0148","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"152568","PRM","ADL","GLD","2022-09-01 10:00:00","B&K","false","false","250","13.05","ITM","0","GST","KG","999999","10.33","5.2674","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"152569","PRM","ADL","HOB","2022-09-01 10:00:00","B&K","false","false","250","14.29","ITM","0","GST","KG","999999","11.6","4.2967","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"152570","PRM","ADL","LCN","2022-09-01 10:00:00","B&K","false","false","250","14.29","ITM","0","GST","KG","999999","11.6","4.2326","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"152571","PRM","ADL","MAC","2022-09-01 10:00:00","B&K","false","false","250","14.29","ITM","0","GST","KG","999999","11.6","14.4768","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"152572","PRM","ADL","MCT","2022-09-01 10:00:00","B&K","false","false","250","11.78","ITM","0","GST","KG","999999","9.08","1.4105","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"152573","PRM","ADL","MNO","2022-09-01 10:00:00","B&K","false","false","250","11.78","ITM","0","GST","KG","999999","9.08","1.4105","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"152574","PRM","ADL","MTG","2022-09-01 10:00:00","B&K","false","false","250","11.78","ITM","0","GST","KG","999999","9.08","1.4105","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"152575","PRM","ADL","NCL","2022-09-01 10:00:00","B&K","false","false","250","11.78","ITM","0","GST","KG","999999","9.08","3.8307","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"152576","PRM","ADL","NCT","2022-09-01 10:00:00","B&K","false","false","250","11.78","ITM","0","GST","KG","999999","9.08","1.4105","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
