"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"150163","EXP","SYD","ADL","2022-09-20 00:00:00","B&K","false","false","250","15.71","ITM","0","GST","KG","99999","8.99","0.448","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150164","EXP","SYD","BRS","2022-09-20 00:00:00","B&K","false","false","250","15.34","ITM","0","GST","KG","99999","8.99","0.423","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150165","EXP","SYD","MEL","2022-09-20 00:00:00","B&K","false","false","250","13.69","ITM","0","GST","KG","99999","8.99","0.313","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150166","EXP","SYD","PER","2022-09-20 00:00:00","B&K","false","false","250","25.27","ITM","0","GST","KG","99999","8.99","1.085","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150167","EXP","SYD","SYD","2022-09-20 00:00:00","B&K","false","false","250","12.73","ITM","0","GST","KG","99999","8.99","0.249","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150168","EXP","SYD","CBR","2022-09-20 00:00:00","B&K","false","false","250","13.3","ITM","0","GST","KG","99999","8.99","0.287","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150169","EXP","SYD","CRN","2022-09-20 00:00:00","B&K","false","false","250","26.88","ITM","0","GST","KG","99999","10.23","1.11","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150170","EXP","SYD","DAR","2022-09-20 00:00:00","B&K","false","false","250","31.92","ITM","0","GST","KG","99999","11.49","1.362","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150171","EXP","SYD","GLD","2022-09-20 00:00:00","B&K","false","false","250","16.28","ITM","0","GST","KG","99999","8.99","0.486","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150172","EXP","SYD","GOS","2022-09-20 00:00:00","B&K","false","false","250","13.1","ITM","0","GST","KG","99999","8.99","0.274","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150173","EXP","SYD","HOB","2022-09-20 00:00:00","B&K","false","false","250","29.27","ITM","0","GST","KG","99999","11.49","1.185","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150174","EXP","SYD","ISA","2022-09-20 00:00:00","B&K","false","false","250","36.77","ITM","0","GST","KG","99999","11.49","1.685","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150175","EXP","SYD","LCN","2022-09-20 00:00:00","B&K","false","false","250","28.14","ITM","0","GST","KG","99999","11.49","1.11","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150176","EXP","SYD","MAC","2022-09-20 00:00:00","B&K","false","false","250","25.76","ITM","0","GST","KG","99999","10.23","1.035","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150177","EXP","SYD","NCL","2022-09-20 00:00:00","B&K","false","false","250","13.1","ITM","0","GST","KG","99999","8.99","0.274","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150178","EXP","SYD","ROC","2022-09-20 00:00:00","B&K","false","false","250","24.83","ITM","0","GST","KG","99999","10.23","0.973","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150179","EXP","SYD","SSC","2022-09-20 00:00:00","B&K","false","false","250","19.79","ITM","0","GST","KG","99999","10.23","0.637","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150180","EXP","SYD","TVL","2022-09-20 00:00:00","B&K","false","false","250","26.51","ITM","0","GST","KG","99999","10.23","1.085","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150181","EXP","SYD","TWB","2022-09-20 00:00:00","B&K","false","false","250","19.79","ITM","0","GST","KG","99999","10.23","0.637","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150182","EXP","SYD","WOL","2022-09-20 00:00:00","B&K","false","false","250","13.1","ITM","0","GST","KG","99999","8.99","0.274","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150183","EXP","SYD","AC1","2022-09-20 00:00:00","B&K","false","false","250","21.11","ITM","0","GST","KG","99999","10.23","0.725","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150184","EXP","SYD","AC2","2022-09-20 00:00:00","B&K","false","false","250","22.4","ITM","0","GST","KG","99999","10.23","0.811","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150185","EXP","SYD","AC3","2022-09-20 00:00:00","B&K","false","false","250","24.24","ITM","0","GST","KG","99999","11.49","0.85","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150186","EXP","SYD","AC4","2022-09-20 00:00:00","B&K","false","false","250","33.39","ITM","0","GST","KG","99999","11.49","1.46","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150187","EXP","SYD","AC5","2022-09-20 00:00:00","B&K","false","false","250","35.94","ITM","0","GST","KG","99999","12.73","1.547","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150188","EXP","SYD","AC6","2022-09-20 00:00:00","B&K","false","false","250","41.8","ITM","0","GST","KG","99999","15.23","1.771","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150189","EXP","SYD","AC7","2022-09-20 00:00:00","B&K","false","false","250","43.8","ITM","0","GST","KG","99999","16.47","1.822","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150190","EXP","SYD","AC8","2022-09-20 00:00:00","B&K","false","false","250","45.66","ITM","0","GST","KG","99999","16.47","1.946","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150191","EXP","SYD","AC9","2022-09-20 00:00:00","B&K","false","false","250","45.66","ITM","0","GST","KG","99999","16.47","1.946","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150192","EXP","SYD","HC1","2022-09-20 00:00:00","B&K","false","false","250","36.13","ITM","0","GST","KG","99999","12.73","1.56","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150193","EXP","SYD","LC1","2022-09-20 00:00:00","B&K","false","false","250","35.38","ITM","0","GST","KG","99999","12.73","1.51","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150194","EXP","SYD","LC2","2022-09-20 00:00:00","B&K","false","false","250","36.13","ITM","0","GST","KG","99999","12.73","1.56","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150195","EXP","SYD","LC3","2022-09-20 00:00:00","B&K","false","false","250","38.01","ITM","0","GST","KG","99999","12.73","1.685","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150196","EXP","SYD","NC1","2022-09-20 00:00:00","B&K","false","false","250","13.48","ITM","0","GST","KG","99999","8.99","0.299","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150197","EXP","SYD","NC2","2022-09-20 00:00:00","B&K","false","false","250","14.06","ITM","0","GST","KG","99999","8.99","0.338","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150198","EXP","SYD","NC3","2022-09-20 00:00:00","B&K","false","false","250","15.56","ITM","0","GST","KG","99999","8.99","0.438","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150199","EXP","SYD","NC4","2022-09-20 00:00:00","B&K","false","false","250","17.23","ITM","0","GST","KG","99999","8.99","0.549","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150200","EXP","SYD","NC5","2022-09-20 00:00:00","B&K","false","false","250","22.22","ITM","0","GST","KG","99999","10.23","0.799","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150201","EXP","SYD","NC6","2022-09-20 00:00:00","B&K","false","false","250","27.63","ITM","0","GST","KG","99999","10.23","1.16","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150202","EXP","SYD","QC1","2022-09-20 00:00:00","B&K","false","false","250","19.95","ITM","0","GST","KG","99999","10.23","0.648","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150203","EXP","SYD","QC2","2022-09-20 00:00:00","B&K","false","false","250","21.11","ITM","0","GST","KG","99999","10.23","0.725","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"150204","EXP","SYD","QC3","2022-09-20 00:00:00","B&K","false","false","250","24.26","ITM","0","GST","KG","99999","10.23","0.935","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
