"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"105841","express","ADE","ADE","2022-02-28 00:00:00","B&K","false","false","250","10.34","ITM","0","GST","KG","99999","8.43","0.2412","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105842","express","ADE","ALB","2022-02-28 00:00:00","B&K","false","false","250","12.64","ITM","0","GST","KG","99999","9.04","0.5739","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105843","express","ADE","ASP","2022-02-28 00:00:00","B&K","false","false","250","16.09","ITM","0","GST","KG","99999","11.46","0.8034","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105844","express","ADE","BAL","2022-02-28 00:00:00","B&K","false","false","250","11.48","ITM","0","GST","KG","99999","9.04","0.4477","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105845","express","ADE","BEN","2022-02-28 00:00:00","B&K","false","false","250","11.48","ITM","0","GST","KG","99999","9.04","0.4821","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105846","express","ADE","BNE","2022-02-28 00:00:00","B&K","false","false","250","11.48","ITM","0","GST","KG","99999","8.43","0.5625","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105847","express","ADE","CAN","2022-02-28 00:00:00","B&K","false","false","250","12.64","ITM","0","GST","KG","99999","9.04","0.6084","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105848","express","ADE","CRN","2022-02-28 00:00:00","B&K","false","false","250","17.23","ITM","0","GST","KG","99999","10.86","1.1822","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105849","express","ADE","DRW","2022-02-28 00:00:00","B&K","false","false","250","17.23","ITM","0","GST","KG","99999","11.46","0.9986","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105850","express","ADE","GC","2022-02-28 00:00:00","B&K","false","false","250","13.78","ITM","0","GST","KG","99999","9.64","0.6886","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105851","express","ADE","GEE","2022-02-28 00:00:00","B&K","false","false","250","11.48","ITM","0","GST","KG","99999","9.04","0.4248","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105852","express","ADE","GOS","2022-02-28 00:00:00","B&K","false","false","250","12.64","ITM","0","GST","KG","99999","9.04","0.6084","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105853","express","ADE","ISA","2022-02-28 00:00:00","B&K","false","false","250","20.66","ITM","0","GST","KG","99999","12.07","1.5264","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105854","express","ADE","MEL","2022-02-28 00:00:00","B&K","false","false","250","10.34","ITM","0","GST","KG","99999","8.43","0.2412","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105855","express","ADE","MKY","2022-02-28 00:00:00","B&K","false","false","250","16.09","ITM","0","GST","KG","99999","10.86","0.9871","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105856","express","ADE","MTG","2022-02-28 00:00:00","B&K","false","false","250","11.48","ITM","0","GST","KG","99999","9.04","0.4132","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105857","express","ADE","MYD","2022-02-28 00:00:00","B&K","false","false","250","14.94","ITM","0","GST","KG","99999","10.86","0.8034","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105858","express","ADE","NEW","2022-02-28 00:00:00","B&K","false","false","250","12.64","ITM","0","GST","KG","99999","9.04","0.6543","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105859","express","ADE","NS1","2022-02-28 00:00:00","B&K","false","false","250","14.94","ITM","0","GST","KG","99999","11.46","0.6543","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105860","express","ADE","NS2","2022-02-28 00:00:00","B&K","false","false","250","16.09","ITM","0","GST","KG","99999","11.46","0.8494","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105861","express","ADE","NS3","2022-02-28 00:00:00","B&K","false","false","250","18.37","ITM","0","GST","KG","99999","11.46","1.1822","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105862","express","ADE","NT1","2022-02-28 00:00:00","B&K","false","false","250","31","ITM","0","GST","KG","99999","22.39","1.5838","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105863","express","ADE","PER","2022-02-28 00:00:00","B&K","false","false","250","12.64","ITM","0","GST","KG","99999","9.04","0.792","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105864","express","ADE","QL1","2022-02-28 00:00:00","B&K","false","false","250","25.26","ITM","0","GST","KG","99999","18.75","1.0675","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105865","express","ADE","QL2","2022-02-28 00:00:00","B&K","false","false","250","25.26","ITM","0","GST","KG","99999","18.75","1.1477","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105866","express","ADE","QL3","2022-02-28 00:00:00","B&K","false","false","250","26.41","ITM","0","GST","KG","99999","18.75","1.3084","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105867","express","ADE","RKY","2022-02-28 00:00:00","B&K","false","false","250","16.09","ITM","0","GST","KG","99999","10.86","0.9067","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105868","express","ADE","SA1","2022-02-28 00:00:00","B&K","false","false","250","11.48","ITM","0","GST","KG","99999","9.04","0.356","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105869","express","ADE","SA2","2022-02-28 00:00:00","B&K","false","false","250","14.94","ITM","0","GST","KG","99999","12.07","0.4707","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105870","express","ADE","SA3","2022-02-28 00:00:00","B&K","false","false","250","17.23","ITM","0","GST","KG","99999","12.07","0.9986","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105871","express","ADE","SYD","2022-02-28 00:00:00","B&K","false","false","250","10.34","ITM","0","GST","KG","99999","8.43","0.3443","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105872","express","ADE","TSC","2022-02-28 00:00:00","B&K","false","false","250","19.52","ITM","0","GST","KG","99999","12.07","1.4003","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105873","express","ADE","TSM","2022-02-28 00:00:00","B&K","false","false","250","17.23","ITM","0","GST","KG","99999","10.86","1.1707","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105874","express","ADE","TVL","2022-02-28 00:00:00","B&K","false","false","250","17.23","ITM","0","GST","KG","99999","10.86","1.0904","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105875","express","ADE","TWB","2022-02-28 00:00:00","B&K","false","false","250","14.94","ITM","0","GST","KG","99999","10.86","0.8034","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105876","express","ADE","VC1","2022-02-28 00:00:00","B&K","false","false","250","16.09","ITM","0","GST","KG","99999","12.07","0.6084","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105877","express","ADE","VC2","2022-02-28 00:00:00","B&K","false","false","250","17.23","ITM","0","GST","KG","99999","12.07","0.8264","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105878","express","ADE","WA1","2022-02-28 00:00:00","B&K","false","false","250","20.66","ITM","0","GST","KG","99999","13.89","1.2625","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105879","express","ADE","WA2","2022-02-28 00:00:00","B&K","false","false","250","24.12","ITM","0","GST","KG","99999","15.11","1.733","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105880","express","ADE","WA3","2022-02-28 00:00:00","B&K","false","false","250","31","ITM","0","GST","KG","99999","18.75","2.2609","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105881","express","ADE","WA4","2022-02-28 00:00:00","B&K","false","false","250","33.29","ITM","0","GST","KG","99999","18.75","2.6627","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105882","express","ADE","WOL","2022-02-28 00:00:00","B&K","false","false","250","12.64","ITM","0","GST","KG","99999","9.04","0.5625","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105883","express","ADE","YRK","2022-02-28 00:00:00","B&K","false","false","250","58.55","ITM","0","GST","KG","99999","36.96","3.925","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105884","express","BNE","ADE","2022-02-28 00:00:00","B&K","false","false","250","11.48","ITM","0","GST","KG","99999","8.43","0.5855","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105885","express","BNE","ALB","2022-02-28 00:00:00","B&K","false","false","250","13.78","ITM","0","GST","KG","99999","9.64","0.7232","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"105886","express","BNE","ASP","2022-02-28 00:00:00","B&K","false","false","250","18.37","ITM","0","GST","KG","99999","11.46","1.3084","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
