"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"6146","express","ADE","ADE","1970-01-01 00:00:00","B&K","false","false","250","9","ITM","0","GST","KG","99999","7.15","0.21","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","","1"
"6147","express","ADE","ALB","1970-01-01 00:00:00","B&K","false","false","250","11","ITM","0","GST","KG","99999","7.7","0.5","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","","2"
"6148","express","ADE","ASP","1970-01-01 00:00:00","B&K","false","false","250","14","ITM","0","GST","KG","99999","9.9","0.7","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","","3"
"6149","express","ADE","BAL","1970-01-01 00:00:00","B&K","false","false","250","10","ITM","0","GST","KG","99999","7.7","0.39","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","","2"
"6150","express","ADE","BEN","1970-01-01 00:00:00","B&K","false","false","250","10","ITM","0","GST","KG","99999","7.7","0.42","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","","2"
"6151","express","ADE","BNE","1970-01-01 00:00:00","B&K","false","false","250","10","ITM","0","GST","KG","99999","7.15","0.49","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","","3"
"6152","express","ADE","CAN","1970-01-01 00:00:00","B&K","false","false","250","11","ITM","0","GST","KG","99999","7.7","0.53","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","","2"
"6153","express","ADE","CRN","1970-01-01 00:00:00","B&K","false","false","250","15","ITM","0","GST","KG","99999","9.35","1.03","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","","6"
"6154","express","ADE","DRW","1970-01-01 00:00:00","B&K","false","false","250","15","ITM","0","GST","KG","99999","9.9","0.87","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","","3"
"6155","express","ADE","GC","1970-01-01 00:00:00","B&K","false","false","250","12","ITM","0","GST","KG","99999","8.25","0.6","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","","3"
