"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"231553","75","NN1","NN1","2023-05-12 00:00:00","B&K","false","false","250","0","ITM","0","GST","KG","3","9.324","0","KG","5","11.655","0","KG","99999","8.1585","0.6993","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","","1"
"231554","75","NN1","NN2","2023-05-12 00:00:00","B&K","false","false","250","0","ITM","0","GST","KG","3","11.655","0","KG","5","16.317","0","KG","99999","4.662","2.331","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"231555","75","NN1","NN3","2023-05-12 00:00:00","B&K","false","false","250","0","ITM","0","GST","KG","3","11.655","0","KG","5","16.317","0","KG","99999","4.662","2.331","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"231556","75","NN1","NN4","2023-05-12 00:00:00","B&K","false","false","250","0","ITM","0","GST","KG","3","11.655","0","KG","5","16.317","0","KG","99999","4.662","2.331","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","","1"
"231557","75","NN1","NN5","2023-05-12 00:00:00","B&K","false","false","250","0","ITM","0","GST","KG","3","11.655","0","KG","5","16.317","0","KG","99999","4.662","2.331","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","","1"
"231558","75","NN1","NN6","2023-05-12 00:00:00","B&K","false","false","250","0","ITM","0","GST","KG","3","11.655","0","KG","5","16.317","0","KG","99999","4.662","2.331","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","","1"
"231559","75","NN1","QQ1","2023-05-12 00:00:00","B&K","false","false","250","0","ITM","0","GST","KG","3","11.655","0","KG","5","16.317","0","KG","99999","4.662","2.331","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","","1"
"231560","75","NN1","QQ2","2023-05-12 00:00:00","B&K","false","false","250","0","ITM","0","GST","KG","3","20.979","0","KG","5","27.972","0","KG","99999","0","5.5944","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"231561","75","NN1","QQ3","2023-05-12 00:00:00","B&K","false","false","250","0","ITM","0","GST","KG","3","25.641","0","KG","5","37.296","0","KG","99999","-13.986","10.2564","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","","2"
"231562","75","NN1","QQ4","2023-05-12 00:00:00","B&K","false","false","250","0","ITM","0","GST","KG","3","44.289","0","KG","5","65.268","0","KG","99999","-2.331","13.5198","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
