"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"160239","E","ADELAIDE","ALICE SPRINGS","2030-09-19 00:00:00","B&K","","","250","52.5","ITM","0","GST","KG","1","26.55","0.8259","KG","101","26.55","0.5686","KG","501","26.55","0.5162","KG","1001","26.55","0.4131","KG","5001","26.55","0.3494","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"160240","E","ADELAIDE","DARWIN","2030-09-19 00:00:00","B&K","","","250","52.5","ITM","0","GST","KG","1","26.55","1.2164","KG","101","26.55","0.8355","KG","501","26.55","0.7607","KG","1001","26.55","0.6083","KG","5001","26.55","0.5829","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"160241","E","ADELAIDE","KATHERINE","2030-09-19 00:00:00","B&K","","","250","52.5","ITM","0","GST","KG","1","26.55","1.3374","KG","101","26.55","0.9196","KG","501","26.55","0.8355","KG","1001","26.55","0.6687","KG","5001","26.55","0.6401","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"160242","E","ADELAIDE","MELBOURNE","2030-09-19 00:00:00","B&K","","","250","52.5","ITM","0","GST","KG","1","26.55","0.5972","KG","101","26.55","0.4098","KG","501","26.55","0.3732","KG","1001","26.55","0.2987","KG","5001","26.55","0.2129","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"160243","E","ADELAIDE","PERTH","2030-09-19 00:00:00","B&K","","","250","52.5","ITM","0","GST","KG","1","35.8425","2.4311","KG","101","35.8425","1.6725","KG","501","35.8425","1.5201","KG","1001","35.8425","1.4066","KG","5001","35.8425","1.2587","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"160244","E","ADELAIDE","DALBY","2030-09-19 00:00:00","B&K","","","250","52.5","ITM","0","GST","KG","1","26.55","1.0149","KG","101","26.55","0.6971","KG","501","26.55","0.6337","KG","1001","26.55","0.5194","KG","5001","26.55","0.483","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"160245","E","ADELAIDE","ROMA","2030-09-19 00:00:00","B&K","","","250","52.5","ITM","0","GST","KG","1","26.55","1.1418","KG","101","26.55","0.7846","KG","501","26.55","0.713","KG","1001","26.55","0.5907","KG","5001","26.55","0.5639","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"160246","E","ADELAIDE","CLONCURRY","2030-09-19 00:00:00","B&K","","","250","52.5","ITM","0","GST","KG","1","26.55","1.6565","KG","101","26.55","1.1387","KG","501","26.55","1.0354","KG","1001","26.55","0.9213","KG","5001","26.55","0.8814","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"160247","E","ADELAIDE","BILOELA","2030-09-19 00:00:00","B&K","","","250","52.5","ITM","0","GST","KG","1","26.55","1.4579","KG","101","26.55","1.1578","KG","501","26.55","0.9116","KG","1001","26.55","0.7927","KG","5001","26.55","0.7258","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"160248","E","ADELAIDE","BRISBANE","2030-09-19 00:00:00","B&K","","","250","52.5","ITM","0","GST","KG","1","26.55","0.9022","KG","101","26.55","0.621","KG","501","26.55","0.5639","KG","1001","26.55","0.451","KG","5001","26.55","0.4131","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
