"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"11564","E","ADELAIDE","ALICE SPRINGS","2030-09-19 00:00:00","B&K","","","333","57.45","ITM","0","GST","KG","1","17.65","0.3713","KG","501","17.65","0.2973","KG","1001","17.65","0.2512","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"11565","E","ADELAIDE","DARWIN","2030-09-19 00:00:00","B&K","","","333","57.45","ITM","0","GST","KG","1","17.65","0.5483","KG","501","17.65","0.4375","KG","1001","17.65","0.4187","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"11566","E","ADELAIDE","KATHERINE","2030-09-19 00:00:00","B&K","","","333","57.45","ITM","0","GST","KG","1","17.65","0.601","KG","501","17.65","0.4808","KG","1001","17.65","0.4619","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"11567","E","ADELAIDE","MELBOURNE","2030-09-19 00:00:00","B&K","","","333","57.45","ITM","0","GST","KG","1","17.65","0.2409","KG","501","17.65","0.2038","KG","1001","17.65","0.1526","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"11568","E","ADELAIDE","PERTH","2030-09-19 00:00:00","B&K","","","333","57.45","ITM","0","GST","KG","1","17.65","0.8103","KG","501","17.65","0.7495","KG","1001","17.65","0.6711","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"11569","E","MELBOURNE","ADELAIDE","2030-09-19 00:00:00","B&K","","","333","57.45","ITM","0","GST","KG","1","17.65","0.3187","KG","501","17.65","0.2904","KG","1001","17.65","0.2376","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"11570","E","MELBOURNE","ALICE SPRINGS","2030-09-19 00:00:00","B&K","","","333","57.45","ITM","0","GST","KG","1","17.65","0.4633","KG","501","17.65","0.3782","KG","1001","17.65","0.3404","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"11571","E","MELBOURNE","DARWIN","2030-09-19 00:00:00","B&K","","","333","57.45","ITM","0","GST","KG","1","17.65","0.6024","KG","501","17.65","0.4902","KG","1001","17.65","0.4741","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"11572","E","MELBOURNE","KATHERINE","2030-09-19 00:00:00","B&K","","","333","57.45","ITM","0","GST","KG","1","17.65","0.8387","KG","501","17.65","0.7252","KG","1001","17.65","0.7103","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"11573","E","MELBOURNE","PERTH","2030-09-19 00:00:00","B&K","","","333","57.45","ITM","0","GST","KG","1","17.65","0.7657","KG","501","17.65","0.6281","KG","1001","17.65","0.5497","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"11574","E","PERTH","ADELAIDE","2030-09-19 00:00:00","B&K","","","333","57.45","ITM","0","GST","KG","1","17.65","0.3309","KG","501","17.65","0.2661","KG","1001","17.65","0.2133","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"11575","E","PERTH","MELBOURNE","2030-09-19 00:00:00","B&K","","","333","57.45","ITM","0","GST","KG","1","17.65","0.4728","KG","501","17.65","0.3782","KG","1001","17.65","0.3484","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"11576","E","ADELAIDE","DALBY","2030-09-19 00:00:00","B&K","","","333","57.45","ITM","0","GST","KG","1","17.65","0.4552","KG","501","17.65","0.3741","KG","1001","17.65","0.3484","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"11577","E","ADELAIDE","ROMA","2030-09-19 00:00:00","B&K","","","333","57.45","ITM","0","GST","KG","1","17.65","0.5131","KG","501","17.65","0.4253","KG","1001","17.65","0.4053","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"11578","E","ADELAIDE","CLONCURRY","2030-09-19 00:00:00","B&K","","","333","57.45","ITM","0","GST","KG","1","17.65","0.7456","KG","501","17.65","0.663","KG","1001","17.65","0.6348","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"11579","E","ADELAIDE","BILOELA","2030-09-19 00:00:00","B&K","","","333","57.45","ITM","0","GST","KG","1","17.65","0.655","KG","501","17.65","0.5699","KG","1001","17.65","0.5227","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"11580","E","ADELAIDE","BRISBANE","2030-09-19 00:00:00","B&K","","","333","57.45","ITM","0","GST","KG","1","17.65","0.4053","KG","501","17.65","0.3242","KG","1001","17.65","0.2973","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"11581","E","ADELAIDE","BUNDABERG","2030-09-19 00:00:00","B&K","","","333","57.45","ITM","0","GST","KG","1","17.65","0.4754","KG","501","17.65","0.3796","KG","1001","17.65","0.3673","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"11582","E","ADELAIDE","CAIRNS","2030-09-19 00:00:00","B&K","","","333","57.45","ITM","0","GST","KG","1","17.65","0.6281","KG","501","17.65","0.5442","KG","1001","17.65","0.5212","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"11583","E","ADELAIDE","EMERALD","2030-09-19 00:00:00","B&K","","","333","57.45","ITM","0","GST","KG","1","17.65","0.5996","KG","501","17.65","0.4971","KG","1001","17.65","0.4889","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"11584","E","ADELAIDE","GLADSTONE","2030-09-19 00:00:00","B&K","","","333","57.45","ITM","0","GST","KG","1","17.65","0.5497","KG","501","17.65","0.4417","KG","1001","17.65","0.412","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"11585","E","ADELAIDE","GOLD COAST","2030-09-19 00:00:00","B&K","","","333","57.45","ITM","0","GST","KG","1","17.65","0.4646","KG","501","17.65","0.3713","KG","1001","17.65","0.3553","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"11586","E","ADELAIDE","MACKAY","2030-09-19 00:00:00","B&K","","","333","57.45","ITM","0","GST","KG","1","17.65","0.5782","KG","501","17.65","0.4633","KG","1001","17.65","0.4605","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
"11587","E","ADELAIDE","MARYBOROUGH","2030-09-19 00:00:00","B&K","","","333","57.45","ITM","0","GST","KG","1","17.65","0.4579","KG","501","17.65","0.3673","KG","1001","17.65","0.3499","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FL","",""
