"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"30846","E","3212-02","2164-01","2017-04-03 00:00:00","B&K","false","false","333","40.55","ITM","0","GST","KG","99999","9.85","0.5221","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"30847","E","3212-02","2250-30","2017-04-03 00:00:00","B&K","false","false","333","40.55","ITM","0","GST","KG","99999","9.85","0.227","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"30848","E","3212-02","3337-01","2017-04-03 00:00:00","B&K","false","false","333","40.55","ITM","0","GST","KG","99999","9.85","0.0568","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"30849","E","3212-02","3429-02","2017-04-03 00:00:00","B&K","false","false","333","40.55","ITM","0","GST","KG","99999","9.85","0.0454","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"30850","E","3212-02","3505-03","2017-04-03 00:00:00","B&K","false","false","333","40.55","ITM","0","GST","KG","99999","9.85","0.1589","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"30851","E","3212-02","3810-01","2017-04-03 00:00:00","B&K","false","false","333","40.55","ITM","0","GST","KG","99999","9.85","0.0454","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"30852","E","3212-02","3977-02","2017-04-03 00:00:00","B&K","false","false","333","40.55","ITM","0","GST","KG","99999","9.85","0.0454","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"30853","E","3212-02","4165-05","2017-04-03 00:00:00","B&K","false","false","333","40.55","ITM","0","GST","KG","99999","9.85","0.227","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"30854","E","3212-02","4205-01","2017-04-03 00:00:00","B&K","false","false","333","40.55","ITM","0","GST","KG","99999","9.85","0.2384","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"30855","E","3212-02","4207-16","2017-04-03 00:00:00","B&K","false","false","333","40.55","ITM","0","GST","KG","99999","9.85","0.2384","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"30856","E","3212-02","4305-10","2017-04-03 00:00:00","B&K","false","false","333","40.55","ITM","0","GST","KG","99999","9.85","0.3066","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"30857","E","3212-02","4305-20","2017-04-03 00:00:00","B&K","false","false","333","40.55","ITM","0","GST","KG","99999","9.85","0.3066","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"30858","E","3212-02","4802-01","2017-04-03 00:00:00","B&K","false","false","333","40.55","ITM","0","GST","KG","99999","9.85","0.5676","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"30859","E","3212-02","4822-03","2017-04-03 00:00:00","B&K","false","false","333","40.55","ITM","0","GST","KG","99999","9.85","0.4428","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"30860","E","3212-02","4883-01","2017-04-03 00:00:00","B&K","false","false","333","40.55","ITM","0","GST","KG","99999","9.85","0.6698","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"30861","E","3212-02","ADELAI-00","2017-04-03 00:00:00","B&K","false","false","333","40.55","ITM","0","GST","KG","99999","9.85","0.1136","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"30862","E","3212-02","ALBANY-00","2017-04-03 00:00:00","B&K","false","false","333","40.55","ITM","0","GST","KG","99999","9.85","0.681","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"30863","E","3212-02","ALBURY-00","2017-04-03 00:00:00","B&K","false","false","333","40.55","ITM","0","GST","KG","99999","9.85","0.1249","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"30864","E","3212-02","ALICES-00","2017-04-03 00:00:00","B&K","false","false","333","40.55","ITM","0","GST","KG","99999","9.85","0.4313","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"30865","E","3212-02","BALLAR-00","2017-04-03 00:00:00","B&K","false","false","333","40.55","ITM","0","GST","KG","99999","9.85","0.1022","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"30866","E","3212-02","BILOEL-00","2017-04-03 00:00:00","B&K","false","false","333","40.55","ITM","0","GST","KG","99999","9.85","0.6584","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"30867","E","3212-02","BRISBA-00","2017-04-03 00:00:00","B&K","false","false","333","40.55","ITM","0","GST","KG","99999","9.85","0.227","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"30868","E","3212-02","BROOME-00","2017-04-03 00:00:00","B&K","false","false","333","40.55","ITM","0","GST","KG","99999","9.85","0.7832","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"30869","E","3212-02","BUNDAB-00","2017-04-03 00:00:00","B&K","false","false","333","40.55","ITM","0","GST","KG","99999","9.85","0.3406","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"30870","E","3212-02","BURNIE-00","2017-04-03 00:00:00","B&K","false","false","1000","40.55","ITM","0","GST","KG","99999","9.85","0.227","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
"30871","E","3212-02","CAIRNS-00","2017-04-03 00:00:00","B&K","false","false","333","40.55","ITM","0","GST","KG","99999","9.85","0.4995","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","FS","",""
