"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"245678","X","BNE","ABX","2023-07-03 00:00:00","B&K","false","false","250","25.64","ITM","0","GST","KG","99999","21.96","0.61","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","2"
"245679","X","BNE","ADL","2023-07-03 00:00:00","B&K","false","false","250","11.34","ITM","0","GST","KG","99999","12.33","1.02","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","3"
"245680","X","BNE","ASP","2023-07-03 00:00:00","B&K","false","false","250","8.88","ITM","0","GST","KG","99999","13.59","2.04","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","6"
"245681","X","BNE","BNE","2023-07-03 00:00:00","B&K","false","false","250","6.9","ITM","0","GST","KG","99999","11.29","0.29","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","1"
"245682","X","BNE","BRM","2023-07-03 00:00:00","B&K","false","false","250","4.53","ITM","0","GST","KG","99999","17.02","3.48","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","8"
"245683","X","BNE","CBR","2023-07-03 00:00:00","B&K","false","false","250","10.57","ITM","0","GST","KG","99999","12.33","0.83","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","2"
"245684","X","BNE","CCQLD","2023-07-03 00:00:00","B&K","false","false","250","11.14","ITM","0","GST","KG","99999","14.5","0.76","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","3"
"245685","X","BNE","CNS","2023-07-03 00:00:00","B&K","false","false","250","9.65","ITM","0","GST","KG","99999","13.04","0.84","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","3"
"245686","X","BNE","CNSW","2023-07-03 00:00:00","B&K","false","false","250","12.75","ITM","0","GST","KG","99999","15.71","0.85","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","3"
"245687","X","BNE","CWA","2023-07-03 00:00:00","B&K","false","false","250","43.27","ITM","0","GST","KG","99999","28.23","2.73","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","7"
"245688","X","BNE","DRW","2023-07-03 00:00:00","B&K","false","false","250","25.64","ITM","0","GST","KG","99999","14.66","2.01","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","6"
"245689","X","BNE","HBA","2023-07-03 00:00:00","B&K","false","false","250","11.13","ITM","0","GST","KG","99999","12.75","2.27","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","6"
"245690","X","BNE","HRNSW","2023-07-03 00:00:00","B&K","false","false","250","31.14","ITM","0","GST","KG","99999","27.46","0.41","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","2"
"245691","X","BNE","IVIC","2023-07-03 00:00:00","B&K","false","false","250","31.14","ITM","0","GST","KG","99999","27.46","0.39","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","3"
"245692","X","BNE","LST","2023-07-03 00:00:00","B&K","false","false","250","11.76","ITM","0","GST","KG","99999","12.42","1.73","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","6"
"245693","X","BNE","MEL1","2023-07-03 00:00:00","B&K","false","false","250","18.31","ITM","0","GST","KG","99999","14.66","0.39","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","2"
"245694","X","BNE","MEL2","2023-07-03 00:00:00","B&K","false","false","250","18.31","ITM","0","GST","KG","99999","14.66","0.39","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","2"
"245695","X","BNE","MKY","2023-07-03 00:00:00","B&K","false","false","250","10.83","ITM","0","GST","KG","99999","12.6","0.56","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","","2"
