"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"245412","RDEXP","300","300","2023-07-04 00:00:00","B&K","false","false","250","40","ITM","0","GST","KG","249","10","0.227","KG","999","10","0.159","KG","2999","10","0.111","KG","99999","10","0.089","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"245413","RDEXP","300","301","2023-07-04 00:00:00","B&K","false","false","250","45","ITM","0","GST","KG","249","10","0.23","KG","999","10","0.161","KG","2999","10","0.113","KG","99999","10","0.09","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"245414","RDEXP","300","302","2023-07-04 00:00:00","B&K","false","false","250","50","ITM","0","GST","KG","249","10","0.247","KG","999","10","0.198","KG","2999","10","0.158","KG","99999","10","0.138","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"245415","RDEXP","300","303","2023-07-04 00:00:00","B&K","false","false","250","60.93","ITM","0","GST","KG","249","10","0.266","KG","999","10","0.213","KG","2999","10","0.178","KG","99999","10","0.155","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"245416","RDEXP","300","304","2023-07-04 00:00:00","B&K","false","false","250","71.63","ITM","0","GST","KG","249","10","0.338","KG","999","10","0.263","KG","2999","10","0.235","KG","99999","10","0.204","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"245417","RDEXP","300","305","2023-07-04 00:00:00","B&K","false","false","250","79.66","ITM","0","GST","KG","249","10","0.557","KG","999","10","0.418","KG","2999","10","0.335","KG","99999","10","0.291","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"245418","RDEXP","300","306","2023-07-04 00:00:00","B&K","false","false","250","98.38","ITM","0","GST","KG","249","10","0.722","KG","999","10","0.48","KG","2999","10","0.432","KG","99999","10","0.376","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"245419","RDEXP","300","307","2023-07-04 00:00:00","B&K","false","false","250","120","ITM","0","GST","KG","249","18.15","0.82","KG","999","18.15","0.703","KG","2999","18.15","0.546","KG","99999","18.15","0.475","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"245420","RDEXP","300","1","2023-07-04 00:00:00","B&K","false","false","250","123.95","ITM","0","GST","KG","249","10","0.358","KG","999","10","0.251","KG","2999","10","0.2","KG","99999","10","0.174","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"245421","RDEXP","300","2","2023-07-04 00:00:00","B&K","false","false","250","136.35","ITM","0","GST","KG","249","10","0.405","KG","999","10","0.303","KG","2999","10","0.249","KG","99999","10","0.217","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
