"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"154483","REXP","ADELAIDE","ADELAIDE","2022-06-01 00:00:00","B&K","false","false","250","55","ITM","0","GST","KG","99999","7.5","0.0972","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"154484","REXP","ADELAIDE","BRISBANE","2022-06-01 00:00:00","B&K","false","false","250","55","ITM","0","GST","KG","99999","7.5","0.3927","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"154485","REXP","ADELAIDE","BOWEN","2022-06-01 00:00:00","B&K","false","false","250","100","ITM","0","GST","KG","99999","15","0.9661","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"154486","REXP","ADELAIDE","BUNDABERG","2022-06-01 00:00:00","B&K","false","false","250","100","ITM","0","GST","KG","99999","15","0.7328","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"154487","REXP","ADELAIDE","DARWIN","2022-06-01 00:00:00","B&K","false","false","250","100","ITM","0","GST","KG","99999","7.5","0.6154","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"154488","REXP","ADELAIDE","CHARLEVILLE","2022-06-01 00:00:00","B&K","false","false","250","100","ITM","0","GST","KG","99999","15","1.1227","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"154489","REXP","ADELAIDE","GEELONG","2022-06-01 00:00:00","B&K","false","false","250","100","ITM","0","GST","KG","99999","15","0.2179","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"154490","REXP","ADELAIDE","ALBANY","2022-06-01 00:00:00","B&K","false","false","250","100","ITM","0","GST","KG","99999","15","0.8842","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"154491","REXP","ADELAIDE","BAIRNSDALE","2022-06-01 00:00:00","B&K","false","false","250","100","ITM","0","GST","KG","99999","15","0.456","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"154492","REXP","ADELAIDE","BALLARAT","2022-06-01 00:00:00","B&K","false","false","250","100","ITM","0","GST","KG","99999","15","0.2102","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"154493","REXP","ADELAIDE","BENALLA","2022-06-01 00:00:00","B&K","false","false","250","100","ITM","0","GST","KG","99999","15","0.3379","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"154494","REXP","ADELAIDE","BENDIGO","2022-06-01 00:00:00","B&K","false","false","250","100","ITM","0","GST","KG","99999","15","0.24","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"154495","REXP","ADELAIDE","BOMBALA","2022-06-01 00:00:00","B&K","false","false","250","100","ITM","0","GST","KG","99999","15","0.7788","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"154496","REXP","ADELAIDE","BUNBURY","2022-06-01 00:00:00","B&K","false","false","250","100","ITM","0","GST","KG","99999","15","0.6816","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"154497","REXP","ADELAIDE","BUSSELTON","2022-06-01 00:00:00","B&K","false","false","250","100","ITM","0","GST","KG","99999","15","0.7622","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"154498","REXP","ADELAIDE","COLAC","2022-06-01 00:00:00","B&K","false","false","250","100","ITM","0","GST","KG","99999","15","0.456","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"154499","REXP","ADELAIDE","CORRYONG","2022-06-01 00:00:00","B&K","false","false","250","100","ITM","0","GST","KG","99999","15","0.5203","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"154500","REXP","ADELAIDE","ECHUCA","2022-06-01 00:00:00","B&K","false","false","250","100","ITM","0","GST","KG","99999","15","0.9245","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"154501","REXP","ADELAIDE","FINLEY","2022-06-01 00:00:00","B&K","false","false","250","100","ITM","0","GST","KG","99999","15","0.7788","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"154502","REXP","ADELAIDE","GERALDTON","2022-06-01 00:00:00","B&K","false","false","250","100","ITM","0","GST","KG","99999","15","0.7267","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
"154503","REXP","ADELAIDE","HAMILTON","2022-06-01 00:00:00","B&K","false","false","250","100","ITM","0","GST","KG","99999","15","0.456","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","",""
