"Zone","ParentZone","Locality","State","Postcode","CountryCode","RemoteArea","RemoteAreaFees1","RemoteAreaFees2"
"NT1","NT1","DARWIN","NT","0800","AU","False","",""
"NT1","NT1","LYONS","NT","0810","AU","False","",""
"NT1","NT1","MUIRHEAD","NT","0810","AU","False","",""
"NT1","NT1","ALAWA","NT","0810","AU","False","",""
"NT1","NT1","BRINKIN","NT","0810","AU","False","",""
"NT1","NT1","CASUARINA","NT","0810","AU","False","",""
"NT1","NT1","COCONUT GROVE","NT","0810","AU","False","",""
"NT1","NT1","JINGILI","NT","0810","AU","False","",""
"NT1","NT1","LEE POINT","NT","0810","AU","False","",""
"NT1","NT1","MILLNER","NT","0810","AU","False","",""
"NT1","NT1","MOIL","NT","0810","AU","False","",""
"NT1","NT1","NAKARA","NT","0810","AU","False","",""
"NT1","NT1","NIGHTCLIFF","NT","0810","AU","False","",""
"NT1","NT1","RAPID CREEK","NT","0810","AU","False","",""
"NT1","NT1","TIWI","NT","0810","AU","False","",""
"NT1","NT1","WAGAMAN","NT","0810","AU","False","",""
"NT1","NT1","WANGURI","NT","0810","AU","False","",""
"NT1","NT1","BUFFALO CREEK","NT","0812","AU","False","",""
"NT1","NT1","HOLMES","NT","0812","AU","False","",""
"NT1","NT1","ANULA","NT","0812","AU","False","",""
"NT1","NT1","KARAMA","NT","0812","AU","False","",""
"NT1","NT1","LEANYER","NT","0812","AU","False","",""
"NT1","NT1","MALAK","NT","0812","AU","False","",""
"NT1","NT1","MARRARA","NT","0812","AU","False","",""
"NT1","NT1","NORTHLAKES","NT","0812","AU","False","",""
"NT1","NT1","SANDERSON","NT","0812","AU","False","",""
"NT1","NT1","WOODLEIGH GARDENS","NT","0812","AU","False","",""
"NT1","NT1","WULAGI","NT","0812","AU","False","",""
"NT1","NT1","EATON","NT","0820","AU","False","",""
"NT1","NT1","BAGOT","NT","0820","AU","False","",""
"NT1","NT1","BAYVIEW","NT","0820","AU","False","",""
"NT1","NT1","CHARLES DARWIN","NT","0820","AU","False","",""
"NT1","NT1","COONAWARRA","NT","0820","AU","False","",""
"NT1","NT1","CULLEN BAY","NT","0820","AU","False","",""
"NT1","NT1","DARWIN DC","NT","0820","AU","False","",""
"NT1","NT1","DARWIN INTERNATIONAL AIRPORT","NT","0820","AU","False","",""
"NT1","NT1","DARWIN MC","NT","0820","AU","False","",""
"NT1","NT1","EAST POINT","NT","0820","AU","False","",""
"NT1","NT1","FANNIE BAY","NT","0820","AU","False","",""
"NT1","NT1","LARRAKEYAH","NT","0820","AU","False","",""
"NT1","NT1","LUDMILLA","NT","0820","AU","False","",""
"NT1","NT1","PARAP","NT","0820","AU","False","",""
"NT1","NT1","RAAF BASE DARWIN","NT","0820","AU","False","",""
"NT1","NT1","STUART PARK","NT","0820","AU","False","",""
"NT1","NT1","THE GARDENS","NT","0820","AU","False","",""
"NT1","NT1","THE NARROWS","NT","0820","AU","False","",""
"NT1","NT1","WINNELLIE","NT","0820","AU","False","",""
"NT1","NT1","WOOLNER","NT","0820","AU","False","",""
"NT2","NT2","CLARAVALE","NT","0822","AU","False","",""
"NT2","NT2","BYNOE","NT","0822","AU","False","",""
"NT2","NT2","CAMP CREEK","NT","0822","AU","False","",""
"NT2","NT2","COOMALIE CREEK","NT","0822","AU","False","",""
"NT2","NT2","DALY","NT","0822","AU","False","",""
"NT2","NT2","DALY RIVER","NT","0822","AU","False","",""
"NT2","NT2","DARWIN RIVER DAM","NT","0822","AU","False","",""
"NT2","NT2","DOUGLAS-DALY","NT","0822","AU","False","",""
"NT2","NT2","EVA VALLEY","NT","0822","AU","False","",""
"NT2","NT2","FINNISS VALLEY","NT","0822","AU","False","",""
"NT2","NT2","FLEMING","NT","0822","AU","False","",""
"NT2","NT2","FLY CREEK","NT","0822","AU","False","",""
"NT2","NT2","HAYES CREEK","NT","0822","AU","False","",""
"NT2","NT2","LAKE BENNETT","NT","0822","AU","False","",""
"NT2","NT2","LITCHFIELD PARK","NT","0822","AU","False","",""
"NT2","NT2","MARANUNGA","NT","0822","AU","False","",""
"NT2","NT2","MARGARET RIVER","NT","0822","AU","False","",""
"NT2","NT2","MARRAKAI","NT","0822","AU","False","",""
"NT2","NT2","NAUIYU","NT","0822","AU","False","",""
"NT2","NT2","POINT STEPHENS","NT","0822","AU","False","",""
"NT2","NT2","ROBIN FALLS","NT","0822","AU","False","",""
"NT2","NT2","RUM JUNGLE","NT","0822","AU","False","",""
"NT2","NT2","STAPLETON","NT","0822","AU","False","",""
"NT2","NT2","TIPPERARY","NT","0822","AU","False","",""
"NT2","NT2","TORTILLA FLATS","NT","0822","AU","False","",""
"NT2","NT2","WAK WAK","NT","0822","AU","False","",""
"NT2","NT2","WEDDELL","NT","0822","AU","False","",""
"NT2","NT2","WICKHAM","NT","0822","AU","False","",""
"NT2","NT2","BEES CREEK","NT","0822","AU","False","",""
"NT2","NT2","BELYUEN","NT","0822","AU","False","",""
"NT2","NT2","DELISSAVILLE","NT","0822","AU","False","",""
"NT2","NT2","EAST ARNHEM","NT","0822","AU","False","",""
"NT2","NT2","ACACIA HILLS","NT","0822","AU","False","",""
"NT2","NT2","ANINDILYAKWA","NT","0822","AU","False","",""
"NT2","NT2","ANNIE RIVER","NT","0822","AU","False","",""
"NT2","NT2","BLACK JUNGLE","NT","0822","AU","False","",""
"NT2","NT2","BLACKMORE","NT","0822","AU","False","",""
"NT2","NT2","BURRUNDIE","NT","0822","AU","False","",""
"NT2","NT2","BYNOE HARBOUR","NT","0822","AU","False","",""
"NT2","NT2","CHANNEL ISLAND","NT","0822","AU","False","",""
"NT2","NT2","CHARLOTTE","NT","0822","AU","False","",""
"NT2","NT2","COBOURG","NT","0822","AU","False","",""
"NT2","NT2","COLLETT CREEK","NT","0822","AU","False","",""
"NT2","NT2","COX PENINSULA","NT","0822","AU","False","",""
"NT2","NT2","FREDS PASS","NT","0822","AU","False","",""
"NT2","NT2","GALIWINKU","NT","0822","AU","False","",""
"NT2","NT2","GLYDE POINT","NT","0822","AU","False","",""
"NT2","NT2","GOULBURN ISLAND","NT","0822","AU","False","",""
"NT2","NT2","GUNBALANYA","NT","0822","AU","False","",""
"NT2","NT2","GUNN POINT","NT","0822","AU","False","",""
"NT2","NT2","HOTHAM","NT","0822","AU","False","",""
"NT2","NT2","HUGHES","NT","0822","AU","False","",""
"NT2","NT2","KAKADU","NT","0822","AU","False","",""
"NT2","NT2","KOOLPINYAH","NT","0822","AU","False","",""
"NT2","NT2","LAMBELLS LAGOON","NT","0822","AU","False","",""
"NT2","NT2","LIVINGSTONE","NT","0822","AU","False","",""
"NT2","NT2","LLOYD CREEK","NT","0822","AU","False","",""
"NT2","NT2","MANDORAH","NT","0822","AU","False","",""
"NT2","NT2","MANINGRIDA","NT","0822","AU","False","",""
"NT2","NT2","MAPURU","NT","0822","AU","False","",""
"NT2","NT2","MIDDLE POINT","NT","0822","AU","False","",""
"NT2","NT2","MOUNT BUNDEY","NT","0822","AU","False","",""
"NT2","NT2","MURRUMUJUK","NT","0822","AU","False","",""
"NT2","NT2","NEMARLUK","NT","0822","AU","False","",""
"NT2","NT2","NGANMARRIYANGA","NT","0822","AU","False","",""
"NT2","NT2","NUMBULWAR","NT","0822","AU","False","",""
"NT2","NT2","NUMBURINDI","NT","0822","AU","False","",""
"NT2","NT2","OENPELLI","NT","0822","AU","False","",""
"NT2","NT2","PEPPIMENARTI","NT","0822","AU","False","",""
"NT2","NT2","POINT STUART","NT","0822","AU","False","",""
"NT2","NT2","PULARUMPI","NT","0822","AU","False","",""
"NT2","NT2","RAKULA","NT","0822","AU","False","",""
"NT2","NT2","SANDPALMS ROADHOUSE","NT","0822","AU","False","",""
"NT2","NT2","SOUTHPORT","NT","0822","AU","False","",""
"NT2","NT2","THAMARRURR","NT","0822","AU","False","",""
"NT2","NT2","TUMBLING WATERS","NT","0822","AU","False","",""
"NT2","NT2","WAGAIT BEACH","NT","0822","AU","False","",""
"NT2","NT2","WEST ARNHEM","NT","0822","AU","False","",""
"NT2","NT2","WOOLANING","NT","0822","AU","False","",""
"NT4","NT4","MILIKAPITI","NT","0822","AU","False","",""
"NT4","NT4","MILINGIMBI","NT","0822","AU","False","",""
"NT4","NT4","MILYAKBURRA","NT","0822","AU","False","",""
"NT4","NT4","MINJILANG","NT","0822","AU","False","",""
"NT4","NT4","PIRLANGIMPI","NT","0822","AU","False","",""
"NT4","NT4","TIWI ISLANDS","NT","0822","AU","False","",""
"NT4","NT4","UMBAKUMBA","NT","0822","AU","False","",""
"NT4","NT4","VERNON ISLANDS","NT","0822","AU","False","",""
"NT4","NT4","WARRUWI","NT","0822","AU","False","",""
"NT4","NT4","WURRUMIYANGA","NT","0822","AU","False","",""
"NT1","NT1","EAST ARM","NT","0822","AU","False","",""
"NT1","NT1","ELRUNDIE","NT","0822","AU","False","",""
"NT1","NT1","HIDDEN VALLEY","NT","0822","AU","False","",""
"NT1","NT1","TIVENDALE","NT","0822","AU","False","",""
"NT2","NT2","CHARLES DARWIN","NT","0822","AU","False","",""
"NT2","NT2","MICKETT CREEK","NT","0822","AU","False","",""
"NT2","NT2","WISHART","NT","0822","AU","False","",""
"NT4","NT4","ANGURUGU","NT","0822","AU","False","",""
"NT4","NT4","BATHURST ISLAND","NT","0822","AU","False","",""
"NT2","NT2","MCMINNS LAGOON","NT","0822","AU","False","",""
"NT2","NT2","RAMINGINING","NT","0822","AU","False","",""
"NT4","NT4","CROKER ISLAND","NT","0822","AU","False","",""
"NT2","NT2","WADEYE","NT","0822","AU","False","",""
"NT1","NT1","BERRIMAH","NT","0828","AU","False","",""
"NT1","NT1","KNUCKEY LAGOON","NT","0828","AU","False","",""
"NT1","NT1","PINELANDS","NT","0829","AU","False","",""
"NT1","NT1","HOLTZE","NT","0829","AU","False","",""
"NT1","NT1","ARCHER","NT","0830","AU","False","",""
"NT1","NT1","DRIVER","NT","0830","AU","False","",""
"NT1","NT1","DURACK","NT","0830","AU","False","",""
"NT1","NT1","FARRAR","NT","0830","AU","False","",""
"NT1","NT1","GRAY","NT","0830","AU","False","",""
"NT1","NT1","MARLOW LAGOON","NT","0830","AU","False","",""
"NT1","NT1","MOULDEN","NT","0830","AU","False","",""
"NT1","NT1","PALMERSTON","NT","0830","AU","False","",""
"NT1","NT1","SHOAL BAY","NT","0830","AU","False","",""
"NT1","NT1","WOODROFFE","NT","0830","AU","False","",""
"NT1","NT1","YARRAWONGA","NT","0830","AU","False","",""
"NT1","NT1","BAKEWELL","NT","0832","AU","False","",""
"NT1","NT1","BELLAMACK","NT","0832","AU","False","",""
"NT1","NT1","GUNN","NT","0832","AU","False","",""
"NT1","NT1","MITCHELL","NT","0832","AU","False","",""
"NT1","NT1","ROSEBERY","NT","0832","AU","False","",""
"NT1","NT1","ROSEBERY HEIGHTS","NT","0832","AU","False","",""
"NT1","NT1","JOHNSTON","NT","0832","AU","False","",""
"NT1","NT1","ZUCCOLI","NT","0832","AU","False","",""
"NT2","NT2","VIRGINIA","NT","0834","AU","False","",""
"NT2","NT2","COOLALINGA","NT","0835","AU","False","",""
"NT2","NT2","HOWARD SPRINGS","NT","0835","AU","False","",""
"NT2","NT2","VIRGINIA","NT","0835","AU","False","",""
"NT2","NT2","GIRRAWEEN","NT","0836","AU","False","",""
"NT2","NT2","HERBERT","NT","0836","AU","False","",""
"NT2","NT2","HUMPTY DOO","NT","0836","AU","False","",""
"NT2","NT2","MANTON","NT","0837","AU","False","",""
"NT2","NT2","NOONAMAH","NT","0837","AU","False","",""
"NT2","NT2","BERRY SPRINGS","NT","0838","AU","False","",""
"NT2","NT2","COOLALINGA","NT","0839","AU","False","",""
"NT2","NT2","DUNDEE BEACH","NT","0840","AU","False","",""
"NT2","NT2","DUNDEE DOWNS","NT","0840","AU","False","",""
"NT2","NT2","DUNDEE FOREST","NT","0840","AU","False","",""
"NT2","NT2","DARWIN RIVER","NT","0841","AU","False","",""
"NT2","NT2","BATCHELOR","NT","0845","AU","False","",""
"NT2","NT2","ADELAIDE RIVER","NT","0846","AU","False","",""
"NT2","NT2","PINE CREEK","NT","0847","AU","False","",""
"KTN","KTN","KATHERINE EAST","NT","0850","AU","False","",""
"KTN","KTN","KATHERINE SOUTH","NT","0850","AU","False","",""
"KTN","KTN","KATHERINE","NT","0850","AU","False","",""
"NT2","NT2","LANSDOWNE","NT","0850","AU","False","",""
"NT2","NT2","COSSACK","NT","0850","AU","False","",""
"NT2","NT2","EMUNGALAN","NT","0850","AU","False","",""
"NT3","NT3","NUTWOOD DOWNS","NT","0852","AU","False","",""
"KTN","KTN","KATHERINE","NT","0852","AU","False","",""
"NT2","NT2","BARUNGA","NT","0852","AU","False","",""
"NT2","NT2","BESWICK","NT","0852","AU","False","",""
"NT3","NT3","DALY WATERS","NT","0852","AU","False","",""
"NT3","NT3","DUNMARRA","NT","0852","AU","False","",""
"NT3","NT3","ELSEY STATION","NT","0852","AU","False","",""
"NT3","NT3","LAJAMANU","NT","0852","AU","False","",""
"NT3","NT3","LARRIMAH","NT","0852","AU","False","",""
"NT2","NT2","MANBULLOO","NT","0852","AU","False","",""
"NT2","NT2","MARANBOY","NT","0852","AU","False","",""
"NT3","NT3","MATARANKA","NT","0852","AU","False","",""
"NT3","NT3","NGUKURR","NT","0852","AU","False","",""
"NT3","NT3","TIMBER CREEK","NT","0852","AU","False","",""
"NT3","NT3","VICTORIA RIVER DOWNS","NT","0852","AU","False","",""
"NT3","NT3","WAVE HILL","NT","0852","AU","False","",""
"NT3","NT3","ARNOLD","NT","0852","AU","False","",""
"NT3","NT3","BAINES","NT","0852","AU","False","",""
"NT2","NT2","BESWICK CREEK","NT","0852","AU","False","",""
"NT2","NT2","BINJARI","NT","0852","AU","False","",""
"NT3","NT3","BIRDUM","NT","0852","AU","False","",""
"NT3","NT3","BRADSHAW","NT","0852","AU","False","",""
"NT3","NT3","BUCHANAN","NT","0852","AU","False","",""
"NT2","NT2","BULMAN WEEMOL","NT","0852","AU","False","",""
