"Zone","ParentZone","Locality","State","Postcode","CountryCode","RemoteArea","RemoteAreaFees1","RemoteAreaFees2"
"ACT","ACT","BEARD","ACT","2620","AU","False","",""
"ACT","ACT","BONNER","ACT","2914","AU","False","",""
"ACT","ACT","CAMPBELL","ACT","2601","AU","False","",""
"ACT","ACT","DEAKIN WEST","ACT","2600","AU","False","",""
"ACT","ACT","GUNGAHLIN","ACT","2912","AU","False","",""
"ACT","ACT","HOLDER","ACT","2611","AU","False","",""
"ACT","ACT","MITCHELL","ACT","2911","AU","False","",""
"ACT","ACT","TURNER","ACT","2601","AU","False","",""
"ACT","ACT","WRIGHT","ACT","2611","AU","False","",""
"ACT","ACT","YARRALUMLA","ACT","2600","AU","False","",""
"AD","AD","ABERFOYLE PARK","SA","5159","AU","False","",""
"AD","AD","ABERFOYLE PARK EAST","SA","5159","AU","False","",""
"AD","AD","ABERFOYLE PARK NORTH","SA","5159","AU","False","",""
"AD","AD","ADELAIDE","SA","5000","AU","False","",""
"AD","AD","ADELAIDE AIRPORT","SA","5950","AU","False","",""
"AD","AD","ADELAIDE BC","SA","5000","AU","False","",""
"AD","AD","ADELAIDE CITY ","SA","5000","AU","False","",""
"AD","AD","ALBERT PARK","SA","5014","AU","False","",""
"AD","AD","ALBERTON","SA","5014","AU","False","",""
"AD","AD","ALLENBY GARDENS","SA","5009","AU","False","",""
"AD","AD","ANDREWS FARM","SA","5114","AU","False","",""
"AD","AD","ANGLE PARK","SA","5010","AU","False","",""
"AD","AD","ASCOT PARK","SA","5043","AU","False","",""
"AD","AD","ASHFORD","SA","5035","AU","False","",""
"AD","AD","ATHELSTONE","SA","5076","AU","False","",""
"AD","AD","ATHOL PARK","SA","5012","AU","False","",""
"AD","AD","AULDANA","SA","5072","AU","False","",""
"AD","AD","BANKSIA PARK","SA","5091","AU","False","",""
"AD","AD","BEAUMONT","SA","5066","AU","False","",""
"AD","AD","BEDFORD PARK","SA","5042","AU","False","",""
"AD","AD","BELAIR","SA","5052","AU","False","",""
"AD","AD","BELAIR WEST","SA","5052","AU","False","",""
"AD","AD","BELLEVUE HEIGHTS","SA","5050","AU","False","",""
"AD","AD","BEULAH PARK","SA","5067","AU","False","",""
"AD","AD","BEVERLEY","SA","5009","AU","False","",""
"AD","AD","BIRKENHEAD","SA","5015","AU","False","",""
"AD","AD","BLACK FOREST","SA","5035","AU","False","",""
"AD","AD","BLACKWOOD","SA","5051","AU","False","",""
"AD","AD","BLAIR ATHOL","SA","5084","AU","False","",""
"AD","AD","BLAIR ATHOL NORTH","SA","5084","AU","False","",""
"AD","AD","BLAIR ATHOL WEST","SA","5084","AU","False","",""
"AD","AD","BLAKES CROSSING","SA","5114","AU","False","",""
"AD","AD","BLAKEVIEW","SA","5114","AU","False","",""
"AD","AD","BOLIVAR","SA","5110","AU","False","",""
"AD","AD","BOWDEN","SA","5007","AU","False","",""
"AD","AD","BRAHMA LODGE","SA","5109","AU","False","",""
"AD","AD","BRIGHTON","SA","5048","AU","False","",""
"AD","AD","BRIGHTON JETTY","SA","5048","AU","False","",""
"AD","AD","BROADVIEW","SA","5083","AU","False","",""
"AD","AD","BROMPTON","SA","5007","AU","False","",""
"AD","AD","BROOKLYN PARK","SA","5032","AU","False","",""
"AD","AD","BROWN HILL CREEK","SA","5062","AU","False","",""
"AD","AD","BURNSIDE","SA","5066","AU","False","",""
"AD","AD","BURNSIDE VILLAGE","SA","5065","AU","False","",""
"AD","AD","BURTON","SA","5110","AU","False","",""
"AD","AD","CAMDEN PARK","SA","5038","AU","False","",""
"AD","AD","CAMPBELLTOWN","SA","5074","AU","False","",""
"AD","AD","CASTAMBUL","SA","5134","AU","False","",""
"AD","AD","CAVAN","SA","5094","AU","False","",""
"AD","AD","CHELTENHAM","SA","5014","AU","False","",""
"AD","AD","CHIDDA","SA","5108","AU","False","",""
"AD","AD","CHRISTIE DOWNS","SA","5164","AU","False","",""
"AD","AD","CHRISTIES BEACH","SA","5165","AU","False","",""
"AD","AD","CHRISTIES BEACH NORTH","SA","5165","AU","False","",""
"AD","AD","CLAPHAM","SA","5062","AU","False","",""
"AD","AD","CLARENCE GARDENS","SA","5039","AU","False","",""
"AD","AD","CLARENCE PARK","SA","5034","AU","False","",""
"AD","AD","CLEARVIEW","SA","5085","AU","False","",""
"AD","AD","CLOVELLY PARK","SA","5042","AU","False","",""
"AD","AD","CLOVERCREST","SA","5098","AU","False","",""
