"Zone","ParentZone","Locality","State","Postcode","CountryCode","RemoteArea","RemoteAreaFees1","RemoteAreaFees2"
"BUSSELTON","BUSSELTON","ABBA RIVER","WA","6280","AU","False","",""
"BUSSELTON","BUSSELTON","ABBEY","WA","6280","AU","False","",""
"BUSSELTON","BUSSELTON","ACTON PARK","WA","6280","AU","False","",""
"METRO","METRO","AIRPORT DOMESTIC","WA","6105","AU","False","",""
"METRO","METRO","AIRPORT INT.","WA","6105","AU","False","",""
"ALBANY","ALBANY","ALBANY","WA","6330","AU","False","",""
"METRO","METRO","ALEXANDER HEIGHTS","WA","6064","AU","False","",""
"METRO","METRO","ALFRED COVE","WA","6154","AU","False","",""
"METRO","METRO","ALINJARRA ","WA","6064","AU","False","",""
"OUTER METRO","OUTER METRO","ALKIMOS","WA","6038","AU","False","",""
"BUNBURY OUTER","BUNBURY OUTER","ALLANSON","WA","6225","AU","False","",""
"BUSSELTON","BUSSELTON","AMBERGATE","WA","6280","AU","False","",""
"METRO","METRO","ANKETELL","WA","6167","AU","False","",""
"BUSSELTON","BUSSELTON","ANNIEBROOK","WA","6280","AU","False","",""
"ROEBURNE/POINT SAMSON","ROEBURNE/POINT SAMSON","ANTONYMYRE","WA","6714","AU","False","",""
"METRO","METRO","APPLECROSS","WA","6153","AU","False","",""
"METRO","METRO","ARDROSS","WA","6153","AU","False","",""
"BUNBURY OUTER","BUNBURY OUTER","ARGYLE","WA","6239","AU","False","",""
"METRO","METRO","ARMADALE","WA","6112","AU","False","",""
"SOUTH-WEST 1","SOUTH-WEST 1","ARTHUR RIVER","WA","6315","AU","False","",""
"METRO","METRO","ASCOT","WA","6104","AU","False","",""
"METRO","METRO","ASHBY","WA","6065","AU","False","",""
"METRO","METRO","ASHFIELD","WA","6054","AU","False","",""
"METRO","METRO","ATTADALE","WA","6156","AU","False","",""
"METRO","METRO","ATWELL","WA","6164","AU","False","",""
"METRO","METRO","AUBIN GROVE","WA","6164","AU","False","",""
"SOUTH-WEST 2","SOUTH-WEST 2","AUGUSTA","WA","6290","AU","False","",""
"BUNBURY","BUNBURY","AUSTRALIND","WA","6233","AU","False","",""
"METRO","METRO","AVELEY","WA","6069","AU","False","",""
"NORTHAM","NORTHAM","BAKERS HILL","WA","6562","AU","False","",""
"METRO","METRO","BALCATTA","WA","6021","AU","False","",""
"OUTER METRO","OUTER METRO","BALDIVIS","WA","6171","AU","False","",""
"METRO","METRO","BALGA","WA","6061","AU","False","",""
"BRIDGETOWN","BRIDGETOWN","BALINGUP","WA","6253","AU","False","",""
"WHEATBELT MID1","WHEATBELT MID1","BALLADONG","WA","6302","AU","False","",""
"METRO","METRO","BALLAJURA","WA","6066","AU","False","",""
"METRO","METRO","BANJUP","WA","6164","AU","False","",""
"METRO","METRO","BANKSIA GROVE","WA","6031","AU","False","",""
"MANDURAH","MANDURAH","BARRAGUP","WA","6210","AU","False","",""
"METRO","METRO","BASKERVILLE","WA","6056","AU","False","",""
"METRO","METRO","BASSENDEAN","WA","6054","AU","False","",""
"METRO","METRO","BASSENDEAN DC","WA","6054","AU","False","",""
"METRO","METRO","BATEMAN","WA","6150","AU","False","",""
"KARRATHA","KARRATHA","BAYNTON","WA","6714","AU","False","",""
"ALBANY","ALBANY","BAYONET HEAD","WA","6330","AU","False","",""
"METRO","METRO","BAYSWATER","WA","6053","AU","False","",""
"GERALDTON","GERALDTON","BEACHLANDS","WA","6530","AU","False","",""
"METRO","METRO","BEACONSFIELD","WA","6162","AU","False","",""
"SOUTH-WEST 1","SOUTH-WEST 1","BEAUFORT RIVER","WA","6394","AU","False","",""
"METRO","METRO","BEAUMARIS","WA","6027","AU","False","",""
"METRO","METRO","BECKENHAM","WA","6107","AU","False","",""
"METRO","METRO","BEDFORD","WA","6052","AU","False","",""
"OUTER METRO","OUTER METRO","BEDFORDALE","WA","6112","AU","False","",""
"METRO","METRO","BEECHBORO","WA","6063","AU","False","",""
"NORTHAM","NORTHAM","BEECHINA","WA","6556","AU","False","",""
"SOUTH-WEST 2","SOUTH-WEST 2","BEELERUP","WA","6239","AU","False","",""
"METRO","METRO","BEELIAR","WA","6164","AU","False","",""
"METRO","METRO","BELDON","WA","6027","AU","False","",""
"METRO","METRO","BELHUS","WA","6069","AU","False","",""
"METRO","METRO","BELLEVUE","WA","6056","AU","False","",""
"METRO","METRO","BELMONT","WA","6104","AU","False","",""
"BUNBURY OUTER","BUNBURY OUTER","BENGER","WA","6223","AU","False","",""
"SOUTH-WEST 2","SOUTH-WEST 2","BENJINUP","WA","6255","AU","False","",""
"METRO","METRO","BENTLEY","WA","6102","AU","False","",""
