"Zone","ParentZone","Locality","State","Postcode","CountryCode","RemoteArea","RemoteAreaFees1","RemoteAreaFees2"
"CBR","CBR","AUSTRALIAN NATIONAL UNIVERSITY","ACT","0200","AU","False","",""
"DRW","DRW","DARWIN","NT","0800","AU","False","",""
"DRW","DRW","ALAWA","NT","0810","AU","False","",""
"DRW","DRW","BRINKIN","NT","0810","AU","False","",""
"DRW","DRW","CASUARINA","NT","0810","AU","False","",""
"DRW","DRW","COCONUT GROVE","NT","0810","AU","False","",""
"DRW","DRW","JINGILI","NT","0810","AU","False","",""
"DRW","DRW","LEE POINT","NT","0810","AU","False","",""
"DRW","DRW","LYONS","NT","0810","AU","False","",""
"DRW","DRW","MILLNER","NT","0810","AU","False","",""
"DRW","DRW","MOIL","NT","0810","AU","False","",""
"DRW","DRW","MUIRHEAD","NT","0810","AU","False","",""
"DRW","DRW","NAKARA","NT","0810","AU","False","",""
"DRW","DRW","NIGHTCLIFF","NT","0810","AU","False","",""
"DRW","DRW","RAPID CREEK","NT","0810","AU","False","",""
"DRW","DRW","TIWI","NT","0810","AU","False","",""
"DRW","DRW","WAGAMAN","NT","0810","AU","False","",""
"DRW","DRW","WANGURI","NT","0810","AU","False","",""
"DRW","DRW","ANULA","NT","0812","AU","False","",""
"DRW","DRW","BUFFALO CREEK","NT","0812","AU","False","",""
"DRW","DRW","HOLMES","NT","0812","AU","False","",""
"DRW","DRW","KARAMA","NT","0812","AU","False","",""
"DRW","DRW","LEANYER","NT","0812","AU","False","",""
"DRW","DRW","MALAK","NT","0812","AU","False","",""
"DRW","DRW","MARRARA","NT","0812","AU","False","",""
"DRW","DRW","NORTHLAKES","NT","0812","AU","False","",""
"DRW","DRW","WOODLEIGH GARDENS","NT","0812","AU","False","",""
"DRW","DRW","WULAGI","NT","0812","AU","False","",""
"DRW","DRW","BAYVIEW","NT","0820","AU","False","",""
"DRW","DRW","CHARLES DARWIN","NT","0820","AU","False","",""
"DRW","DRW","COONAWARRA","NT","0820","AU","False","",""
"DRW","DRW","CULLEN BAY","NT","0820","AU","False","",""
"DRW","DRW","DARWIN INTERNATIONAL AIRPORT","NT","0820","AU","False","",""
"DRW","DRW","EAST POINT","NT","0820","AU","False","",""
"DRW","DRW","EATON","NT","0820","AU","False","",""
"DRW","DRW","FANNIE BAY","NT","0820","AU","False","",""
"DRW","DRW","LARRAKEYAH","NT","0820","AU","False","",""
"DRW","DRW","LUDMILLA","NT","0820","AU","False","",""
"DRW","DRW","PARAP","NT","0820","AU","False","",""
"DRW","DRW","STUART PARK","NT","0820","AU","False","",""
"DRW","DRW","THE GARDENS","NT","0820","AU","False","",""
"DRW","DRW","THE NARROWS","NT","0820","AU","False","",""
"DRW","DRW","WINNELLIE","NT","0820","AU","False","",""
"DRW","DRW","WOOLNER","NT","0820","AU","False","",""
"DRWF","DRWF","ACACIA HILLS","NT","0822","AU","False","",""
"REM","REM","ANGURUGU","NT","0822","AU","False","",""
