"Zone","ParentZone","Locality","State","Postcode","CountryCode","RemoteArea","RemoteAreaFees1","RemoteAreaFees2"
"NN1","NN1","ABBOTSBURY","NSW","2176","AU","False","",""
"NN1","NN1","ABBOTSFORD","NSW","2046","AU","False","",""
"NN1","NN1","ABERDARE","NSW","2325","AU","False","",""
"NN1","NN1","ABERGLASSLYN","NSW","2320","AU","False","",""
"NN1","NN1","ABERMAIN","NSW","2326","AU","False","",""
"NN1","NN1","ABERNETHY","NSW","2325","AU","False","",""
"NN1","NN1","ACACIA GARDENS","NSW","2763","AU","False","",""
"NN1","NN1","ACTON","ACT","2601","AU","False","",""
"NN1","NN1","ADAMINABY","NSW","2629","AU","False","",""
"NN1","NN1","ADAMSTOWN","NSW","2289","AU","False","",""
"NN1","NN1","ADAMSTOWN HEIGHTS","NSW","2289","AU","False","",""
"NN1","NN1","AGNES BANKS","NSW","2753","AU","False","",""
"NN1","NN1","AINSLIE","ACT","2602","AU","False","",""
"NN1","NN1","AIRDS","NSW","2560","AU","False","",""
"NN1","NN1","AKUNA BAY","NSW","2084","AU","False","",""
"NN1","NN1","ALBION PARK","NSW","2527","AU","False","",""
"NN1","NN1","ALBION PARK RAIL","NSW","2527","AU","False","",""
"NN1","NN1","ALEXANDRIA","NSW","1435","AU","False","",""
"NN1","NN1","ALEXANDRIA","NSW","2015","AU","False","",""
"NN1","NN1","ALEXANDRIA MC","NSW","2004","AU","False","",""
"NN1","NN1","ALFORDS POINT","NSW","2234","AU","False","",""
"NN1","NN1","ALISON","NSW","2259","AU","False","",""
"NN1","NN1","ALLAMBIE","NSW","2100","AU","False","",""
"NN1","NN1","ALLAMBIE HEIGHTS","NSW","2100","AU","False","",""
"NN1","NN1","ALLANDALE","NSW","2320","AU","False","",""
"NN1","NN1","ALLAWAH","NSW","2218","AU","False","",""
"NN1","NN1","AMAROO","ACT","2914","AU","False","",""
"NN1","NN1","AMBARVALE","NSW","2560","AU","False","",""
"NN1","NN1","ANAMBAH","NSW","2320","AU","False","",""
"NN1","NN1","ANGLERS REACH","NSW","2629","AU","False","",""
"NN1","NN1","ANNA BAY","NSW","2316","AU","False","",""
"NN1","NN1","ANNANDALE","NSW","2038","AU","False","",""
"NN1","NN1","ANNANGROVE","NSW","2156","AU","False","",""
"NN1","NN1","APPIN","NSW","2560","AU","False","",""
"NN1","NN1","APPLETREE FLAT","NSW","2330","AU","False","",""
