"Zone","ParentZone","Locality","State","Postcode","CountryCode","RemoteArea","RemoteAreaFees1","RemoteAreaFees2"
"C15","C15","AARONS PASS","NSW","2850","AU","False","",""
"C2","C2","ABBEYWOOD","QLD","4613","AU","False","",""
"TSYD","TSYD","ABBOTSFORD","NSW","2046","AU","False","",""
"TSYD","TSYD","ABBOTSBURY","NSW","2176","AU","False","",""
"C3","C3","ABBOTSFORD","QLD","4670","AU","False","",""
"C14","C14","ABERGOWRIE","QLD","4850","AU","False","",""
"C15","C15","ABERCROMBIE RIVER","NSW","2795","AU","False","",""
"N2","N2","ABERDEEN","NSW","2336","AU","False","",""
"C4","C4","ABERCORN","QLD","4627","AU","False","",""
"N1","N1","ABERNETHY","NSW","2325","AU","False","",""
"TBAT","TBAT","ABERCROMBIE","NSW","2795","AU","False","",""
"N1","N1","ABERMAIN","NSW","2326","AU","False","",""
"N1","N1","ABERDARE","NSW","2325","AU","False","",""
"N1","N1","ABERGLASSLYN","NSW","2320","AU","False","",""
"C14","C14","ABINGDON DOWNS","QLD","4892","AU","False","",""
"C15","C15","ABINGTON","NSW","2350","AU","False","",""
"C15","C15","ABERFOYLE","NSW","2350","AU","False","",""
"TSYD","TSYD","AUBURN","NSW","2144","AU","False","",""
"TSYD","TSYD","AUBURN SOUTH","NSW","2144","AU","False","",""
"C8","C8","ABBOT POINT","QLD","4805","AU","False","",""
"TSYD","TSYD","ACACIA GARDENS","NSW","2763","AU","False","",""
"TBRI","TBRI","ACACIA RIDGE","QLD","4110","AU","False","",""
"C2","C2","ACLAND","QLD","4401","AU","False","",""
"C7","C7","ACLAND COAL MINE","QLD","4401","AU","False","",""
"TCAN","TCAN","AUSTRALIAN CAPITAL TERRITORY","ACT","2600","AU","False","",""
"TCAN","TCAN","ACTON","ACT","2601","AU","False","",""
"TNTL","TNTL","ADAMSTOWN","NSW","2289","AU","False","",""
"N8","N8","ADAMINABY","NSW","2629","AU","False","",""
"TNTL","TNTL","ADAMSTOWN HEIGHTS","NSW","2289","AU","False","",""
"TTWO","TTWO","ADARE","QLD","4343","AU","False","",""
"C12","C12","ADAVALE","QLD","4474","AU","False","",""
"TADE","TADE","ADELAIDE","SA","5000","AU","False","",""
"C6","C6","ADELAIDE PARK","QLD","4703","AU","False","",""
"N9","N9","ADELONG","NSW","2729","AU","False","",""
"N13","N13","ADJUNGBILLY","NSW","2727","AU","False","",""
"C1","C1","ADVANCETOWN","QLD","4211","AU","False","",""
"TBRI","TBRI","ARANA HILLS","QLD","4054","AU","False","",""
"TCNS","TCNS","AEROGLEN","QLD","4870","AU","False","",""
"C15","C15","AFTERLEE","NSW","2474","AU","False","",""
"C4","C4","AGNES WATER","QLD","4677","AU","False","",""
