"Zone","ParentZone","Locality","State","Postcode","CountryCode","RemoteArea","RemoteAreaFees1","RemoteAreaFees2"
"SYD","SYD","BARANGAROO","NSW","2000","AU","True","",""
"SYD","SYD","DARLING HARBOUR","NSW","2000","AU","True","",""
"SYD","SYD","DAWES POINT","NSW","2000","AU","True","",""
"SYD","SYD","HAYMARKET","NSW","2000","AU","True","",""
"SYD","SYD","MILLERS POINT","NSW","2000","AU","True","",""
"SYD","SYD","PARLIAMENT HOUSE","NSW","2000","AU","True","",""
"SYD","SYD","SYDNEY","NSW","2000","AU","True","",""
"SYD","SYD","SYDNEY SOUTH","NSW","2000","AU","True","",""
"SYD","SYD","THE ROCKS","NSW","2000","AU","True","",""
"SYD","SYD","SYDNEY","NSW","2001","AU","True","",""
"SYD","SYD","WORLD SQUARE","NSW","2002","AU","True","",""
"SYD","SYD","ALEXANDRIA MC","NSW","2004","AU","True","",""
"SYD","SYD","EASTERN SUBURBS MC","NSW","2004","AU","True","",""
"SYD","SYD","SYDNEY UNIVERSITY","NSW","2006","AU","True","",""
"SYD","SYD","BROADWAY","NSW","2007","AU","True","",""
"SYD","SYD","ULTIMO","NSW","2007","AU","True","",""
"SYD","SYD","CHIPPENDALE","NSW","2008","AU","True","",""
"SYD","SYD","DARLINGTON","NSW","2008","AU","True","",""
"SYD","SYD","GOLDEN GROVE","NSW","2008","AU","True","",""
"SYD","SYD","DARLING ISLAND","NSW","2009","AU","True","",""
"SYD","SYD","PYRMONT","NSW","2009","AU","True","",""
"SYD","SYD","DARLINGHURST","NSW","2010","AU","True","",""
"SYD","SYD","SURRY HILLS","NSW","2010","AU","True","",""
"SYD","SYD","TAYLOR SQUARE","NSW","2010","AU","True","",""
"SYD","SYD","ELIZABETH BAY","NSW","2011","AU","True","",""
"SYD","SYD","HMAS KUTTABUL","NSW","2011","AU","True","",""
"SYD","SYD","KINGS CROSS","NSW","2011","AU","True","",""
"SYD","SYD","POTTS POINT","NSW","2011","AU","True","",""
"SYD","SYD","RUSHCUTTERS BAY","NSW","2011","AU","True","",""
"SYD","SYD","WOOLLOOMOOLOO","NSW","2011","AU","True","",""
"SYD","SYD","STRAWBERRY HILLS","NSW","2012","AU","True","",""
"SYD","SYD","STRAWBERRY HILLS","NSW","2013","AU","True","",""
"SYD","SYD","ALEXANDRIA","NSW","2015","AU","True","",""
"SYD","SYD","BEACONSFIELD","NSW","2015","AU","True","",""
"SYD","SYD","EVELEIGH","NSW","2015","AU","True","",""
"SYD","SYD","REDFERN","NSW","2016","AU","True","",""
"SYD","SYD","WATERLOO","NSW","2017","AU","True","",""
"SYD","SYD","WATERLOO DC","NSW","2017","AU","True","",""
"SYD","SYD","ZETLAND","NSW","2017","AU","True","",""
"SYD","SYD","EASTLAKES","NSW","2018","AU","True","",""
"SYD","SYD","ROSEBERY","NSW","2018","AU","True","",""
"SYD","SYD","BANKSMEADOW","NSW","2019","AU","True","",""
"SYD","SYD","BOTANY","NSW","2019","AU","True","",""
"SYD","SYD","MASCOT","NSW","2020","AU","True","",""
"SYD","SYD","CENTENNIAL PARK","NSW","2021","AU","True","",""
"SYD","SYD","MOORE PARK","NSW","2021","AU","True","",""
"SYD","SYD","PADDINGTON","NSW","2021","AU","True","",""
"SYD","SYD","BONDI JUNCTION","NSW","2022","AU","True","",""
"SYD","SYD","BONDI JUNCTION PLAZA","NSW","2022","AU","True","",""
"SYD","SYD","QUEENS PARK","NSW","2022","AU","True","",""
"SYD","SYD","BELLEVUE HILL","NSW","2023","AU","True","",""
"SYD","SYD","BRONTE","NSW","2024","AU","True","",""
"SYD","SYD","CHARING CROSS","NSW","2024","AU","True","",""
"SYD","SYD","WAVERLEY","NSW","2024","AU","True","",""
