"Zone","ParentZone","Locality","State","Postcode","CountryCode","RemoteArea","RemoteAreaFees1","RemoteAreaFees2"
"KARR","KARR","ANTONYMYRE","WA","6714","AU","False","",""
"KARR","KARR","BALLA BALLA","WA","6714","AU","False","",""
"KARR","KARR","BAYNTON","WA","6714","AU","False","",""
"KARR","KARR","BULGARRA","WA","6714","AU","False","",""
"KARR","KARR","BURRUP","WA","6714","AU","False","",""
"KARR","KARR","CLEAVERVILLE","WA","6714","AU","False","",""
"KARR","KARR","COOYA POOYA","WA","6714","AU","False","",""
"KARR","KARR","GAP RIDGE","WA","6714","AU","False","",""
"KARR","KARR","GNOOREA","WA","6714","AU","False","",""
"KARR","KARR","KARRATHA","WA","6714","AU","False","",""
"KARR","KARR","KARRATHA INDUSTRIAL ESTATE","WA","6714","AU","False","",""
"KARR","KARR","MAITLAND","WA","6714","AU","False","",""
"KARR","KARR","MARDIE","WA","6714","AU","False","",""
"KARR","KARR","MILLARS WELL","WA","6714","AU","False","",""
"KARR","KARR","MOUNT ANKETELL","WA","6714","AU","False","",""
"KARR","KARR","MULATAGA","WA","6714","AU","False","",""
"KARR","KARR","NICKOL","WA","6714","AU","False","",""
"KARR","KARR","PEGS CREEK","WA","6714","AU","False","",""
"KARR","KARR","SHERLOCK","WA","6714","AU","False","",""
"KARR","KARR","STOVE HILL","WA","6714","AU","False","",""
"DWN","DWN","COSSACK","NT","0850","AU","False","",""
"DWN","DWN","EMUNGALAN","NT","0850","AU","False","",""
"DWN","DWN","KATHERINE","NT","0850","AU","False","",""
"DWN","DWN","KATHERINE","NT","0851","AU","False","",""
"DWN","DWN","KATHERINE EAST","NT","0850","AU","False","",""
"DWN","DWN","KATHERINE SOUTH","NT","0850","AU","False","",""
"DWN","DWN","LANSDOWNE","NT","0850","AU","False","",""
"DWN","DWN","ALICE SPRINGS","NT","0870","AU","False","",""
"DWN","DWN","ALICE SPRINGS","NT","0871","AU","False","",""
"DWN","DWN","ARALUEN","NT","0870","AU","False","",""
"DWN","DWN","ARUMBERA","NT","0870","AU","False","",""
"DWN","DWN","BRAITLING","NT","0870","AU","False","",""
"DWN","DWN","CICCONE","NT","0870","AU","False","",""
"DWN","DWN","CONNELLAN","NT","0870","AU","False","",""
"DWN","DWN","DESERT SPRINGS","NT","0870","AU","False","",""
"DWN","DWN","EAST SIDE","NT","0870","AU","False","",""
"DWN","DWN","FLYNN","NT","0870","AU","False","",""
"DWN","DWN","GILLEN","NT","0870","AU","False","",""
"DWN","DWN","ILPARPA","NT","0870","AU","False","",""
"DWN","DWN","IRLPME","NT","0870","AU","False","",""
"DWN","DWN","LARAPINTA","NT","0870","AU","False","",""
"DWN","DWN","MOUNT JOHNS","NT","0870","AU","False","",""
"DWN","DWN","ROSS","NT","0870","AU","False","",""
"DWN","DWN","SADADEEN","NT","0870","AU","False","",""
"DWN","DWN","STUART","NT","0870","AU","False","",""
"DWN","DWN","THE GAP","NT","0870","AU","False","",""
"DWN","DWN","UNDOOLYA","NT","0870","AU","False","",""
"DWN","DWN","WHITE GUMS","NT","0870","AU","False","",""
"DWN","DWN","ALAWA","NT","0810","AU","False","",""
"DWN","DWN","ANULA","NT","0812","AU","False","",""
"DWN","DWN","ARCHER","NT","0830","AU","False","",""
"DWN","DWN","BAGOT","NT","0820","AU","False","",""
"DWN","DWN","BAKEWELL","NT","0832","AU","False","",""
"DWN","DWN","BAYVIEW","NT","0820","AU","False","",""
"DWN","DWN","BELLAMACK","NT","0832","AU","False","",""
"DWN","DWN","BERRIMAH","NT","0828","AU","False","",""
"DWN","DWN","BRINKIN","NT","0810","AU","False","",""
"DWN","DWN","BUFFALO CREEK","NT","0812","AU","False","",""
"DWN","DWN","CASUARINA","NT","0810","AU","False","",""
"DWN","DWN","CASUARINA","NT","0811","AU","False","",""
"DWN","DWN","CHARLES DARWIN","NT","0820","AU","False","",""
