"Zone","ParentZone","Locality","State","Postcode","CountryCode","RemoteArea","RemoteAreaFees1","RemoteAreaFees2"
"DWN","DWN","DARWIN","NT","0800","AU","True","",""
"DWN","DWN","MILLGROVE","NT","0800","AU","True","",""
"DWN","DWN","DARWIN","NT","0801","AU","True","",""
"DWN","DWN","MINDIL BEACH","NT","0801","AU","True","",""
"DWN","DWN","DARWIN MC","NT","0802","AU","True","",""
"DWN","DWN","PARAP","NT","0804","AU","True","",""
"DWN","DWN","ALAWA","NT","0810","AU","True","",""
"DWN","DWN","BRINKIN","NT","0810","AU","True","",""
"DWN","DWN","CASUARINA","NT","0810","AU","True","",""
"DWN","DWN","COCONUT GROVE","NT","0810","AU","True","",""
"DWN","DWN","JINGILI","NT","0810","AU","True","",""
"DWN","DWN","LEE POINT","NT","0810","AU","True","",""
"DWN","DWN","LYONS","NT","0810","AU","True","",""
"DWN","DWN","MILLNER","NT","0810","AU","True","",""
"DWN","DWN","MOIL","NT","0810","AU","True","",""
"DWN","DWN","MUIRHEAD","NT","0810","AU","True","",""
"DWN","DWN","NAKARA","NT","0810","AU","True","",""
"DWN","DWN","NIGHTCLIFF","NT","0810","AU","True","",""
"DWN","DWN","RAPID CREEK","NT","0810","AU","True","",""
"DWN","DWN","TIWI","NT","0810","AU","True","",""
"DWN","DWN","WAGAMAN","NT","0810","AU","True","",""
"DWN","DWN","WANGURI","NT","0810","AU","True","",""
"DWN","DWN","CASUARINA","NT","0811","AU","True","",""
"DWN","DWN","ANULA","NT","0812","AU","True","",""
"DWN","DWN","HOLMES","NT","0812","AU","True","",""
"DWN","DWN","KARAMA","NT","0812","AU","True","",""
"DWN","DWN","LEANYER","NT","0812","AU","True","",""
"DWN","DWN","MALAK","NT","0812","AU","True","",""
"DWN","DWN","MARRARA","NT","0812","AU","True","",""
"DWN","DWN","NORTHLAKES","NT","0812","AU","True","",""
"DWN","DWN","SANDERSON","NT","0812","AU","True","",""
"DWN","DWN","WOODLEIGH GARDENS","NT","0812","AU","True","",""
"DWN","DWN","WULAGI","NT","0812","AU","True","",""
"DWN","DWN","SANDERSON","NT","0813","AU","True","",""
"DWN","DWN","NIGHTCLIFF","NT","0814","AU","True","",""
"DWN","DWN","CHARLES DARWIN UNIVERSITY","NT","0815","AU","True","",""
"DWN","DWN","NORTHERN TERRITORY U","NT","0815","AU","True","",""
"DWN","DWN","BAGOT","NT","0820","AU","True","",""
"DWN","DWN","BAYVIEW HAVEN","NT","0820","AU","True","",""
"DWN","DWN","CAR","NT","0820","AU","True","",""
"DWN","DWN","CHARLES DARWIN","NT","0820","AU","True","",""
"DWN","DWN","CULLEN BAY","NT","0820","AU","True","",""
"DWN","DWN","EAST POINT","NT","0820","AU","True","",""
"DWN","DWN","EATON","NT","0820","AU","True","",""
"DWN","DWN","FANNIE BAY","NT","0820","AU","True","",""
"DWN","DWN","HMAS COONAWARRA","NT","0820","AU","True","",""
"DWN","DWN","KNUCKEYS LAGOON","NT","0820","AU","True","",""
"DWN","DWN","LARRAKEYAH","NT","0820","AU","True","",""
"DWN","DWN","LUDMILLA","NT","0820","AU","True","",""
"DWN","DWN","PARAP","NT","0820","AU","True","",""
"DWN","DWN","ROCKHAMP","NT","0820","AU","True","",""
"DWN","DWN","STUART PARK","NT","0820","AU","True","",""
"DWN","DWN","THE GARDENS","NT","0820","AU","True","",""
"DWN","DWN","THE NARROWS","NT","0820","AU","True","",""
"DWN","DWN","WINNELLIE","NT","0820","AU","False","",""
"DWN","DWN","WOOLNER","NT","0820","AU","True","",""
"DWN","DWN","COONAWARRA","NT","0821","AU","True","",""
"DWN","DWN","WINNELLIE","NT","0821","AU","True","",""
"NTZ1","NTZ1","ACACIA HILLS","NT","0822","AU","True","",""
"ALY","ALY","ANGURUGU","NT","0822","AU","True","",""
"ALY","ALY","ANINDILYAKWA","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","ANNIE RIVER","NT","0822","AU","True","",""
"NTZ3","NTZ3","BATHURST ISLAND","NT","0822","AU","True","",""
"NTZ1","NTZ1","BEES CREEK","NT","0822","AU","True","",""
"NTZ1","NTZ1","BELYUEN","NT","0822","AU","True","",""
"NTZ1","NTZ1","BLACK JUNGLE","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","BLACKMORE","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","BLADIN POINT","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","BLADIN POINT (DO NOT USE)","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","BURRUNDIE","NT","0822","AU","True","",""
"NTZ1","NTZ1","BYNOE","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","BYNOE HARBOUR","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","CHANNEL ISLAND","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","CHARLES DARWIN","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","CHARLOTTE","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","CLARAVALE","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","COBOURG","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","COLLETT CREEK","NT","0822","AU","True","",""
"NTZ1","NTZ1","COOMALIE CREEK","NT","0822","AU","True","",""
"NTZ2","NTZ2","CORROBOREE","NT","0822","AU","True","",""
"NTZ1","NTZ1","COX PENINSULA","NT","0822","AU","True","",""
"NTZ3","NTZ3","CROKER ISLAND","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","DALY","NT","0822","AU","True","",""
"NTZ1","NTZ1","DALY RIVER","NT","0822","AU","True","",""
"NTZ1","NTZ1","DARWIN RIVER","NT","0822","AU","True","",""
"NTZ1","NTZ1","DELISSAVILLE","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","DOUGLAS DALY","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","DUNDEE DOWNS","NT","0822","AU","True","",""
"NTZ1","NTZ1","DUNDEE LODGE","NT","0822","AU","True","",""
"DWN","DWN","EAST ARM","NT","0822","AU","True","",""
"NTZ3","NTZ3","EAST ARNHEM","NT","0822","AU","True","",""
"NHU","NHU","ELCHO ISLAND","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","ELRUNDIE","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","EVA VALLEY","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","FINNISS VALLEY","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","FLEMING","NT","0822","AU","True","",""
"NTZ1","NTZ1","FLY CREEK","NT","0822","AU","True","",""
"NTZ1","NTZ1","FREDS PASS","NT","0822","AU","True","",""
"NHU","NHU","GALINWINKU AIRPORT","NT","0822","AU","True","",""
"NHU","NHU","GALIWINKU","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","GLYDE POINT","NT","0822","AU","True","",""
"NTZ3","NTZ3","GOULBOURN ISLAND","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","GOULBURN ISLAND","NT","0822","AU","True","",""
"NTZ2","NTZ2","GUNBALANYA","NT","0822","AU","True","",""
"NTZ1","NTZ1","GUNN POINT","NT","0822","AU","True","",""
"NTZ1","NTZ1","HAYES CREEK","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","KOOLPINYAH","NT","0822","AU","True","",""
"NTZ1","NTZ1","LAKE BENNETT","NT","0822","AU","True","",""
"NTZ1","NTZ1","LAMBELLS LAGOON","NT","0822","AU","True","",""
"NTZ1","NTZ1","LITCHFIELD PARK","NT","0822","AU","True","",""
"DWNR","DWNR","LIVINGSTONE","NT","0822","AU","True","",""
"NTZ1","NTZ1","LLOYD CREEK","NT","0822","AU","True","",""
"NTZ1","NTZ1","MANDORAH","NT","0822","AU","True","",""
"NHU","NHU","MANINGRIDA","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","MAPURU","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","MARANUNGA","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","MARRAKAI","NT","0822","AU","True","",""
"NTZ2","NTZ2","MARY RIVER PARK","NT","0822","AU","True","",""
"DWNR","DWNR","MCMINNS LAGOON","NT","0822","AU","True","",""
"NTZ3","NTZ3","MELVILLE ISLAND","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","MICKETT CREEK","NT","0822","AU","True","",""
"NTZ1","NTZ1","MIDDLE POINT","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","MILIKAPITI","NT","0822","AU","True","",""
"NHU","NHU","MILINGIMBI","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","MILYAKBURRA","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","MINJILANG","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","MOUNT BUNDEY","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","MURRUMUJUK","NT","0822","AU","True","",""
"NTZ1","NTZ1","NAIUYU","NT","0822","AU","True","",""
"NTZ1","NTZ1","NAUIYU","NT","0822","AU","True","",""
"NTZ3","NTZ3","NEMARLUK","NT","0822","AU","True","",""
"NTZ3","NTZ3","NGANMARRIYANGA","NT","0822","AU","True","",""
"NTZ3","NTZ3","NGUIU","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","NUMBURINDI","NT","0822","AU","True","",""
"NTZ2","NTZ2","OENPELLI","NT","0822","AU","True","",""
"NTZ3","NTZ3","PALUMPA","NT","0822","AU","True","",""
"NTZ3","NTZ3","PEPPIMENARTI","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","PIRLANGIMPI","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","POINT STEPHENS","NT","0822","AU","True","",""
"NTZ2","NTZ2","POINT STUART","NT","0822","AU","True","",""
"NTZ3","NTZ3","PORT KEATS","NT","0822","AU","True","",""
"NTZ3","NTZ3","PULARUMPI","NT","0822","AU","True","",""
"DWNPOA","DWNPOA","RAKULA","NT","0822","AU","True","",""
