"Zone","ParentZone","Locality","State","Postcode","CountryCode","RemoteArea","RemoteAreaFees1","RemoteAreaFees2"
"ADE","ADE","ABERFOYLE PARK","SA","5159","AU","False","",""
"ADE","ADE","ADELAIDE","SA","5000","AU","False","",""
"ADE","ADE","ADELAIDE","SA","5001","AU","False","",""
"ADE","ADE","ADELAIDE","SA","5800","AU","False","",""
"ADE","ADE","ADELAIDE","SA","5810","AU","False","",""
"ADE","ADE","ADELAIDE","SA","5839","AU","False","",""
"ADE","ADE","ADELAIDE AIRPORT","SA","5950","AU","False","",""
"ADE","ADE","ADELAIDE BC","SA","5000","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5860","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5861","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5862","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5863","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5864","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5865","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5866","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5867","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5868","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5869","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5870","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5871","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5872","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5873","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5874","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5875","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5876","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5877","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5878","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5879","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5880","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5881","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5882","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5883","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5884","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5885","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5886","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5887","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5888","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5889","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5890","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5891","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5892","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5893","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5894","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5895","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5896","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5897","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5898","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5899","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5900","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5901","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5902","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5903","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5904","AU","False","",""
"ADE","ADE","ADELAIDE MAIL CENTRE","SA","5920","AU","False","",""
"ADE","ADE","ADELAIDE UNIVERSITY","SA","5005","AU","False","",""
"ADE","ADE","ALBERT PARK","SA","5014","AU","False","",""
"ADE","ADE","ALBERTON","SA","5014","AU","False","",""
"ADE","ADE","ALDINGA","SA","5173","AU","False","",""
"ADE","ADE","ALDINGA BEACH","SA","5173","AU","False","",""
"ADE","ADE","ALLENBY GARDENS","SA","5009","AU","False","",""
"ADE","ADE","ANDREWS FARM","SA","5114","AU","False","",""
"ADE","ADE","ANGLE PARK","SA","5010","AU","False","",""
"ADE","ADE","ASCOT PARK","SA","5043","AU","False","",""
"ADE","ADE","ASHFORD","SA","5035","AU","False","",""
"ADE","ADE","ATHELSTONE","SA","5076","AU","False","",""
"ADE","ADE","ATHOL PARK","SA","5012","AU","False","",""
"ADE","ADE","AULDANA","SA","5072","AU","False","",""
"ADE","ADE","BANKSIA PARK","SA","5091","AU","False","",""
"ADE","ADE","BEAUMONT","SA","5066","AU","False","",""
"ADE","ADE","BEDFORD PARK","SA","5042","AU","False","",""
"ADE","ADE","BELAIR","SA","5052","AU","False","",""
"ADE","ADE","BELLEVUE HEIGHTS","SA","5050","AU","False","",""
"ADE","ADE","BEULAH PARK","SA","5067","AU","False","",""
"ADE","ADE","BEVERLEY","SA","5009","AU","False","",""
"ADE","ADE","BIRKENHEAD","SA","5015","AU","False","",""
"ADE","ADE","BLACK FOREST","SA","5035","AU","False","",""
"ADE","ADE","BLACKWOOD","SA","5051","AU","False","",""
"ADE","ADE","BLAIR ATHOL","SA","5084","AU","False","",""
"ADE","ADE","BLAIR ATHOL WEST","SA","5084","AU","False","",""
"ADE","ADE","BLAKEVIEW","SA","5114","AU","False","",""
"ADE","ADE","BOLIVAR","SA","5110","AU","False","",""
"ADE","ADE","BOWDEN","SA","5007","AU","False","",""
"ADE","ADE","BRAHMA LODGE","SA","5109","AU","False","",""
"ADE","ADE","BRIGHTON","SA","5048","AU","False","",""
"ADE","ADE","BROADVIEW","SA","5083","AU","False","",""
"ADE","ADE","BROMPTON","SA","5007","AU","False","",""
"ADE","ADE","BROOKLYN PARK","SA","5032","AU","False","",""
"ADE","ADE","BROWN HILL CREEK","SA","5062","AU","False","",""
"ADE","ADE","BURNSIDE","SA","5066","AU","False","",""
"ADE","ADE","BURTON","SA","5110","AU","False","",""
"ADE","ADE","CAMDEN PARK","SA","5038","AU","False","",""
"ADE","ADE","CAMPBELLTOWN","SA","5074","AU","False","",""
"ADE","ADE","CASTAMBUL","SA","5076","AU","False","",""
"ADE","ADE","CAVAN","SA","5094","AU","False","",""
"ADE","ADE","CHANDLERS HILL","SA","5159","AU","False","",""
"ADE","ADE","CHELTENHAM","SA","5014","AU","False","",""
"ADE","ADE","CHRISTIE DOWNS","SA","5164","AU","False","",""
"ADE","ADE","CHRISTIES BEACH","SA","5165","AU","False","",""
"ADE","ADE","CHRISTIES BEACH NORTH","SA","5165","AU","False","",""
"ADE","ADE","CITY WEST CAMPUS","SA","5000","AU","False","",""
"ADE","ADE","CLAPHAM","SA","5062","AU","False","",""
"ADE","ADE","CLARENCE GARDENS","SA","5039","AU","False","",""
"ADE","ADE","CLARENCE PARK","SA","5034","AU","False","",""
"ADE","ADE","CLEARVIEW","SA","5085","AU","False","",""
"ADE","ADE","CLOVELLY PARK","SA","5042","AU","False","",""
"ADE","ADE","COLLEGE PARK","SA","5069","AU","False","",""
"ADE","ADE","COLLINSWOOD","SA","5081","AU","False","",""
"ADE","ADE","COLONEL LIGHT GARDENS","SA","5041","AU","False","",""
"ADE","ADE","COROMANDEL VALLEY","SA","5051","AU","False","",""
"ADE","ADE","COWANDILLA","SA","5033","AU","False","",""
"ADE","ADE","CRAIGBURN FARM","SA","5051","AU","False","",""
"ADE","ADE","CRAIGMORE","SA","5114","AU","False","",""
"ADE","ADE","CROYDON","SA","5008","AU","False","",""
"ADE","ADE","CROYDON PARK","SA","5008","AU","False","",""
"ADE","ADE","CROYDON PARK SOUTH","SA","5008","AU","False","",""
"ADE","ADE","CUMBERLAND PARK","SA","5041","AU","False","",""
"ADE","ADE","DARLINGTON","SA","5047","AU","False","",""
"ADE","ADE","DAVOREN PARK","SA","5113","AU","False","",""
"ADE","ADE","DAVOREN PARK NORTH","SA","5113","AU","False","",""
"ADE","ADE","DAVOREN PARK SOUTH","SA","5113","AU","False","",""
"ADE","ADE","DAW PARK","SA","5041","AU","False","",""
"ADE","ADE","DERNANCOURT","SA","5075","AU","False","",""
"ADE","ADE","DEVON PARK","SA","5008","AU","False","",""
"ADE","ADE","DIREK","SA","5110","AU","False","",""
"ADE","ADE","DOVER GARDENS","SA","5048","AU","False","",""
"ADE","ADE","DRY CREEK","SA","5094","AU","False","",""
"ADE","ADE","DUDLEY PARK","SA","5008","AU","False","",""
"ADE","ADE","DULWICH","SA","5065","AU","False","",""
"ADE","ADE","EASTWOOD","SA","5063","AU","False","",""
"ADE","ADE","EDEN HILLS","SA","5050","AU","False","",""
"ADE","ADE","EDINBURGH","SA","5111","AU","False","",""
"ADE","ADE","EDWARDSTOWN","SA","5039","AU","False","",""
"ADE","ADE","ELIZABETH","SA","5112","AU","False","",""
"ADE","ADE","ELIZABETH DOWNS","SA","5113","AU","False","",""
"ADE","ADE","ELIZABETH EAST","SA","5112","AU","False","",""
"ADE","ADE","ELIZABETH GROVE","SA","5112","AU","False","",""
"ADE","ADE","ELIZABETH NORTH","SA","5113","AU","False","",""
"ADE","ADE","ELIZABETH PARK","SA","5113","AU","False","",""
"ADE","ADE","ELIZABETH SOUTH","SA","5112","AU","False","",""
"ADE","ADE","ELIZABETH VALE","SA","5112","AU","False","",""
"ADE","ADE","ELIZABETH WEST","SA","5113","AU","False","",""
"ADE","ADE","ELIZABETH WEST DC","SA","5113","AU","False","",""
"ADE","ADE","ENFIELD","SA","5085","AU","False","",""
"ADE","ADE","ENFIELD PLAZA","SA","5085","AU","False","",""
"ADE","ADE","ERINDALE","SA","5066","AU","False","",""
