"Zone","ParentZone","Locality","State","Postcode","CountryCode","RemoteArea","RemoteAreaFees1","RemoteAreaFees2"
"ADE","ADE","ABERFOYLE PARK","SA","5159","AU","False","",""
"ADE","ADE","ADELAIDE","SA","5000","AU","False","",""
"ADE","ADE","ADELAIDE","SA","5001","AU","False","",""
"ADE","ADE","ADELAIDE","SA","5800","AU","False","",""
"ADE","ADE","ADELAIDE","SA","5810","AU","False","",""
"ADE","ADE","ADELAIDE","SA","5839","AU","False","",""
"ADE","ADE","ADELAIDE AIRPORT","SA","5950","AU","False","",""
"ADE","ADE","ADELAIDE BC","SA","5000","AU","False","",""
"ADE","ADE","ALBERT PARK","SA","5014","AU","False","",""
"ADE","ADE","ALBERTON","SA","5014","AU","False","",""
"ADE","ADE","ALLENBY GARDENS","SA","5009","AU","False","",""
"ADE","ADE","ANDREWS FARM","SA","5114","AU","False","",""
"ADE","ADE","ANGLE PARK","SA","5010","AU","False","",""
"ADE","ADE","ASCOT PARK","SA","5043","AU","False","",""
"ADE","ADE","ASHFORD","SA","5035","AU","False","",""
"ADE","ADE","ATHELSTONE","SA","5076","AU","False","",""
"ADE","ADE","ATHOL PARK","SA","5012","AU","False","",""
"ADE","ADE","AULDANA","SA","5072","AU","False","",""
"ADE","ADE","BANKSIA PARK","SA","5091","AU","False","",""
"ADE","ADE","BEAUMONT","SA","5066","AU","False","",""
"ADE","ADE","BEDFORD PARK","SA","5042","AU","False","",""
"ADE","ADE","BELAIR","SA","5052","AU","False","",""
"ADE","ADE","BELLEVUE HEIGHTS","SA","5050","AU","False","",""
"ADE","ADE","BEULAH PARK","SA","5067","AU","False","",""
"ADE","ADE","BEVERLEY","SA","5009","AU","False","",""
"ADE","ADE","BIRKENHEAD","SA","5015","AU","False","",""
"ADE","ADE","BLACK FOREST","SA","5035","AU","False","",""
"ADE","ADE","BLACKWOOD","SA","5051","AU","False","",""
"ADE","ADE","BLAIR ATHOL","SA","5084","AU","False","",""
"ADE","ADE","BLAKEVIEW","SA","5114","AU","False","",""
"ADE","ADE","BOLIVAR","SA","5110","AU","False","",""
"ADE","ADE","BOWDEN","SA","5007","AU","False","",""
"ADE","ADE","BRAHMA LODGE","SA","5109","AU","False","",""
"ADE","ADE","BRIGHTON","SA","5048","AU","False","",""
"ADE","ADE","BROADVIEW","SA","5083","AU","False","",""
"ADE","ADE","BROMPTON","SA","5007","AU","False","",""
"ADE","ADE","BROOKLYN PARK","SA","5032","AU","False","",""
"ADE","ADE","BROWN HILL CREEK","SA","5062","AU","False","",""
"ADE","ADE","BURNSIDE","SA","5066","AU","False","",""
"ADE","ADE","BURTON","SA","5110","AU","False","",""
"ADE","ADE","CAMDEN PARK","SA","5038","AU","False","",""
"ADE","ADE","CAMPBELLTOWN","SA","5074","AU","False","",""
"ADE","ADE","CASTAMBUL","SA","5076","AU","False","",""
"ADE","ADE","CAVAN","SA","5094","AU","False","",""
"ADE","ADE","CHANDLERS HILL","SA","5159","AU","False","",""
"ADE","ADE","CHELTENHAM","SA","5014","AU","False","",""
"ADE","ADE","CHRISTIE DOWNS","SA","5164","AU","False","",""
"ADE","ADE","CHRISTIES BEACH","SA","5165","AU","False","",""
"ADE","ADE","CHRISTIES BEACH NORTH","SA","5165","AU","False","",""
"ADE","ADE","CITY WEST CAMPUS","SA","5000","AU","False","",""
"ADE","ADE","CLAPHAM","SA","5062","AU","False","",""
"ADE","ADE","CLARENCE GARDENS","SA","5039","AU","False","",""
"ADE","ADE","CLARENCE PARK","SA","5034","AU","False","",""
"ADE","ADE","CLEARVIEW","SA","5085","AU","False","",""
"ADE","ADE","CLOVELLY PARK","SA","5042","AU","False","",""
"ADE","ADE","COLLEGE PARK","SA","5069","AU","False","",""
"ADE","ADE","COLLINSWOOD","SA","5081","AU","False","",""
"ADE","ADE","COLONEL LIGHT GARDENS","SA","5041","AU","False","",""
"ADE","ADE","COROMANDEL VALLEY","SA","5051","AU","False","",""
"ADE","ADE","COWANDILLA","SA","5033","AU","False","",""
"ADE","ADE","CRAIGBURN FARM","SA","5051","AU","False","",""
"ADE","ADE","CRAIGMORE","SA","5114","AU","False","",""
"ADE","ADE","CROYDON","SA","5008","AU","False","",""
"ADE","ADE","CROYDON PARK","SA","5008","AU","False","",""
"ADE","ADE","CUMBERLAND PARK","SA","5041","AU","False","",""
"ADE","ADE","DARLINGTON","SA","5047","AU","False","",""
"ADE","ADE","DAVOREN PARK","SA","5113","AU","False","",""
"ADE","ADE","DAVOREN PARK SOUTH","SA","5113","AU","False","",""
"ADE","ADE","DAW PARK","SA","5041","AU","False","",""
"ADE","ADE","DERNANCOURT","SA","5075","AU","False","",""
"ADE","ADE","DEVON PARK","SA","5008","AU","False","",""
"ADE","ADE","DIREK","SA","5110","AU","False","",""
"ADE","ADE","DOVER GARDENS","SA","5048","AU","False","",""
"ADE","ADE","DRY CREEK","SA","5094","AU","False","",""
"ADE","ADE","DUDLEY PARK","SA","5008","AU","False","",""
"ADE","ADE","DULWICH","SA","5065","AU","False","",""
"ADE","ADE","EASTWOOD","SA","5063","AU","False","",""
"ADE","ADE","EDEN HILLS","SA","5050","AU","False","",""
"ADE","ADE","EDINBURGH","SA","5111","AU","False","",""
"ADE","ADE","EDINBURGH NORTH","SA","5113","AU","False","",""
"ADE","ADE","EDINBURGH RAAF","SA","5111","AU","False","",""
"ADE","ADE","EDWARDSTOWN","SA","5039","AU","False","",""
"ADE","ADE","ELIZABETH","SA","5112","AU","False","",""
"ADE","ADE","ELIZABETH DOWNS","SA","5113","AU","False","",""
"ADE","ADE","ELIZABETH EAST","SA","5112","AU","False","",""
"ADE","ADE","ELIZABETH GROVE","SA","5112","AU","False","",""
"ADE","ADE","ELIZABETH NORTH","SA","5113","AU","False","",""
"ADE","ADE","ELIZABETH PARK","SA","5113","AU","False","",""
"ADE","ADE","ELIZABETH SOUTH","SA","5112","AU","False","",""
"ADE","ADE","ELIZABETH VALE","SA","5112","AU","False","",""
"ADE","ADE","ELIZABETH WEST DC","SA","5113","AU","False","",""
"ADE","ADE","ENFIELD","SA","5085","AU","False","",""
"ADE","ADE","ENFIELD PLAZA","SA","5085","AU","False","",""
"ADE","ADE","ERINDALE","SA","5066","AU","False","",""
"ADE","ADE","ETHELTON","SA","5015","AU","False","",""
"ADE","ADE","EVANDALE","SA","5069","AU","False","",""
"ADE","ADE","EVERARD PARK","SA","5035","AU","False","",""
"ADE","ADE","EXETER","SA","5019","AU","False","",""
"ADE","ADE","EXPORT PARK","SA","5950","AU","False","",""
"ADE","ADE","FAIRVIEW PARK","SA","5126","AU","False","",""
"ADE","ADE","FELIXSTOW","SA","5070","AU","False","",""
"ADE","ADE","FERRYDEN PARK","SA","5010","AU","False","",""
"ADE","ADE","FINDON","SA","5023","AU","False","",""
"ADE","ADE","FIRLE","SA","5070","AU","False","",""
"ADE","ADE","FITZROY","SA","5082","AU","False","",""
"ADE","ADE","FLAGSTAFF HILL","SA","5159","AU","False","",""
"ADE","ADE","FLINDERS PARK","SA","5025","AU","False","",""
"ADE","ADE","FLINDERS UNIVERSITY","SA","5042","AU","False","",""
"ADE","ADE","FORESTVILLE","SA","5035","AU","False","",""
"ADE","ADE","FREWVILLE","SA","5063","AU","False","",""
"ADE","ADE","FULHAM","SA","5024","AU","False","",""
"ADE","ADE","FULHAM GARDENS","SA","5024","AU","False","",""
"ADE","ADE","FULLARTON","SA","5063","AU","False","",""
"ADE","ADE","GEPPS CROSS","SA","5094","AU","False","",""
"ADE","ADE","GILBERTON","SA","5081","AU","False","",""
"ADE","ADE","GILLES PLAINS","SA","5086","AU","False","",""
"ADE","ADE","GILLMAN","SA","5013","AU","False","",""
"ADE","ADE","GLANDORE","SA","5037","AU","False","",""
"ADE","ADE","GLANVILLE","SA","5015","AU","False","",""
"ADE","ADE","GLEN OSMOND","SA","5064","AU","False","",""
"ADE","ADE","GLENALTA","SA","5052","AU","False","",""
"ADE","ADE","GLENELG","SA","5045","AU","False","",""
"ADE","ADE","GLENELG EAST","SA","5045","AU","False","",""
"ADE","ADE","GLENELG JETTY ROAD","SA","5045","AU","False","",""
"ADE","ADE","GLENELG NORTH","SA","5045","AU","False","",""
"ADE","ADE","GLENELG SOUTH","SA","5045","AU","False","",""
"ADE","ADE","GLENGOWRIE","SA","5044","AU","False","",""
"ADE","ADE","GLENSIDE","SA","5065","AU","False","",""
"ADE","ADE","GLENUNGA","SA","5064","AU","False","",""
"ADE","ADE","GLOBE DERBY PARK","SA","5110","AU","False","",""
"ADE","ADE","GLYNDE","SA","5070","AU","False","",""
"ADE","ADE","GLYNDE DC","SA","5070","AU","False","",""
"ADE","ADE","GLYNDE PLAZA","SA","5070","AU","False","",""
"ADE","ADE","GOLDEN GROVE","SA","5125","AU","False","",""
"ADE","ADE","GOLDEN GROVE VILLAGE","SA","5125","AU","False","",""
"ADE","ADE","GOODWOOD","SA","5034","AU","False","",""
"ADE","ADE","GOULD CREEK","SA","5114","AU","False","",""
"ADE","ADE","GRANGE","SA","5022","AU","False","",""
"ADE","ADE","GREEN FIELDS","SA","5107","AU","False","",""
"ADE","ADE","GREENACRES","SA","5086","AU","False","",""
"ADE","ADE","GREENWITH","SA","5125","AU","False","",""
"ADE","ADE","GULFVIEW HEIGHTS","SA","5096","AU","False","",""
"ADE","ADE","HACKHAM","SA","5163","AU","False","",""
"ADE","ADE","HACKHAM WEST","SA","5163","AU","False","",""
"ADE","ADE","HACKNEY","SA","5069","AU","False","",""
"ADE","ADE","HALIFAX STREET","SA","5000","AU","False","",""
"ADE","ADE","HALLETT COVE","SA","5158","AU","False","",""
"ADE","ADE","HAMPSTEAD GARDENS","SA","5086","AU","False","",""
"ADE","ADE","HAPPY VALLEY","SA","5159","AU","False","",""
"ADE","ADE","HAWTHORN","SA","5062","AU","False","",""
"ADE","ADE","HAWTHORNDENE","SA","5051","AU","False","",""
"ADE","ADE","HAZELWOOD PARK","SA","5066","AU","False","",""
"ADE","ADE","HEATHPOOL","SA","5068","AU","False","",""
"ADE","ADE","HECTORVILLE","SA","5073","AU","False","",""
"ADE","ADE","HENDON","SA","5014","AU","False","",""
"ADE","ADE","HENLEY BEACH","SA","5022","AU","False","",""
