"Zone","ParentZone","Locality","State","Postcode","CountryCode","RemoteArea","RemoteAreaFees1","RemoteAreaFees2"
"CANBERRA","CANBERRA","AUSTRALIAN NATIONAL U","ACT","0200","AU","False","",""
"CANBERRA","CANBERRA","BARTON","ACT","0221","AU","False","",""
"CANBERRA","CANBERRA","CANBERRA MC","ACT","0291","AU","False","",""
"CANBERRA","CANBERRA","CANBERRA MC","ACT","0293","AU","False","",""
"CANBERRA","CANBERRA","CANBERRA MC","ACT","0294","AU","False","",""
"CANBERRA","CANBERRA","CANBERRA MC","ACT","0295","AU","False","",""
"CANBERRA","CANBERRA","CANBERRA MC","ACT","0296","AU","False","",""
"CANBERRA","CANBERRA","CANBERRA MC","ACT","0297","AU","False","",""
"CANBERRA","CANBERRA","CANBERRA MC","ACT","0298","AU","False","",""
"CANBERRA","CANBERRA","CANBERRA MC","ACT","0299","AU","False","",""
"DARWIN","DARWIN","DARWIN","NT","0800","AU","False","",""
"DARWIN","DARWIN","DARWIN RAILHEAD","NT","0800","AU","False","",""
"DARWIN WHARF","DARWIN WHARF","DARWIN WHARF","NT","0800","AU","False","",""
"DARWIN","DARWIN","DARWIN","NT","0801","AU","False","",""
"DARWIN","DARWIN","WAGAIT BEACH","NT","0803","AU","False","",""
"DARWIN","DARWIN","PARAP","NT","0804","AU","False","",""
"DARWIN","DARWIN","ALAWA","NT","0810","AU","False","",""
"DARWIN","DARWIN","BRINKIN","NT","0810","AU","False","",""
"DARWIN","DARWIN","CASUARINA","NT","0810","AU","False","",""
"DARWIN","DARWIN","COCONUT GROVE","NT","0810","AU","False","",""
"DARWIN","DARWIN","JINGILI","NT","0810","AU","False","",""
"DARWIN","DARWIN","LEE POINT","NT","0810","AU","False","",""
"DARWIN","DARWIN","MILLNER","NT","0810","AU","False","",""
"DARWIN","DARWIN","MOIL","NT","0810","AU","False","",""
"DARWIN","DARWIN","NAKARA","NT","0810","AU","False","",""
"DARWIN","DARWIN","NIGHTCLIFF","NT","0810","AU","False","",""
"DARWIN","DARWIN","RAPID CREEK","NT","0810","AU","False","",""
"DARWIN","DARWIN","TIWI","NT","0810","AU","False","",""
"DARWIN","DARWIN","WAGAMAN","NT","0810","AU","False","",""
"DARWIN","DARWIN","WANGURI","NT","0810","AU","False","",""
"DARWIN","DARWIN","BUFFALO CREEK","NT","0810","AU","False","",""
"DARWIN","DARWIN","MUIRHEAD","NT","0810","AU","False","",""
"DARWIN","DARWIN","LYONS","NT","0810","AU","False","",""
"DARWIN","DARWIN","CASUARINA","NT","0811","AU","False","",""
"DARWIN","DARWIN","ANULA","NT","0812","AU","False","",""
"DARWIN","DARWIN","KARAMA","NT","0812","AU","False","",""
"DARWIN","DARWIN","LEANYER","NT","0812","AU","False","",""
"DARWIN","DARWIN","MALAK","NT","0812","AU","False","",""
"DARWIN","DARWIN","MARRARA","NT","0812","AU","False","",""
"DARWIN","DARWIN","NORTHLAKES","NT","0812","AU","False","",""
"DARWIN","DARWIN","SANDERSON","NT","0812","AU","False","",""
"DARWIN","DARWIN","WOODLEIGH GARDENS","NT","0812","AU","False","",""
"DARWIN","DARWIN","WULAGI","NT","0812","AU","False","",""
"DARWIN","DARWIN","HOLMES","NT","0812","AU","False","",""
"DARWIN","DARWIN","BUFFALO CREEK","NT","0812","AU","False","",""
"DARWIN","DARWIN","KARAMA","NT","0813","AU","False","",""
"DARWIN","DARWIN","SANDERSON","NT","0813","AU","False","",""
"DARWIN","DARWIN","NIGHTCLIFF","NT","0814","AU","False","",""
"DARWIN","DARWIN","CHARLES DARWIN UNIVER","NT","0815","AU","False","",""
"DARWIN","DARWIN","NORTHERN TERRITORY UN","NT","0815","AU","False","",""
"DARWIN","DARWIN","BAGOT","NT","0820","AU","False","",""
"DARWIN","DARWIN","DARWIN DC","NT","0820","AU","False","",""
"DARWIN","DARWIN","BAYVIEW","NT","0820","AU","False","",""
"DARWIN","DARWIN","CULLEN BAY","NT","0820","AU","False","",""
"DARWIN","DARWIN","DARWIN MC","NT","0820","AU","False","",""
"DARWIN","DARWIN","EAST POINT","NT","0820","AU","False","",""
"DARWIN","DARWIN","FANNIE BAY","NT","0820","AU","False","",""
"DARWIN","DARWIN","HMAS COONAWARRA","NT","0820","AU","False","",""
"DARWIN","DARWIN","LARRAKEYAH","NT","0820","AU","False","",""
"DARWIN","DARWIN","LUDMILLA","NT","0820","AU","False","",""
"DARWIN","DARWIN","PARAP","NT","0820","AU","False","",""
"DARWIN","DARWIN","STUART PARK","NT","0820","AU","False","",""
"DARWIN","DARWIN","THE GARDENS","NT","0820","AU","False","",""
"DARWIN","DARWIN","THE NARROWS","NT","0820","AU","False","",""
"DARWIN","DARWIN","WINNELLIE","NT","0820","AU","False","",""
"DARWIN","DARWIN","WOOLNER","NT","0820","AU","False","",""
"DARWIN","DARWIN","CHARLES DARWIN","NT","0820","AU","False","",""
"DARWIN","DARWIN","COONAWARRA","NT","0820","AU","False","",""
"DARWIN","DARWIN","DARWIN INTERNATIONAL","NT","0820","AU","False","",""
"DARWIN","DARWIN","EATON","NT","0820","AU","False","",""
"DARWIN","DARWIN","RAAF BASE DARWIN","NT","0820","AU","False","",""
"DARWIN","DARWIN","WINNELLIE","NT","0821","AU","False","",""
"PULUMPA","PULUMPA","PALUMPA","NT","0822","AU","False","",""
"PULUMPA","PULUMPA","NGANMARRIYANGA","NT","0822","AU","False","",""
"DWN ZONE 2","DWN ZONE 2","WICKHAM","NT","0822","AU","False","",""
"DARWIN","DARWIN","DARWIN MC","NT","0822","AU","False","",""
"DARWIN","DARWIN","BEES CREEK","NT","0822","AU","False","",""
"DARWIN","DARWIN","WISHART","NT","0822","AU","False","",""
"DARWIN","DARWIN","MCMINNS LAGOON","NT","0822","AU","False","",""
"DARWIN","DARWIN","MILLWOOD","NT","0822","AU","False","",""
"DARWIN","DARWIN","POINT STEPHENS","NT","0822","AU","False","",""
"DARWIN","DARWIN","VIRGINIA","NT","0822","AU","False","",""
"DARWIN","DARWIN","WEDDELL","NT","0822","AU","False","",""
"DARWIN","DARWIN","EAST ARM","NT","0822","AU","False","",""
"DARWIN","DARWIN","FREDS PASS","NT","0822","AU","False","",""
"DARWIN","DARWIN","WINNELLIE","NT","0822","AU","False","",""
"OENPELLI","OENPELLI","OENPELLI","NT","0822","AU","False","",""
"MANYALLALUK","MANYALLALUK","MANYALLALUK","NT","0822","AU","False","",""
