"Zone","ParentZone","Locality","State","Postcode","CountryCode","RemoteArea","RemoteAreaFees1","RemoteAreaFees2"
"BUR","TAS","ACTON","TAS","7320","AU","False","",""
"BUR","TAS","BROOKLYN","TAS","7320","AU","False","",""
"BUR","TAS","BURNIE","TAS","7320","AU","False","",""
"BUR","TAS","CALDER","TAS","7325","AU","False","",""
"BUR","TAS","CAMDALE","TAS","7320","AU","False","",""
"BUR","TAS","CAMENA","TAS","7316","AU","False","",""
"BUR","TAS","COOEE","TAS","7320","AU","False","",""
"BUR","TAS","CUPRONA","TAS","7316","AU","False","",""
"BUR","TAS","DOCTORS ROCKS","TAS","7325","AU","False","",""
"BUR","TAS","DOWNLANDS","TAS","7320","AU","False","",""
"BUR","TAS","ELLIOTT","TAS","7325","AU","False","",""
"BUR","TAS","EMU HEIGHTS","TAS","7320","AU","False","",""
"BUR","TAS","FLOWERDALE","TAS","7325","AU","False","",""
"BUR","TAS","HAVENVIEW","TAS","7320","AU","False","",""
"BUR","TAS","HENRIETTA","TAS","7325","AU","False","",""
"BUR","TAS","HEYBRIDGE","TAS","7316","AU","False","",""
"BUR","TAS","HILLCREST","TAS","7320","AU","False","",""
"BUR","TAS","HOWTH","TAS","7316","AU","False","",""
"BUR","TAS","LAPOINYA","TAS","7325","AU","False","",""
"BUR","TAS","LOYETEA","TAS","7316","AU","False","",""
"BUR","TAS","MEUNNA","TAS","7325","AU","False","",""
"BUR","TAS","MILABENA","TAS","7325","AU","False","",""
"BUR","TAS","MONTELLO","TAS","7320","AU","False","",""
"BUR","TAS","MOORLEAH","TAS","7325","AU","False","",""
"BUR","TAS","MOUNT HICKS","TAS","7325","AU","False","",""
"BUR","TAS","MYALLA","TAS","7325","AU","False","",""
"BUR","TAS","OCEAN VISTA","TAS","7320","AU","False","",""
"BUR","TAS","OLDINA","TAS","7325","AU","False","",""
"BUR","TAS","OONAH","TAS","7325","AU","False","",""
"BUR","TAS","PARK GROVE","TAS","7320","AU","False","",""
"BUR","TAS","PARKLANDS","TAS","7320","AU","False","",""
"BUR","TAS","PENGUIN","TAS","7316","AU","False","",""
"BUR","TAS","PREOLENNA","TAS","7325","AU","False","",""
"BUR","TAS","PRESERVATION BAY","TAS","7316","AU","False","",""
"BUR","TAS","RIANA","TAS","7316","AU","False","",""
"BUR","TAS","ROMAINE","TAS","7320","AU","False","",""
"BUR","TAS","ROUND HILL","TAS","7320","AU","False","",""
"BUR","TAS","SEABROOK","TAS","7325","AU","False","",""
"BUR","TAS","SHOREWELL PARK","TAS","7320","AU","False","",""
"BUR","TAS","SISTERS CREEK","TAS","7325","AU","False","",""
"BUR","TAS","SOMERSET","TAS","7322","AU","False","",""
"BUR","TAS","SOUTH BURNIE","TAS","7320","AU","False","",""
"BUR","TAS","SOUTH RIANA","TAS","7316","AU","False","",""
"BUR","TAS","SULPHUR CREEK","TAS","7316","AU","False","",""
"BUR","TAS","TABLE CAPE","TAS","7325","AU","False","",""
"BUR","TAS","TAKONE","TAS","7325","AU","False","",""
"BUR","TAS","UPPER BURNIE","TAS","7320","AU","False","",""
"BUR","TAS","WEST PINE","TAS","7316","AU","False","",""
"BUR","TAS","WEST TAKONE","TAS","7325","AU","False","",""
"BUR","TAS","WIVENHOE","TAS","7320","AU","False","",""
"BUR","TAS","WYNYARD","TAS","7325","AU","False","",""
"BUR","TAS","YOLLA","TAS","7325","AU","False","",""
"DPO","TAS","ABBOTSHAM","TAS","7315","AU","False","",""
"DPO","TAS","ABERDEEN","TAS","7310","AU","False","",""
"DPO","TAS","AMBLESIDE","TAS","7310","AU","False","",""
"DPO","TAS","CASTRA","TAS","7315","AU","False","",""
"DPO","TAS","DEVONPORT","TAS","7310","AU","False","",""
"DPO","TAS","DON","TAS","7310","AU","False","",""
"DPO","TAS","EAST DEVONPORT","TAS","7310","AU","False","",""
