"Zone","ParentZone","Locality","State","Postcode","CountryCode","RemoteArea","RemoteAreaFees1","RemoteAreaFees2"
"MUDGEE","MUDGEE","AARONS PASS","NSW","2850","AU","False","",""
"BUSSELTON","BUSSELTON","ABBA RIVER","WA","6280","AU","False","",""
"BUSSELTON","BUSSELTON","ABBEY","WA","6280","AU","False","",""
"WANGARATTA","WANGARATTA","ABBEYARD","VIC","3737","AU","False","",""
"QLD3","QLD3","ABBEYWOOD","QLD","4613","AU","False","",""
"SYDNEY","SYDNEY","ABBOTSBURY","NSW","2176","AU","False","",""
"SYDNEY","SYDNEY","ABBOTSFORD","NSW","2046","AU","False","",""
"MELBOURNE","MELBOURNE","ABBOTSFORD","VIC","3067","AU","False","",""
"BUNDABERG","BUNDABERG","ABBOTSFORD","QLD","4670","AU","False","",""
"TAS3","TAS3","ABBOTSHAM","TAS","7315","AU","False","",""
"MELBOURNE","MELBOURNE","ABECKETT STREET","VIC","8006","AU","False","",""
"TAS3","TAS3","ABELS BAY","TAS","7112","AU","False","",""
"QLD3","QLD3","ABERCORN","QLD","4627","AU","False","",""
"BATHURST","BATHURST","ABERCROMBIE","NSW","2795","AU","False","",""
"BATHURST","BATHURST","ABERCROMBIE RIVER","NSW","2795","AU","False","",""
"NSW2","NSW2","ABERDARE","NSW","2325","AU","False","",""
"NSW4","NSW4","ABERDEEN","NSW","2359","AU","False","",""
"NSW3","NSW3","ABERDEEN","NSW","2336","AU","False","",""
"DEVONPORT","DEVONPORT","ABERDEEN","TAS","7310","AU","False","",""
"MELBOURNE","MELBOURNE","ABERFELDIE","VIC","3040","AU","False","",""
"VIC2","VIC2","ABERFELDY","VIC","3825","AU","False","",""
"ARMIDALE","ARMIDALE","ABERFOYLE","NSW","2350","AU","False","",""
"ADELAIDE","ADELAIDE","ABERFOYLE PARK","SA","5159","AU","False","",""
"MAITLAND","MAITLAND","ABERGLASSLYN","NSW","2320","AU","False","",""
"INGHAM","INGHAM","ABERGOWRIE","QLD","4850","AU","False","",""
"NSW2","NSW2","ABERMAIN","NSW","2326","AU","False","",""
"NSW2","NSW2","ABERNETHY","NSW","2325","AU","False","",""
"QLD8","QLD8","ABINGDON DOWNS","QLD","4892","AU","False","",""
"QLD4","QLD4","ABINGTON","QLD","4660","AU","False","",""
"ARMIDALE","ARMIDALE","ABINGTON","NSW","2350","AU","False","",""
"SA4","SA4","ABMINGA STATION","SA","5440","AU","False","",""
"LISMORE","LISMORE","ACACIA CREEK","NSW","2476","AU","False","",""
"SYDNEY","SYDNEY","ACACIA GARDENS","NSW","2763","AU","False","",""
"TAS3","TAS3","ACACIA HILLS","TAS","7306","AU","False","",""
"DARWIN","DARWIN","ACACIA HILLS","NT","0822","AU","False","",""
"BRISBANE","BRISBANE","ACACIA RIDGE","QLD","4110","AU","False","",""
"VIC3","VIC3","ACHERON","VIC","3714","AU","False","",""
"OAKEY","OAKEY","ACLAND","QLD","4401","AU","False","",""
"BURNIE","BURNIE","ACTON","TAS","7320","AU","False","",""
"CANBERRA","CANBERRA","ACTON","ACT","2601","AU","False","",""
"HOBART","HOBART","ACTON PARK","TAS","7170","AU","False","",""
"BUSSELTON","BUSSELTON","ACTON PARK","WA","6280","AU","False","",""
"VIC3","VIC3","ADA","VIC","3833","AU","False","",""
"COOMA","COOMA","ADAMINABY","NSW","2629","AU","False","",""
"VIC1","VIC1","ADAMS ESTATE","VIC","3984","AU","False","",""
"NEWCASTLE","NEWCASTLE","ADAMSTOWN","NSW","2289","AU","False","",""
"NEWCASTLE","NEWCASTLE","ADAMSTOWN HEIGHTS","NSW","2289","AU","False","",""
"WA4","WA4","ADAMSVALE","WA","6375","AU","False","",""
"QLD1","QLD1","ADARE","QLD","4343","AU","False","",""
"QLD7","QLD7","ADAVALE","QLD","4474","AU","False","",""
"BALLARAT","BALLARAT","ADDINGTON","VIC","3352","AU","False","",""
"ADELAIDE","ADELAIDE","ADELAIDE","SA","5000","AU","False","",""
"ADELAIDE","ADELAIDE","ADELAIDE","SA","5810","AU","False","",""
"ADELAIDE","ADELAIDE","ADELAIDE","SA","5001","AU","False","",""
"ADELAIDE","ADELAIDE","ADELAIDE","SA","5839","AU","False","",""
"ADELAIDE","ADELAIDE","ADELAIDE","SA","5800","AU","False","",""
"ADELAIDE","ADELAIDE","ADELAIDE AIRPORT","SA","5950","AU","False","",""
"ADELAIDE","ADELAIDE","ADELAIDE BC","SA","5000","AU","False","",""
"VIC3","VIC3","ADELAIDE LEAD","VIC","3465","AU","False","",""
"QLD4","QLD4","ADELAIDE PARK","QLD","4703","AU","False","",""
"NT3","NT3","ADELAIDE RIVER","NT","0846","AU","False","",""
"ADELAIDE","ADELAIDE","ADELAIDE UNIVERSITY","SA","5005","AU","False","",""
"NSW4","NSW4","ADELONG","NSW","2729","AU","False","",""
"NSW4","NSW4","ADJUNGBILLY","NSW","2727","AU","False","",""
"GOLD COAST","GOLD COAST","ADVANCETOWN","QLD","4211","AU","False","",""
"TAS3","TAS3","ADVENTURE BAY","TAS","7150","AU","False","",""
"CAIRNS","CAIRNS","AEROGLEN","QLD","4870","AU","False","",""
"LISMORE","LISMORE","AFTERLEE","NSW","2474","AU","False","",""
"SA4","SA4","AGERY","SA","5558","AU","False","",""
"VIC3","VIC3","AGNES","VIC","3962","AU","False","",""
"SYDNEY","SYDNEY","AGNES BANKS","NSW","2753","AU","False","",""
"QLD4","QLD4","AGNES WATER","QLD","4677","AU","False","",""
"CANBERRA","CANBERRA","AINSLIE","ACT","2602","AU","False","",""
"QLD6","QLD6","AIRDMILLAN","QLD","4807","AU","False","",""
"SYDNEY","SYDNEY","AIRDS","NSW","2560","AU","False","",""
"VIC4","VIC4","AIRE VALLEY","VIC","3237","AU","False","",""
"VIC2","VIC2","AIREYS INLET","VIC","3231","AU","False","",""
"QLD5","QLD5","AIRLIE BEACH","QLD","4802","AU","False","",""
"SALE","SALE","AIRLY","VIC","3851","AU","False","",""
"MELBOURNE","MELBOURNE","AIRPORT WEST","VIC","3042","AU","False","",""
"QLD6","QLD6","AIRVILLE","QLD","4807","AU","False","",""
"TOWNSVILLE","TOWNSVILLE","AITKENVALE","QLD","4814","AU","False","",""
"GERALDTON","GERALDTON","AJANA","WA","6532","AU","False","",""
"TAS3","TAS3","AKAROA","TAS","7216","AU","False","",""
"BEGA","BEGA","AKOLELE","NSW","2546","AU","False","",""
"NORTH WEST QLD","NORTH WEST QLD","ALABAMA HILL","QLD","4820","AU","False","",""
"DARWIN","DARWIN","ALAWA","NT","0810","AU","False","",""
"SA3","SA3","ALAWOONA","SA","5311","AU","False","",""
"VIC4","VIC4","ALBACUTYA","VIC","3424","AU","False","",""
"MELBOURNE","MELBOURNE","ALBANVALE","VIC","3021","AU","False","",""
"ALBANY","ALBANY","ALBANY","WA","6330","AU","False","",""
"BRISBANE","BRISBANE","ALBANY CREEK","QLD","4035","AU","False","",""
"ALBANY","ALBANY","ALBANY DC","WA","6331","AU","False","",""
"ALBANY","ALBANY","ALBANY PO","WA","6332","AU","False","",""
"NSW5","NSW5","ALBERT","NSW","2873","AU","False","",""
"MELBOURNE","MELBOURNE","ALBERT PARK","VIC","3206","AU","False","",""
"ADELAIDE","ADELAIDE","ALBERT PARK","SA","5014","AU","False","",""
"ROCKHAMPTON","ROCKHAMPTON","ALBERTA","QLD","4702","AU","False","",""
"ADELAIDE","ADELAIDE","ALBERTON","SA","5014","AU","False","",""
"TAS3","TAS3","ALBERTON","TAS","7263","AU","False","",""
"VIC3","VIC3","ALBERTON","VIC","3971","AU","False","",""
"BRISBANE","BRISBANE","ALBERTON","QLD","4207","AU","False","",""
"VIC3","VIC3","ALBERTON WEST","VIC","3971","AU","False","",""
"MELBOURNE","MELBOURNE","ALBION","VIC","3020","AU","False","",""
"BRISBANE","BRISBANE","ALBION","QLD","4010","AU","False","",""
"NORTH WEST QLD","NORTH WEST QLD","ALBION","QLD","4822","AU","False","",""
"BRISBANE","BRISBANE","ALBION BC","QLD","4010","AU","False","",""
"BRISBANE","BRISBANE","ALBION DC","QLD","4010","AU","False","",""
"WOLLONGONG","WOLLONGONG","ALBION PARK","NSW","2527","AU","False","",""
"WOLLONGONG","WOLLONGONG","ALBION PARK RAIL","NSW","2527","AU","False","",""
"ALBURY","ALBURY","ALBURY","NSW","2640","AU","False","",""
"TAS3","TAS3","ALCOMIE","TAS","7330","AU","False","",""
"KEMPSEY","KEMPSEY","ALDAVILLA","NSW","2440","AU","False","",""
"BRISBANE","BRISBANE","ALDERLEY","QLD","4051","AU","False","",""
"MARYBOROUGH","MARYBOROUGH","ALDERSHOT","QLD","4650","AU","False","",""
"WA4","WA4","ALDERSYDE","WA","6306","AU","False","",""
"ADELAIDE","ADELAIDE","ALDGATE","SA","5154","AU","False","",""
"SA1","SA1","ALDINGA","SA","5173","AU","False","",""
"SA1","SA1","ALDINGA BEACH","SA","5173","AU","False","",""
"QLD4","QLD4","ALDOGA","QLD","4694","AU","False","",""
"PARKES","PARKES","ALECTOWN","NSW","2870","AU","False","",""
"PERTH","PERTH","ALEXANDER HEIGHTS","WA","6064","AU","False","",""
"VIC3","VIC3","ALEXANDRA","VIC","3714","AU","False","",""
"MACKAY","MACKAY","ALEXANDRA","QLD","4740","AU","False","",""
"WA4","WA4","ALEXANDRA BRIDGE","WA","6288","AU","False","",""
"SUNSHINE COAST","SUNSHINE COAST","ALEXANDRA HEADLAND","QLD","4572","AU","False","",""
"BRISBANE","BRISBANE","ALEXANDRA HILLS","QLD","4161","AU","False","",""
"SYDNEY","SYDNEY","ALEXANDRIA","NSW","2015","AU","False","",""
"SYDNEY","SYDNEY","ALEXANDRIA","NSW","1435","AU","False","",""
"SYDNEY","SYDNEY","ALEXANDRIA MC","NSW","2004","AU","False","",""
"SA4","SA4","ALFORD","SA","5555","AU","False","",""
"SYDNEY","SYDNEY","ALFORDS POINT","NSW","2234","AU","False","",""
"PERTH","PERTH","ALFRED COVE","WA","6154","AU","False","",""
"BALLARAT","BALLARAT","ALFREDTON","VIC","3350","AU","False","",""
"WAGGA","WAGGA","ALFREDTOWN","NSW","2650","AU","False","",""
"BRISBANE","BRISBANE","ALGESTER","QLD","4115","AU","False","",""
"NT1","NT1","ALI CURUNG","NT","0872","AU","False","",""
"NSW5","NSW5","ALICE","NSW","2469","AU","False","",""
"KINGAROY","KINGAROY","ALICE CREEK","QLD","4610","AU","False","",""
"TOWNSVILLE","TOWNSVILLE","ALICE RIVER","QLD","4817","AU","False","",""
"ALICE SPRINGS","ALICE SPRINGS","ALICE SPRINGS","NT","0870","AU","False","",""
"NT1","NT1","ALICE SPRINGS","NT","0872","AU","False","",""
"NT1","NT1","ALICE SPRINGS","NT","0871","AU","False","",""
"NSW2","NSW2","ALISON","NSW","2420","AU","False","",""
"CENTRAL COAST","CENTRAL COAST","ALISON","NSW","2259","AU","False","",""
"WA1","WA1","ALKIMOS","WA","6038","AU","False","",""
"VIC3","VIC3","ALLAMBEE","VIC","3823","AU","False","",""
"VIC3","VIC3","ALLAMBEE RESERVE","VIC","3871","AU","False","",""
"VIC3","VIC3","ALLAMBEE SOUTH","VIC","3871","AU","False","",""
"SYDNEY","SYDNEY","ALLAMBIE HEIGHTS","NSW","2100","AU","False","",""
"WARWICK","WARWICK","ALLAN","QLD","4370","AU","False","",""
"QLD1","QLD1","ALLANDALE","QLD","4310","AU","False","",""
"MAITLAND","MAITLAND","ALLANDALE","NSW","2320","AU","False","",""
"SA4","SA4","ALLANDALE STATION","SA","5723","AU","False","",""
"ESPERANCE","ESPERANCE","ALLANOOKA","WA","6525","AU","False","",""
"ALBURY","ALBURY","ALLANS FLAT","VIC","3691","AU","False","",""
"WARRNAMBOOL","WARRNAMBOOL","ALLANSFORD","VIC","3277","AU","False","",""
"WA4","WA4","ALLANSON","WA","6225","AU","False","",""
"SYDNEY","SYDNEY","ALLAWAH","NSW","2218","AU","False","",""
"WEST WYALONG","WEST WYALONG","ALLEENA","NSW","2671","AU","False","",""
"ADELAIDE","ADELAIDE","ALLENBY GARDENS","SA","5009","AU","False","",""
"VIC3","VIC3","ALLENDALE","VIC","3364","AU","False","",""
"MOUNT GAMBIER","MOUNT GAMBIER","ALLENDALE EAST","SA","5291","AU","False","",""
"SA1","SA1","ALLENDALE NORTH","SA","5373","AU","False","",""
"TAS3","TAS3","ALLENS RIVULET","TAS","7150","AU","False","",""
"ROCKHAMPTON","ROCKHAMPTON","ALLENSTOWN","QLD","4700","AU","False","",""
"GOLD COAST","GOLD COAST","ALLENVIEW","QLD","4285","AU","False","",""
"PORTLAND","PORTLAND","ALLESTREE","VIC","3305","AU","False","",""
"NSW3","NSW3","ALLGOMERA","NSW","2441","AU","False","",""
"MACKAY","MACKAY","ALLIGATOR CREEK","QLD","4740","AU","False","",""
"TOWNSVILLE","TOWNSVILLE","ALLIGATOR CREEK","QLD","4816","AU","False","",""
"INGHAM","INGHAM","ALLINGHAM","QLD","4850","AU","False","",""
"QLD3","QLD3","ALLORA","QLD","4362","AU","False","",""
"BUNDABERG","BUNDABERG","ALLOWAY","QLD","4670","AU","False","",""
"NSW3","NSW3","ALLWORTH","NSW","2425","AU","False","",""
"NSW2","NSW2","ALLYNBROOK","NSW","2311","AU","False","",""
"VIC3","VIC3","ALMA","VIC","3465","AU","False","",""
"NEWMAN","NEWMAN","ALMA","WA","6535","AU","False","",""
"SA4","SA4","ALMA","SA","5401","AU","False","",""
"COROWA","COROWA","ALMA PARK","NSW","2659","AU","False","",""
"QLD8","QLD8","ALMADEN","QLD","4871","AU","False","",""
"VIC3","VIC3","ALMONDS","VIC","3727","AU","False","",""
"VIC1","VIC1","ALMURTA","VIC","3979","AU","False","",""
"TAS3","TAS3","ALONNAH","TAS","7150","AU","False","",""
"QLD8","QLD8","ALOOMBA","QLD","4871","AU","False","",""
"NOT SERVICED","NOT SERVICED","ALPANA","SA","5730","AU","False","",""
"QLD8","QLD8","ALPHA","QLD","4724","AU","False","",""
"MELBOURNE","MELBOURNE","ALPHINGTON","VIC","3078","AU","False","",""
"NSW2","NSW2","ALPINE","NSW","2575","AU","False","",""
"MOUNT ISA","MOUNT ISA","ALPURRURULAM","NT","4825","AU","False","",""
"ROCKHAMPTON","ROCKHAMPTON","ALSACE","QLD","4702","AU","False","",""
"LISMORE","LISMORE","ALSTONVALE","NSW","2477","AU","False","",""
"LISMORE","LISMORE","ALSTONVILLE","NSW","2477","AU","False","",""
"ROCKHAMPTON","ROCKHAMPTON","ALTON DOWNS","QLD","4702","AU","False","",""
"NOT SERVICED","NOT SERVICED","ALTON DOWNS STATION","SA","5733","AU","False","",""
"SA1","SA1","ALTONA","SA","5351","AU","False","",""
"MELBOURNE","MELBOURNE","ALTONA","VIC","3018","AU","False","",""
"MELBOURNE","MELBOURNE","ALTONA EAST","VIC","3025","AU","False","",""
"MELBOURNE","MELBOURNE","ALTONA GATE","VIC","3025","AU","False","",""
"MELBOURNE","MELBOURNE","ALTONA MEADOWS","VIC","3028","AU","False","",""
"MELBOURNE","MELBOURNE","ALTONA NORTH","VIC","3025","AU","False","",""
"GRAFTON","GRAFTON","ALUMY CREEK","NSW","2460","AU","False","",""
"QLD6","QLD6","ALVA","QLD","4807","AU","False","",""
"VIC2","VIC2","ALVIE","VIC","3249","AU","False","",""
"NOT SERVICED","NOT SERVICED","ALYANGULA","NT","0885","AU","False","",""
"GYMPIE","GYMPIE","AMAMOOR","QLD","4570","AU","False","",""
"GYMPIE","GYMPIE","AMAMOOR CREEK","QLD","4570","AU","False","",""
"NSW4","NSW4","AMAROO","NSW","2866","AU","False","",""
"NORTH WEST QLD","NORTH WEST QLD","AMAROO","QLD","4829","AU","False","",""
"CANBERRA","CANBERRA","AMAROO","ACT","2914","AU","False","",""
"NT1","NT1","AMATA","SA","0872","AU","False","",""
"NEWMAN","NEWMAN","AMBANIA","WA","6632","AU","False","",""
"SYDNEY","SYDNEY","AMBARVALE","NSW","2560","AU","False","",""
"QLD8","QLD8","AMBER","QLD","4871","AU","False","",""
"BUSSELTON","BUSSELTON","AMBERGATE","WA","6280","AU","False","",""
"QLD1","QLD1","AMBERLEY","QLD","4306","AU","False","",""
"DEVONPORT","DEVONPORT","AMBLESIDE","TAS","7310","AU","False","",""
"QLD4","QLD4","AMBROSE","QLD","4695","AU","False","",""
"QLD7","QLD7","AMBY","QLD","4462","AU","False","",""
"WA4","WA4","AMELUP","WA","6338","AU","False","",""
"SA1","SA1","AMERICAN BEACH","SA","5222","AU","False","",""
"SA1","SA1","AMERICAN RIVER","SA","5221","AU","False","",""
"VIC3","VIC3","AMHERST","VIC","3371","AU","False","",""
"STANTHORPE","STANTHORPE","AMIENS","QLD","4380","AU","False","",""
"BRISBANE","BRISBANE","AMITY","QLD","4183","AU","False","",""
"BRISBANE","BRISBANE","AMITY POINT","QLD","4183","AU","False","",""
"VIC2","VIC2","AMOR","VIC","3825","AU","False","",""
"STANTHORPE","STANTHORPE","AMOSFIELD","NSW","4380","AU","False","",""
"VIC3","VIC3","AMPHITHEATRE","VIC","3468","AU","False","",""
"NT1","NT1","AMPILATWATJA","NT","0872","AU","False","",""
"SA4","SA4","AMYTON","SA","5431","AU","False","",""
"WENTWORTH","WENTWORTH","ANABRANCH NORTH","NSW","2648","AU","False","",""
"WENTWORTH","WENTWORTH","ANABRANCH SOUTH","NSW","2648","AU","False","",""
"ROCKHAMPTON","ROCKHAMPTON","ANAKIE","QLD","4702","AU","False","",""
"GEELONG","GEELONG","ANAKIE","VIC","3213","AU","False","",""
"SA4","SA4","ANAMA","SA","5464","AU","False","",""
"MAITLAND","MAITLAND","ANAMBAH","NSW","2320","AU","False","",""
"NT1","NT1","Anangu Pitjantjatjara Yankunytjatjara","SA","0872","AU","False","",""
"NT1","NT1","ANATYE","NT","0872","AU","False","",""
"VIC3","VIC3","ANCONA","VIC","3715","AU","False","",""
"SA4","SA4","ANDAMOOKA","SA","5722","AU","False","",""
"SA4","SA4","ANDAMOOKA STATION","SA","5722","AU","False","",""
"MACKAY","MACKAY","ANDERGROVE","QLD","4740","AU","False","",""
"GYMPIE","GYMPIE","ANDERLEIGH","QLD","4570","AU","False","",""
"VIC3","VIC3","ANDERSON","VIC","3995","AU","False","",""
"COOMA","COOMA","ANDO","NSW","2631","AU","False","",""
"TAS3","TAS3","ANDOVER","TAS","7120","AU","False","",""
"SA4","SA4","ANDREWS","SA","5454","AU","False","",""
"ADELAIDE","ADELAIDE","ANDREWS FARM","SA","5114","AU","False","",""
"PROSERPINE","PROSERPINE","ANDROMACHE","QLD","4800","AU","False","",""
"QLD3","QLD3","ANDURAMBA","QLD","4355","AU","False","",""
"BUNGENDORE","BUNGENDORE","ANEMBO","NSW","2621","AU","False","",""
"MURRAY BRIDGE","MURRAY BRIDGE","ANGAS PLAINS","SA","5255","AU","False","",""
"SA1","SA1","ANGAS VALLEY","SA","5238","AU","False","",""
"SA1","SA1","ANGASTON","SA","5353","AU","False","",""
"NEWMAN","NEWMAN","ANGELO RIVER","WA","6642","AU","False","",""
"NOT SERVICED","NOT SERVICED","ANGEPENA","SA","5732","AU","False","",""
"ADELAIDE","ADELAIDE","ANGLE PARK","SA","5010","AU","False","",""
"ADELAIDE","ADELAIDE","ANGLE VALE","SA","5117","AU","False","",""
"BEGA","BEGA","ANGLEDALE","NSW","2550","AU","False","",""
"NSW5","NSW5","ANGLEDOOL","NSW","2834","AU","False","",""
