postcode,state,statistic_area
800,NT,Darwin
810,NT,Darwin
812,NT,Darwin
820,NT,Darwin
822,NT,Rest of NT
828,NT,Darwin
829,NT,Darwin
830,NT,Darwin
832,NT,Darwin
834,NT,Darwin
835,NT,Darwin
836,NT,Darwin
837,NT,Darwin
838,NT,Darwin
839,NT,Darwin
840,NT,Rest of NT
841,NT,Darwin
845,NT,Rest of NT
846,NT,Rest of NT
847,NT,Rest of NT
850,NT,Rest of NT
852,NT,Rest of NT
853,NT,Rest of NT
854,NT,Rest of NT
860,NT,Rest of NT
862,NT,Rest of NT
870,NT,Rest of NT
872,NT,Rest of NT
872,SA,Rest of SA
872,WA,Rest of WA
873,NT,Rest of NT
874,NT,Rest of NT
875,NT,Rest of NT
880,NT,Rest of NT
885,NT,Rest of NT
886,NT,Rest of NT
2000,NSW,Sydney
2007,NSW,Sydney
2008,NSW,Sydney
2009,NSW,Sydney
2010,NSW,Sydney
2011,NSW,Sydney
2015,NSW,Sydney
2016,NSW,Sydney
2017,NSW,Sydney
2018,NSW,Sydney
2019,NSW,Sydney
2020,NSW,Sydney
2021,NSW,Sydney
2022,NSW,Sydney
2023,NSW,Sydney
2024,NSW,Sydney
2025,NSW,Sydney
2026,NSW,Sydney
2027,NSW,Sydney
2028,NSW,Sydney
2029,NSW,Sydney
2030,NSW,Sydney
2031,NSW,Sydney
2032,NSW,Sydney
2033,NSW,Sydney
2034,NSW,Sydney
2035,NSW,Sydney
2036,NSW,Sydney
2037,NSW,Sydney
2038,NSW,Sydney
2039,NSW,Sydney
2040,NSW,Sydney
2041,NSW,Sydney
2042,NSW,Sydney
2043,NSW,Sydney
2044,NSW,Sydney
2045,NSW,Sydney
2046,NSW,Sydney
2047,NSW,Sydney
2048,NSW,Sydney
2049,NSW,Sydney
2050,NSW,Sydney
2060,NSW,Sydney
2061,NSW,Sydney
2062,NSW,Sydney
2063,NSW,Sydney
2064,NSW,Sydney
2065,NSW,Sydney
2066,NSW,Sydney
2067,NSW,Sydney
2068,NSW,Sydney
2069,NSW,Sydney
2070,NSW,Sydney
2071,NSW,Sydney
2072,NSW,Sydney
2073,NSW,Sydney
2074,NSW,Sydney
2075,NSW,Sydney
2076,NSW,Sydney
2077,NSW,Sydney
2079,NSW,Sydney
2080,NSW,Sydney
2081,NSW,Sydney
2082,NSW,Sydney
2083,NSW,Sydney
2084,NSW,Sydney
2085,NSW,Sydney
2086,NSW,Sydney
2087,NSW,Sydney
2088,NSW,Sydney
2089,NSW,Sydney
2090,NSW,Sydney
2092,NSW,Sydney
2093,NSW,Sydney
2094,NSW,Sydney
2095,NSW,Sydney
2096,NSW,Sydney
2097,NSW,Sydney
2099,NSW,Sydney
2100,NSW,Sydney
2101,NSW,Sydney
2102,NSW,Sydney
2103,NSW,Sydney
2104,NSW,Sydney
2105,NSW,Sydney
2106,NSW,Sydney
2107,NSW,Sydney
2108,NSW,Sydney
2110,NSW,Sydney
2111,NSW,Sydney
2112,NSW,Sydney
2113,NSW,Sydney
2114,NSW,Sydney
2115,NSW,Sydney
2116,NSW,Sydney
2117,NSW,Sydney
2118,NSW,Sydney
2119,NSW,Sydney
2120,NSW,Sydney
2121,NSW,Sydney
2122,NSW,Sydney
2125,NSW,Sydney
2126,NSW,Sydney
2127,NSW,Sydney
2128,NSW,Sydney
2130,NSW,Sydney
2131,NSW,Sydney
2132,NSW,Sydney
2133,NSW,Sydney
2134,NSW,Sydney
2135,NSW,Sydney
2136,NSW,Sydney
2137,NSW,Sydney
2138,NSW,Sydney
2140,NSW,Sydney
2141,NSW,Sydney
2142,NSW,Sydney
2143,NSW,Sydney
2144,NSW,Sydney
2145,NSW,Sydney
2146,NSW,Sydney
2147,NSW,Sydney
2148,NSW,Sydney
2150,NSW,Sydney
2151,NSW,Sydney
2152,NSW,Sydney
2153,NSW,Sydney
2154,NSW,Sydney
2155,NSW,Sydney
2156,NSW,Sydney
2157,NSW,Sydney
2158,NSW,Sydney
2159,NSW,Sydney
2160,NSW,Sydney
2161,NSW,Sydney
2162,NSW,Sydney
2163,NSW,Sydney
2164,NSW,Sydney
2165,NSW,Sydney
2166,NSW,Sydney
2167,NSW,Sydney
2168,NSW,Sydney
2170,NSW,Sydney
2171,NSW,Sydney
2172,NSW,Sydney
2173,NSW,Sydney
2174,NSW,Sydney
2175,NSW,Sydney
2176,NSW,Sydney
2177,NSW,Sydney
2178,NSW,Sydney
2179,NSW,Sydney
2190,NSW,Sydney
2191,NSW,Sydney
2192,NSW,Sydney
2193,NSW,Sydney
2194,NSW,Sydney
2195,NSW,Sydney
2196,NSW,Sydney
2197,NSW,Sydney
2198,NSW,Sydney
2199,NSW,Sydney
2200,NSW,Sydney
2203,NSW,Sydney
2204,NSW,Sydney
2205,NSW,Sydney
2206,NSW,Sydney
2207,NSW,Sydney
2208,NSW,Sydney
2209,NSW,Sydney
2210,NSW,Sydney
2211,NSW,Sydney
2212,NSW,Sydney
2213,NSW,Sydney
2214,NSW,Sydney
2216,NSW,Sydney
2217,NSW,Sydney
2218,NSW,Sydney
2219,NSW,Sydney
2220,NSW,Sydney
2221,NSW,Sydney
2222,NSW,Sydney
2223,NSW,Sydney
2224,NSW,Sydney
2225,NSW,Sydney
2226,NSW,Sydney
2227,NSW,Sydney
2228,NSW,Sydney
2229,NSW,Sydney
2230,NSW,Sydney
2231,NSW,Sydney
2232,NSW,Sydney
2233,NSW,Sydney
2234,NSW,Sydney
2250,NSW,Rest of NSW
2251,NSW,Sydney
2256,NSW,Sydney
2257,NSW,Sydney
2258,NSW,Sydney
2259,NSW,Rest of NSW
2260,NSW,Sydney
2261,NSW,Sydney
2262,NSW,Sydney
2263,NSW,Sydney
2264,NSW,Rest of NSW
2265,NSW,Rest of NSW
2267,NSW,Rest of NSW
2278,NSW,Rest of NSW
2280,NSW,Rest of NSW
2281,NSW,Rest of NSW
2282,NSW,Rest of NSW
2283,NSW,Rest of NSW
2284,NSW,Rest of NSW
2285,NSW,Rest of NSW
2286,NSW,Rest of NSW
2287,NSW,Rest of NSW
2289,NSW,Rest of NSW
2290,NSW,Rest of NSW
2291,NSW,Rest of NSW
2292,NSW,Rest of NSW
2293,NSW,Rest of NSW
2294,NSW,Rest of NSW
2295,NSW,Rest of NSW
2296,NSW,Rest of NSW
2297,NSW,Rest of NSW
2298,NSW,Rest of NSW
2299,NSW,Rest of NSW
2300,NSW,Rest of NSW
2302,NSW,Rest of NSW
2303,NSW,Rest of NSW
2304,NSW,Rest of NSW
2305,NSW,Rest of NSW
2306,NSW,Rest of NSW
2307,NSW,Rest of NSW
2308,NSW,Rest of NSW
2311,NSW,Rest of NSW
2312,NSW,Rest of NSW
2314,NSW,Rest of NSW
2315,NSW,Rest of NSW
2316,NSW,Rest of NSW
2317,NSW,Rest of NSW
2318,NSW,Rest of NSW
2319,NSW,Rest of NSW
2320,NSW,Rest of NSW
2321,NSW,Rest of NSW
2322,NSW,Rest of NSW
2323,NSW,Rest of NSW
2324,NSW,Rest of NSW
2325,NSW,Rest of NSW
2326,NSW,Rest of NSW
2327,NSW,Rest of NSW
2328,NSW,Rest of NSW
2329,NSW,Rest of NSW
2330,NSW,Rest of NSW
2331,NSW,Rest of NSW
2333,NSW,Rest of NSW
2334,NSW,Rest of NSW
2335,NSW,Rest of NSW
2336,NSW,Rest of NSW
2337,NSW,Rest of NSW
2338,NSW,Rest of NSW
2339,NSW,Rest of NSW
2340,NSW,Rest of NSW
2341,NSW,Rest of NSW
2342,NSW,Rest of NSW
2343,NSW,Rest of NSW
2344,NSW,Rest of NSW
2345,NSW,Rest of NSW
2346,NSW,Rest of NSW
2347,NSW,Rest of NSW
2350,NSW,Rest of NSW
2352,NSW,Rest of NSW
2353,NSW,Rest of NSW
2354,NSW,Rest of NSW
2355,NSW,Rest of NSW
2356,NSW,Rest of NSW
2357,NSW,Rest of NSW
2358,NSW,Rest of NSW
2359,NSW,Rest of NSW
2360,NSW,Rest of NSW
2361,NSW,Rest of NSW
2365,NSW,Rest of NSW
2369,NSW,Rest of NSW
2370,NSW,Rest of NSW
2371,NSW,Rest of NSW
2372,NSW,Rest of NSW
2379,NSW,Rest of NSW
2380,NSW,Rest of NSW
2381,NSW,Rest of NSW
2382,NSW,Rest of NSW
2386,NSW,Rest of NSW
2387,NSW,Rest of NSW
2388,NSW,Rest of NSW
2390,NSW,Rest of NSW
2395,NSW,Rest of NSW
2396,NSW,Rest of NSW
2397,NSW,Rest of NSW
2398,NSW,Rest of NSW
2399,NSW,Rest of NSW
2400,NSW,Rest of NSW
2401,NSW,Rest of NSW
2402,NSW,Rest of NSW
2403,NSW,Rest of NSW
2404,NSW,Rest of NSW
2405,NSW,Rest of NSW
2406,NSW,Rest of NSW
2406,QLD,Rest of QLD
2408,NSW,Rest of NSW
2409,NSW,Rest of NSW
2410,NSW,Rest of NSW
2411,NSW,Rest of NSW
2415,NSW,Rest of NSW
2420,NSW,Rest of NSW
2421,NSW,Rest of NSW
2422,NSW,Rest of NSW
2423,NSW,Rest of NSW
2424,NSW,Rest of NSW
2425,NSW,Rest of NSW
2426,NSW,Rest of NSW
2427,NSW,Rest of NSW
2428,NSW,Rest of NSW
2429,NSW,Rest of NSW
2430,NSW,Rest of NSW
2431,NSW,Rest of NSW
2439,NSW,Rest of NSW
2440,NSW,Rest of NSW
2441,NSW,Rest of NSW
2443,NSW,Rest of NSW
2444,NSW,Rest of NSW
2445,NSW,Rest of NSW
2446,NSW,Rest of NSW
2447,NSW,Rest of NSW
2448,NSW,Rest of NSW
2449,NSW,Rest of NSW
2450,NSW,Rest of NSW
2452,NSW,Rest of NSW
2453,NSW,Rest of NSW
2454,NSW,Rest of NSW
2455,NSW,Rest of NSW
2456,NSW,Rest of NSW
2460,NSW,Rest of NSW
2462,NSW,Rest of NSW
2463,NSW,Rest of NSW
2464,NSW,Rest of NSW
2465,NSW,Rest of NSW
2466,NSW,Rest of NSW
2469,NSW,Rest of NSW
2470,NSW,Rest of NSW
2471,NSW,Rest of NSW
2472,NSW,Rest of NSW
2473,NSW,Rest of NSW
2474,NSW,Rest of NSW
2475,NSW,Rest of NSW
2476,NSW,Rest of NSW
2477,NSW,Rest of NSW
2478,NSW,Rest of NSW
2479,NSW,Rest of NSW
2480,NSW,Rest of NSW
2481,NSW,Rest of NSW
2482,NSW,Rest of NSW
2483,NSW,Rest of NSW
2484,NSW,Rest of NSW
2485,NSW,Rest of NSW
2486,NSW,Rest of NSW
2487,NSW,Rest of NSW
2488,NSW,Rest of NSW
2489,NSW,Rest of NSW
2490,NSW,Rest of NSW
2500,NSW,Rest of NSW
2502,NSW,Rest of NSW
2505,NSW,Rest of NSW
2506,NSW,Rest of NSW
2508,NSW,Rest of NSW
2515,NSW,Rest of NSW
2516,NSW,Rest of NSW
2517,NSW,Rest of NSW
2518,NSW,Rest of NSW
2519,NSW,Rest of NSW
2525,NSW,Rest of NSW
2526,NSW,Rest of NSW
2527,NSW,Rest of NSW
2528,NSW,Rest of NSW
2529,NSW,Rest of NSW
2530,NSW,Rest of NSW
2533,NSW,Rest of NSW
2534,NSW,Rest of NSW
2535,NSW,Rest of NSW
2536,NSW,Rest of NSW
2537,NSW,Rest of NSW
2538,NSW,Rest of NSW
2539,NSW,Rest of NSW
2540,NSW,Rest of NSW
2541,NSW,Rest of NSW
2545,NSW,Rest of NSW
2546,NSW,Rest of NSW
2548,NSW,Rest of NSW
2549,NSW,Rest of NSW
2550,NSW,Rest of NSW
2551,NSW,Rest of NSW
2555,NSW,Sydney
2556,NSW,Sydney
2557,NSW,Sydney
2558,NSW,Sydney
2559,NSW,Sydney
2560,NSW,Sydney
2563,NSW,Sydney
2564,NSW,Sydney
2565,NSW,Sydney
2566,NSW,Sydney
2567,NSW,Sydney
2568,NSW,Sydney
2569,NSW,Sydney
2570,NSW,Sydney
2571,NSW,Sydney
2572,NSW,Sydney
2573,NSW,Sydney
2574,NSW,Rest of NSW
2575,NSW,Rest of NSW
2576,NSW,Rest of NSW
2577,NSW,Rest of NSW
2578,NSW,Rest of NSW
2579,NSW,Rest of NSW
2580,NSW,Rest of NSW
2581,NSW,Rest of NSW
2582,NSW,Rest of NSW
2583,NSW,Rest of NSW
2584,NSW,Rest of NSW
2585,NSW,Rest of NSW
2586,NSW,Rest of NSW
2587,NSW,Rest of NSW
2588,NSW,Rest of NSW
2590,NSW,Rest of NSW
2594,NSW,Rest of NSW
2600,ACT,Australian Capital Territory
2601,ACT,Australian Capital Territory
2602,ACT,Australian Capital Territory
2603,ACT,Australian Capital Territory
2604,ACT,Australian Capital Territory
2605,ACT,Australian Capital Territory
2606,ACT,Australian Capital Territory
2607,ACT,Australian Capital Territory
2609,ACT,Australian Capital Territory
2611,ACT,Australian Capital Territory
2611,NSW,Rest of NSW
2612,ACT,Australian Capital Territory
2614,ACT,Australian Capital Territory
2615,ACT,Australian Capital Territory
2617,ACT,Australian Capital Territory
2618,ACT,Australian Capital Territory
2618,NSW,Rest of NSW
2619,NSW,Rest of NSW
2620,ACT,Australian Capital Territory
2620,NSW,Rest of NSW
2621,NSW,Rest of NSW
2622,NSW,Rest of NSW
2623,NSW,Rest of NSW
2626,NSW,Rest of NSW
2627,NSW,Rest of NSW
2628,NSW,Rest of NSW
2629,NSW,Rest of NSW
2630,NSW,Rest of NSW
2631,NSW,Rest of NSW
2632,NSW,Rest of NSW
2633,NSW,Rest of NSW
2640,NSW,Rest of NSW
2641,NSW,Rest of NSW
2642,NSW,Rest of NSW
2643,NSW,Rest of NSW
2644,NSW,Rest of NSW
2645,NSW,Rest of NSW
2646,NSW,Rest of NSW
2647,NSW,Rest of NSW
2648,NSW,Rest of NSW
2649,NSW,Rest of NSW
2650,NSW,Rest of NSW
2651,NSW,Rest of NSW
2652,NSW,Rest of NSW
2653,NSW,Rest of NSW
2655,NSW,Rest of NSW
2656,NSW,Rest of NSW
2658,NSW,Rest of NSW
2659,NSW,Rest of NSW
2660,NSW,Rest of NSW
2661,NSW,Rest of NSW
2663,NSW,Rest of NSW
2665,NSW,Rest of NSW
2666,NSW,Rest of NSW
2668,NSW,Rest of NSW
2669,NSW,Rest of NSW
2671,NSW,Rest of NSW
2672,NSW,Rest of NSW
2675,NSW,Rest of NSW
2678,NSW,Rest of NSW
2680,NSW,Rest of NSW
2681,NSW,Rest of NSW
2700,NSW,Rest of NSW
2701,NSW,Rest of NSW
2702,NSW,Rest of NSW
2703,NSW,Rest of NSW
2705,NSW,Rest of NSW
2706,NSW,Rest of NSW
2707,NSW,Rest of NSW
2710,NSW,Rest of NSW
2711,NSW,Rest of NSW
2712,NSW,Rest of NSW
2713,NSW,Rest of NSW
2714,NSW,Rest of NSW
2715,NSW,Rest of NSW
2716,NSW,Rest of NSW
2717,NSW,Rest of NSW
2720,NSW,Rest of NSW
2721,NSW,Rest of NSW
2722,NSW,Rest of NSW
2725,NSW,Rest of NSW
2726,NSW,Rest of NSW
2727,NSW,Rest of NSW
2729,NSW,Rest of NSW
2730,NSW,Rest of NSW
2731,NSW,Rest of NSW
2732,NSW,Rest of NSW
2733,NSW,Rest of NSW
2734,NSW,Rest of NSW
2735,NSW,Rest of NSW
2736,NSW,Rest of NSW
2737,NSW,Rest of NSW
2738,NSW,Rest of NSW
2739,NSW,Rest of NSW
2745,NSW,Sydney
2747,NSW,Sydney
2748,NSW,Sydney
2749,NSW,Sydney
2750,NSW,Sydney
2752,NSW,Sydney
2753,NSW,Sydney
2754,NSW,Sydney
2756,NSW,Sydney
2757,NSW,Sydney
2758,NSW,Sydney
2759,NSW,Sydney
2760,NSW,Sydney
2761,NSW,Sydney
2762,NSW,Sydney
2763,NSW,Sydney
2765,NSW,Sydney
2766,NSW,Sydney
2767,NSW,Sydney
2768,NSW,Sydney
2769,NSW,Sydney
2770,NSW,Sydney
2773,NSW,Sydney
2774,NSW,Sydney
